Pair=EURJPY;Period=H1;Days=5000;Shift=1;Bars=120000;Time=20180903_135340;;;;;;;;;;
no;Open;High;Low;Close;RSI;MFI;BB.2s;BB.1s;BB.main;BB.-1s;BB.-2s;Diff;High/Low;datetime;
969;129.668;129.718;129.624;129.708;57.4731023099;54.2154921906;129.7609671938;129.9243343875;129.5976;129.4342328062;129.2708656125;0.04;0.094;2018.07.06 23:00;2018.07.07 06:00;1
970;129.711;129.714;129.65;129.666;56.4074264223;55.9173927887;129.7488772684;129.9146045369;129.58315;129.4174227316;129.2516954631;-0.045;0.064;2018.07.06 22:00;2018.07.07 05:00;2
971;129.709;129.751;129.681;129.708;57.7830042279;56.0605479554;129.7412078857;129.9190657714;129.56335;129.3854921143;129.2076342286;-0.001;0.07;2018.07.06 21:00;2018.07.07 04:00;3
972;129.752;129.796;129.71;129.71;57.8468206836;58.1024380649;129.7258159033;129.9050318066;129.5466;129.3673840967;129.1881681934;-0.042;0.086;2018.07.06 20:00;2018.07.07 03:00;4
973;129.672;129.784;129.658;129.754;59.2136061716;54.5773131983;129.7085826556;129.8883153113;129.52885;129.3491173444;129.1693846887;0.082;0.126;2018.07.06 19:00;2018.07.07 02:00;5
974;129.861;129.899;129.657;129.672;57.4329537239;57.3551805677;129.6850270203;129.8593540406;129.5107;129.3363729797;129.1620459594;-0.189;0.242;2018.07.06 18:00;2018.07.07 01:00;6
975;129.789;129.934;129.752;129.858;63.3972160529;62.2996727182;129.6683090342;129.8412680683;129.49535;129.3223909658;129.1494319317;0.069;0.182;2018.07.06 17:00;2018.07.07 00:00;7
976;129.838;129.967;129.791;129.8;62.2354503552;63.890189587;129.6241447505;129.7824895009;129.4658;129.3074552495;129.1491104991;-0.038;0.176;2018.07.06 16:00;2018.07.06 23:00;8
977;129.58;129.962;129.554;129.838;63.4897086253;58.0103991171;129.5831457781;129.7267415563;129.43955;129.2959542219;129.1523584437;0.258;0.408;2018.07.06 15:00;2018.07.06 22:00;9
978;129.514;129.625;129.501;129.578;57.9859840924;56.1759595266;129.5289545033;129.6397090066;129.4182;129.3074454967;129.1966909934;0.064;0.124;2018.07.06 14:00;2018.07.06 21:00;10
979;129.539;129.593;129.49;129.518;56.5500579606;51.484116726;129.5121672314;129.6174344627;129.4069;129.3016327686;129.1963655373;-0.021;0.103;2018.07.06 13:00;2018.07.06 20:00;11
980;129.584;129.643;129.471;129.542;57.2941588923;49.5494031771;129.5022784085;129.604506817;129.40005;129.2978215915;129.195593183;-0.042;0.172;2018.07.06 12:00;2018.07.06 19:00;12
981;129.401;129.591;129.37;129.584;58.5755352712;44.2202856618;129.4939604459;129.5919708917;129.39595;129.2979395541;129.1999291083;0.183;0.221;2018.07.06 11:00;2018.07.06 18:00;13
982;129.638;129.648;129.328;129.401;54.3494550515;44.8417188114;129.4855893313;129.5783786626;129.3928;129.3000106687;129.2072213374;-0.237;0.32;2018.07.06 10:00;2018.07.06 17:00;14
983;129.57;129.743;129.531;129.638;62.1503672964;50.2893287304;129.5032714738;129.6047429476;129.4018;129.3003285262;129.1988570524;0.068;0.212;2018.07.06 09:00;2018.07.06 16:00;15
984;129.33;129.596;129.289;129.57;60.6092761255;45.4477496034;129.4729686083;129.5602372167;129.3857;129.2984313917;129.2111627833;0.24;0.307;2018.07.06 08:00;2018.07.06 15:00;16
985;129.4;129.532;129.243;129.327;54.2911562;44.2591222677;129.451702945;129.5281058899;129.3753;129.298897055;129.2224941101;-0.073;0.289;2018.07.06 07:00;2018.07.06 14:00;17
986;129.337;129.395;129.3;129.395;56.7092552795;37.6960579846;129.4518696134;129.5280392267;129.3757;129.2995303866;129.2233607733;0.058;0.095;2018.07.06 06:00;2018.07.06 13:00;18
987;129.347;129.406;129.272;129.337;55.0883923545;32.7902088494;129.4487233384;129.5263966768;129.37105;129.2933766616;129.2157033232;-0.01;0.134;2018.07.06 05:00;2018.07.06 12:00;19
988;129.419;129.423;129.283;129.348;55.462536762;39.4797399607;129.4505499838;129.5278499677;129.37325;129.2959500162;129.2186500323;-0.071;0.14;2018.07.06 04:00;2018.07.06 11:00;20
989;129.275;129.459;129.241;129.419;57.872675186;46.88128481;129.4536058137;129.5310116275;129.3762;129.2987941863;129.2213883725;0.144;0.218;2018.07.06 03:00;2018.07.06 10:00;21
990;129.374;129.376;129.246;129.27;53.8767869197;41.2222580541;129.5106018174;129.6825536348;129.33865;129.1666981826;128.9947463652;-0.104;0.13;2018.07.06 02:00;2018.07.06 09:00;22
991;129.351;129.392;129.273;129.373;57.4557526012;39.4209148761;129.5374825958;129.7681651916;129.3068;129.0761174042;128.8454348084;0.022;0.119;2018.07.06 01:00;2018.07.06 08:00;23
992;129.283;129.398;129.253;129.355;56.9813229958;42.6325335054;129.5339926401;129.7907852802;129.2772;129.0204073599;128.7636147198;0.072;0.145;2018.07.06 00:00;2018.07.06 07:00;24
993;129.363;129.391;129.32;129.391;58.2147619598;40.990373603;129.5279815587;129.8098131175;129.24615;128.9643184413;128.6824868825;0.028;0.071;2018.07.05 23:00;2018.07.06 06:00;25
994;129.267;129.373;129.257;129.365;57.584819463;37.7904271829;129.5135897195;129.8131794389;129.214;128.9144102806;128.6148205611;0.098;0.116;2018.07.05 22:00;2018.07.06 05:00;26
995;129.272;129.365;129.113;129.267;55.1644782976;37.4096430746;129.4957816041;129.8033132081;129.18825;128.8807183959;128.5731867919;-0.005;0.252;2018.07.05 21:00;2018.07.06 04:00;27
996;129.41;129.444;129.252;129.275;55.4096828044;40.3223585951;129.4831095065;129.8013190129;129.1649;128.8466904935;128.5284809871;-0.135;0.192;2018.07.05 20:00;2018.07.06 03:00;28
997;129.354;129.424;129.343;129.411;59.6949621818;38.3919417059;129.4685993974;129.8004987948;129.1367;128.8048006026;128.4729012052;0.057;0.081;2018.07.05 19:00;2018.07.06 02:00;29
998;129.381;129.447;129.329;129.352;58.3680034257;33.6340816002;129.4394640935;129.7735781871;129.10535;128.7712359065;128.4371218129;-0.029;0.118;2018.07.05 18:00;2018.07.06 01:00;30
999;129.464;129.483;129.328;129.381;59.279323468;33.559252593;129.4129049888;129.7501599777;129.07565;128.7383950112;128.4011400223;-0.083;0.155;2018.07.05 17:00;2018.07.06 00:00;31
1000;129.522;129.522;129.314;129.46;61.775438642;34.0468747821;129.3828129438;129.7150258875;129.0506;128.7183870562;128.3861741125;-0.062;0.208;2018.07.05 16:00;2018.07.05 23:00;32
1001;129.58;129.63;129.454;129.521;63.7443652672;37.9460537191;129.3418281321;129.6622062641;129.02145;128.7010718679;128.3806937359;-0.059;0.176;2018.07.05 15:00;2018.07.05 22:00;33
1002;129.316;129.581;129.286;129.581;65.7010972205;36.7932223115;129.2898559605;129.5899619209;128.98975;128.6896440395;128.3895380791;0.265;0.295;2018.07.05 14:00;2018.07.05 21:00;34
1003;129.367;129.387;129.264;129.316;60.6303854141;33.3196778199;129.2192542638;129.4957085277;128.9428;128.6663457362;128.3898914723;-0.051;0.123;2018.07.05 13:00;2018.07.05 20:00;35
1004;129.334;129.467;129.253;129.362;62.1454587759;36.8390174556;129.1794120597;129.4464241193;128.9124;128.6453879403;128.3783758807;0.028;0.214;2018.07.05 12:00;2018.07.05 19:00;36
1005;129.302;129.379;129.218;129.335;61.6105437069;36.0472795974;129.128721402;129.379292804;128.87815;128.627578598;128.377007196;0.033;0.161;2018.07.05 11:00;2018.07.05 18:00;37
1006;129.385;129.482;129.301;129.302;60.9701643121;39.6064533943;129.0757043539;129.3082587077;128.84315;128.6105956461;128.3780412923;-0.083;0.181;2018.07.05 10:00;2018.07.05 17:00;38
1007;129.407;129.516;129.248;129.381;63.37439405;40.8393098094;129.0209039412;129.2353078824;128.8065;128.5920960588;128.3776921176;-0.026;0.268;2018.07.05 09:00;2018.07.05 16:00;39
1008;128.661;129.418;128.606;129.407;64.1654915034;38.9676452492;128.94100993;129.1132198601;128.7688;128.59659007;128.4243801399;0.746;0.812;2018.07.05 08:00;2018.07.05 15:00;40
1009;128.631;128.709;128.592;128.668;45.9458451035;32.9613623608;128.8260893769;128.9272787538;128.7249;128.6237106231;128.5225212462;0.037;0.117;2018.07.05 07:00;2018.07.05 14:00;41
1010;128.784;128.787;128.576;128.633;44.6803361096;33.1930949909;128.8257564217;128.9275628434;128.72395;128.6221435783;128.5203371566;-0.151;0.211;2018.07.05 06:00;2018.07.05 13:00;42
1011;128.735;128.883;128.703;128.781;49.3187027577;33.8381201154;128.8278281195;128.9275062389;128.72815;128.6284718805;128.5287937611;0.046;0.18;2018.07.05 05:00;2018.07.05 12:00;43
1012;128.745;128.826;128.601;128.734;47.6800937078;32.2370344012;128.8411445029;128.9477890058;128.7345;128.6278554971;128.5212109942;-0.011;0.225;2018.07.05 04:00;2018.07.05 11:00;44
1013;128.852;128.949;128.714;128.748;48.1203547219;35.4651756298;128.8449292791;128.9523585581;128.7375;128.6300707209;128.5226414419;-0.104;0.235;2018.07.05 03:00;2018.07.05 10:00;45
1014;128.799;128.876;128.787;128.85;51.4056929615;41.6717298944;128.850190183;128.9591803661;128.7412;128.632209817;128.5232196339;0.051;0.089;2018.07.05 02:00;2018.07.05 09:00;46
1015;128.706;128.857;128.706;128.8;49.8099522875;37.2303377459;128.8483670084;128.9564840168;128.74025;128.6321329916;128.5240159833;0.094;0.151;2018.07.05 01:00;2018.07.05 08:00;47
1016;128.677;128.817;128.677;128.711;46.8590858691;33.1562718901;128.8537886245;128.9643272489;128.74325;128.6327113755;128.5221727511;0.034;0.14;2018.07.05 00:00;2018.07.05 07:00;48
1017;128.758;128.811;128.73;128.784;49.1089106761;42.77845683;128.8611239804;128.9729979609;128.74925;128.6373760196;128.5255020391;0.026;0.081;2018.07.04 23:00;2018.07.05 06:00;49
1018;128.88;128.912;128.736;128.758;48.2685147673;43.7156789276;128.8575414503;128.9693829006;128.7457;128.6338585497;128.5220170994;-0.122;0.176;2018.07.04 22:00;2018.07.05 05:00;50
1019;128.878;128.907;128.855;128.88;52.1040287966;44.5804571312;128.8562867001;128.9681234003;128.74445;128.6326132999;128.5207765997;0.002;0.052;2018.07.04 21:00;2018.07.05 04:00;51
1020;128.888;128.945;128.842;128.877;52.0149548743;45.450908543;128.8520883768;128.9617767536;128.7424;128.6327116232;128.5230232464;-0.011;0.103;2018.07.04 20:00;2018.07.05 03:00;52
1021;128.642;128.963;128.615;128.887;52.3230943671;41.2620068591;128.8562250976;128.9683001952;128.74415;128.6320749024;128.5199998048;0.245;0.348;2018.07.04 19:00;2018.07.05 02:00;53
1022;128.713;128.722;128.608;128.642;44.6979095341;37.8116820972;128.8593110886;128.9731721772;128.74545;128.6315889114;128.5177278228;-0.071;0.114;2018.07.04 18:00;2018.07.05 01:00;54
1023;128.677;128.736;128.643;128.708;46.6054807627;39.7590974585;128.8832893897;129.0046287795;128.76195;128.6406106103;128.5192712205;0.031;0.093;2018.07.04 17:00;2018.07.05 00:00;55
1024;128.641;128.693;128.595;128.677;45.568951384;37.4350224795;128.8931888613;129.0161777226;128.7702;128.6472111387;128.5242222774;0.036;0.098;2018.07.04 16:00;2018.07.04 23:00;56
1025;128.576;128.66;128.555;128.635;44.1740870446;35.911497512;128.9042467928;129.0277935855;128.7807;128.6571532072;128.5336064145;0.059;0.105;2018.07.04 15:00;2018.07.04 22:00;57
1026;128.623;128.643;128.54;128.569;41.9534374909;31.4273010527;128.9072395224;129.0261790449;128.7883;128.6693604776;128.5504209551;-0.054;0.103;2018.07.04 14:00;2018.07.04 21:00;58
1027;128.529;128.653;128.5;128.627;43.3945127852;30.3113725521;128.9074766672;129.0152533345;128.7997;128.6919233328;128.5841466655;0.098;0.153;2018.07.04 13:00;2018.07.04 20:00;59
1028;128.653;128.702;128.498;128.529;40.0913470581;25.1026311983;128.9148965161;129.0167930323;128.813;128.7111034839;128.6092069677;-0.124;0.204;2018.07.04 12:00;2018.07.04 19:00;60
1029;128.716;128.745;128.611;128.649;43.0109921852;24.6306188673;128.9176402547;129.0008805094;128.8344;128.7511597453;128.6679194906;-0.067;0.134;2018.07.04 11:00;2018.07.04 18:00;61
1030;128.91;128.91;128.667;128.717;44.7659996914;24.1208631782;128.9294693158;129.0075886316;128.85135;128.7732306842;128.6951113684;-0.193;0.243;2018.07.04 10:00;2018.07.04 17:00;62
1031;128.796;128.921;128.736;128.908;50.2356505878;29.3367697427;128.9952107847;129.1111215693;128.8793;128.7633892153;128.6474784307;0.112;0.185;2018.07.04 09:00;2018.07.04 16:00;63
1032;128.817;128.905;128.759;128.794;46.5313554201;23.7621752642;129.0170950864;129.1442901728;128.8899;128.7627049136;128.6355098272;-0.023;0.146;2018.07.04 08:00;2018.07.04 15:00;64
1033;128.834;128.865;128.771;128.822;47.3538235748;22.357360173;129.0627801829;129.2120103659;128.91355;128.7643198171;128.6150896341;-0.012;0.094;2018.07.04 07:00;2018.07.04 14:00;65
1034;128.859;128.861;128.764;128.831;47.6107962324;17.3252296924;129.1119627127;129.2849254255;128.939;128.7660372873;128.5930745745;-0.028;0.097;2018.07.04 06:00;2018.07.04 13:00;66
1035;128.829;128.873;128.735;128.86;48.4150466831;25.7610960002;129.183504047;129.3941580939;128.97285;128.762195953;128.5515419061;0.031;0.138;2018.07.04 05:00;2018.07.04 12:00;67
1036;128.713;128.95;128.696;128.831;47.5737321016;32.7201884669;129.2186056204;129.4410112409;128.9962;128.7737943796;128.5513887591;0.118;0.254;2018.07.04 04:00;2018.07.04 11:00;68
1037;128.729;128.849;128.698;128.713;44.0461861259;32.2983298882;129.2338170648;129.4553341296;129.0123;128.7907829352;128.5692658704;-0.016;0.151;2018.07.04 03:00;2018.07.04 10:00;69
1038;128.84;128.871;128.711;128.733;44.5286163792;38.0903500039;129.234865916;129.446531832;129.0232;128.811534084;128.599868168;-0.107;0.16;2018.07.04 02:00;2018.07.04 09:00;70
1039;128.912;128.939;128.809;128.839;47.1275840456;37.3051166844;129.2354336767;129.4376673534;129.0332;128.8309663233;128.6287326466;-0.073;0.13;2018.07.04 01:00;2018.07.04 08:00;71
1040;128.892;128.943;128.847;128.912;48.9986378794;35.7257169432;129.2375988002;129.4355476004;129.03965;128.8417011998;128.6437523996;0.02;0.096;2018.07.04 00:00;2018.07.04 07:00;72
1041;128.97;128.985;128.913;128.913;49.0239670111;33.5778042375;129.2379130282;129.4353760564;129.04045;128.8429869718;128.6455239436;-0.057;0.072;2018.07.03 23:00;2018.07.04 06:00;73
1042;128.874;128.981;128.865;128.972;50.4867826972;37.984627829;129.2451144331;129.4406788662;129.04955;128.8539855669;128.6584211338;0.098;0.116;2018.07.03 22:00;2018.07.04 05:00;74
1043;128.887;128.925;128.849;128.873;48.0140693762;39.1991407993;129.2497319532;129.4445639065;129.0549;128.8600680468;128.6652360935;-0.014;0.076;2018.07.03 21:00;2018.07.04 04:00;75
