[20190601_174743 / libfx_4.py:667]
source csv	dir	C:\WORKS_2\WS\WS_Others.prog\prog\D-7\2_2\VIRTUAL\Admin_Projects\curr\data\csv_raw
source csv	file	44_5.1_10_rawdata.(AUDJPY).(Period-M15).(NumOfUnits-18000).(Bars-ALL-20190424_184417).20190311_081029.csv

conditions : ALL

s.n.	datetime	diff_OC
1	2018.06.15 02:00	-0.002
2	2018.06.21 20:15	0.003
3	2018.06.25 18:45	0.002
4	2018.06.27 00:45	0.000
5	2018.06.29 13:45	-0.004
6	2018.07.02 01:15	0.009
7	2018.07.02 08:15	0.005
8	2018.07.02 16:45	0.001
9	2018.07.02 20:00	0.003
10	2018.07.05 07:45	0.004
11	2018.07.11 10:00	0.006
12	2018.07.13 12:15	0.001
13	2018.07.13 12:45	-0.001
14	2018.07.16 16:45	-0.003
15	2018.07.19 13:15	-0.002
16	2018.07.19 19:30	0.000
17	2018.07.23 00:15	-0.003
18	2018.07.24 00:00	-0.001
19	2018.07.26 10:15	-0.003
20	2018.07.26 15:30	-0.001
21	2018.07.27 12:00	0.003
22	2018.07.31 22:30	-0.004
23	2018.08.01 12:00	0.003
24	2018.08.01 17:15	-0.002
25	2018.08.01 20:45	0.000
26	2018.08.03 00:00	0.000
27	2018.08.06 04:00	0.002
28	2018.08.06 23:45	0.000
29	2018.08.07 01:00	0.003
30	2018.08.08 10:45	0.002
31	2018.08.08 16:30	-0.001
32	2018.08.08 16:45	-0.003
33	2018.08.09 17:30	0.004
34	2018.08.10 04:00	0.001
35	2018.08.10 19:00	-0.004
36	2018.08.10 19:30	-0.001
37	2018.08.14 03:00	0.004
38	2018.08.15 15:00	-0.008
39	2018.08.15 15:15	-0.007
40	2018.08.17 09:45	0.000
41	2018.08.17 14:00	0.008
42	2018.08.20 03:45	0.003
43	2018.08.20 15:30	0.003
44	2018.08.22 01:00	0.001
45	2018.08.22 09:45	0.000
46	2018.08.22 10:30	0.002
47	2018.08.23 02:30	0.003
48	2018.08.24 22:15	0.003
49	2018.08.29 10:15	0.005
50	2018.09.04 00:30	-0.004
51	2018.09.07 00:30	-0.001
52	2018.09.07 20:45	-0.001
53	2018.09.10 00:30	-0.001
54	2018.09.14 15:45	0.001
55	2018.09.14 16:15	-0.002
56	2018.09.17 01:45	-0.001
57	2018.09.17 22:45	0.001
58	2018.09.20 02:00	-0.005
59	2018.09.21 13:15	0.004
60	2018.09.28 13:45	-0.001
61	2018.10.04 04:15	0.003
62	2018.10.04 05:30	-0.004
63	2018.10.04 19:45	-0.001
64	2018.10.12 18:45	0.005
65	2018.10.12 20:45	0.004
66	2018.10.15 03:15	-0.002
67	2018.10.15 09:00	0.000
68	2018.10.16 00:00	0.000
69	2018.10.17 17:00	0.002
70	2018.10.23 02:00	-0.003
71	2018.10.23 15:15	0.002
72	2018.10.23 15:30	0.006
73	2018.10.24 11:30	-0.001
74	2018.10.25 01:30	0.000
75	2018.10.26 03:45	0.001
76	2018.10.26 07:45	-0.004
77	2018.10.29 22:15	-0.001
78	2018.10.30 20:15	0.003
