[20190604_105745 / libfx_4.py:671]
source csv	dir	C:\WORKS_2\WS\WS_Others.prog\prog\D-7\2_2\VIRTUAL\Admin_Projects\curr\data\csv_raw
source csv	file	44_5.1_10_rawdata.(AUDJPY).(Period-M15).(NumOfUnits-18000).(Bars-ALL-20190424_184417).20190311_081029.csv
start dt	2018.06.14 17:30
end dt	2019.04.24 12:30

conditions : ALL

-----------------------------
locIn_BB	Z5
volOf_OC	0.300
VolOf_HL	4.200
ratioOf_OCHL	0.100
ratioOf_Shadow_Upper_Lower	1.250
-----------------------------

s.n.	datetime	diff_OC	e0.PC	idx	e.-5	e.-4	e.-3	e.-2	e.-1	e0	e1	e2	e3	e4	e5
1	2018.06.15 02:00	-0.002	82.660	34	82.700	82.713	82.708	82.677	82.663	82.660	82.661	82.651	82.592	82.510	82.536
2	2018.06.21 20:15	0.003	81.115	491	81.155	81.169	81.158	81.110	81.111	81.115	81.157	81.187	81.214	81.215	81.237
3	2018.06.25 18:45	0.002	81.162	677	81.247	81.159	81.200	81.140	81.160	81.162	81.028	81.085	81.058	81.054	81.012
4	2018.06.27 00:45	0.000	81.321	797	81.347	81.313	81.314	81.301	81.319	81.321	81.359	81.341	81.339	81.344	81.376
5	2018.06.29 13:45	-0.004	81.537	1041	81.731	81.731	81.745	81.499	81.542	81.537	81.619	81.648	81.661	81.692	81.741
6	2018.07.02 01:15	0.009	81.870	1087	81.884	81.903	81.925	81.839	81.861	81.870	81.945	81.921	81.993	81.933	81.968
7	2018.07.02 08:15	0.005	81.680	1115	81.715	81.766	81.761	81.771	81.675	81.680	81.728	81.706	81.651	81.648	81.620
8	2018.07.02 16:45	0.001	81.371	1149	81.405	81.413	81.425	81.378	81.369	81.371	81.293	81.365	81.378	81.136	80.991
9	2018.07.02 20:00	0.003	81.052	1162	81.063	81.061	81.097	81.080	81.048	81.052	81.060	81.144	81.164	81.189	81.210
10	2018.07.05 07:45	0.004	81.375	1401	81.417	81.407	81.426	81.353	81.371	81.375	81.281	81.381	81.510	81.642	81.578
