[20190604_163331 / libfx_4.py:2226]
source csv	dir	C:\WORKS_2\WS\WS_Others.prog\prog\D-7\2_2\VIRTUAL\Admin_Projects\curr\data\csv_raw
source csv	file	44_5.1_10_rawdata.(AUDJPY).(Period-M15).(NumOfUnits-18000).(Bars-ALL-20190424_184417).20190311_081029.csv
start dt	2018.06.14 17:30
end dt	2019.04.24 12:30

conditions : ALL

-----------------------------
locIn_BB	Z5
volOf_OC	0.300
VolOf_HL	4.200
ratioOf_OCHL	0.100
ratioOf_Shadow_Upper_Lower	1.250
-----------------------------

s.n.	datetime	diff_OC	e0.PC	idx	e.-5	e.-4	e.-3	e.-2	e.-1	e0	e1	e2	e3	e4	e5
1	2018.07.16 16:45	-0.003	83.431	2109	83.458	83.421	83.440	83.462	83.437	83.431	83.438	83.465	83.418	83.377	83.366
2	2018.07.19 13:15	-0.002	83.071	2383	83.117	83.075	83.078	83.112	83.074	83.071	82.989	82.939	82.993	82.973	82.941
3	2018.07.26 10:15	-0.003	82.247	2851	82.295	82.323	82.249	82.229	82.251	82.247	82.244	82.312	82.297	82.234	82.268
4	2018.07.27 12:00	0.003	81.982	2954	82.031	82.014	81.977	81.990	81.976	81.982	82.025	81.975	81.976	81.964	81.979
5	2018.08.01 12:00	0.003	82.956	3242	83.006	83.010	82.950	83.003	82.953	82.956	82.939	82.957	82.998	82.989	82.991
6	2018.08.10 04:00	0.001	81.726	3882	81.893	81.764	81.713	81.775	81.718	81.726	81.725	81.721	81.799	81.798	81.813
7	2018.08.17 09:45	0.000	80.529	4385	80.576	80.611	80.528	80.563	80.530	80.529	80.475	80.470	80.500	80.511	80.678
8	2018.08.17 14:00	0.008	80.311	4402	80.302	80.206	80.297	80.281	80.302	80.311	80.281	80.269	80.277	80.245	80.228
9	2018.09.07 20:45	-0.001	78.861	5869	78.781	78.929	78.861	78.896	78.863	78.861	78.930	78.965	78.951	78.967	78.987
10	2018.09.17 22:45	0.001	80.256	6453	80.454	80.349	80.257	80.275	80.254	80.256	80.256	80.265	80.254	80.289	80.274
11	2018.10.04 19:45	-0.001	80.461	7689	80.573	80.535	80.455	80.425	80.462	80.461	80.392	80.427	80.465	80.476	80.490
12	2018.10.23 15:15	0.002	79.264	8919	79.420	79.407	79.271	79.322	79.262	79.264	79.267	79.245	79.154	79.256	79.268
13	2018.11.07 09:30	-0.001	81.981	9952	82.029	81.983	81.981	81.928	81.982	81.981	81.961	82.142	82.201	82.244	82.309
14	2018.11.29 02:15	0.003	82.959	11457	82.981	82.944	82.946	82.909	82.954	82.959	82.921	82.867	82.851	82.851	82.803
15	2019.02.08 01:15	-0.001	77.944	15980	77.985	77.987	77.938	77.905	77.945	77.944	77.921	77.857	77.851	77.945	77.649
16	2019.02.14 18:15	-0.001	78.500	16432	78.528	78.496	78.490	78.547	78.501	78.500	78.472	78.486	78.531	78.550	78.559
17	2019.03.06 03:45	0.004	78.898	17718	78.949	78.920	78.889	78.862	78.894	78.898	78.939	78.972	78.862	78.697	78.688
18	2019.03.22 06:00	0.002	78.631	18879	78.641	78.649	78.628	78.641	78.628	78.631	78.639	78.700	78.701	78.702	78.733
19	2019.04.11 19:15	0.002	79.439	20276	79.557	79.498	79.439	79.458	79.438	79.439	79.462	79.481	79.487	79.472	79.472
20	2019.04.19 20:15	-0.001	79.985	20856	79.999	79.990	79.986	79.972	79.986	79.985	80.000	79.994	80.000	79.993	79.987
21	2019.04.24 03:45	-0.004	79.306	21078	79.340	79.340	79.310	79.275	79.309	79.306	79.295	79.269	78.808	78.748	78.642
