[20190613_140601 / libfx_4.py:536]
source csv	dir	C:\WORKS_2\WS\WS_Others.prog\prog\D-7\2_2\VIRTUAL\Admin_Projects\curr\data\csv_raw
source csv	file	44_5.1_10_rawdata.(AUDJPY).(Period-M15).(NumOfUnits-18000).(Bars-ALL-20190424_184417).20190311_081029.csv
start dt	2018.06.14 17:30
end dt	2019.04.24 12:30

total bars	21114
num of hits (filter-1)	550 (0.026)
num of hits (filter-2)	22 (0.001)

-----------------------------
Conditions
numOf_Additional_BDs	7
ts_Pop	0.010
-----------------------------

-----------------------------
s.n.	datetime	e0.PC	index
1	2018.06.15 09:15	82.665	63
2	2018.06.15 15:15	82.676	87
3	2018.06.18 09:00	82.299	158
4	2018.06.18 09:45	82.286	161
5	2018.06.18 12:45	82.313	173
6	2018.06.19 00:45	82.061	221
7	2018.06.20 05:45	81.447	337
8	2018.06.20 20:00	81.367	394
9	2018.06.21 06:15	81.455	435
10	2018.06.22 05:30	81.252	528
11	2018.06.22 06:30	81.323	532
12	2018.06.22 13:00	81.850	558
13	2018.06.25 11:30	81.402	648
14	2018.06.25 15:30	81.396	664
15	2018.06.26 01:15	81.356	703
16	2018.06.26 10:30	81.217	740
17	2018.06.26 21:00	81.369	782
18	2018.06.27 13:45	81.118	849
19	2018.06.27 18:00	81.541	866
20	2018.06.28 08:15	81.125	923
21	2018.06.28 14:00	81.003	946
22	2018.06.28 19:00	81.176	966
23	2018.06.28 21:15	81.201	975
24	2018.06.28 22:30	81.260	980
25	2018.06.29 07:45	81.785	1017
26	2018.06.29 12:30	81.793	1036
27	2018.06.29 18:45	81.972	1061
28	2018.07.02 05:30	82.074	1104
29	2018.07.03 00:30	81.340	1180
30	2018.07.03 04:30	81.424	1196
31	2018.07.03 10:15	81.926	1219
32	2018.07.03 11:15	81.935	1223
33	2018.07.03 23:45	81.667	1273
34	2018.07.05 03:45	81.580	1385
35	2018.07.05 11:30	81.704	1416
36	2018.07.05 15:45	81.843	1433
37	2018.07.06 09:45	81.968	1505
38	2018.07.09 01:45	82.069	1569
39	2018.07.09 10:00	82.453	1602
40	2018.07.09 13:15	82.604	1615
41	2018.07.09 15:30	82.617	1624
42	2018.07.09 17:00	82.701	1630
43	2018.07.09 22:00	82.766	1650
44	2018.07.10 04:45	82.966	1677
45	2018.07.10 06:45	83.066	1685
46	2018.07.10 19:45	83.034	1737
47	2018.07.11 06:00	82.423	1778
48	2018.07.11 20:45	82.583	1837
49	2018.07.12 11:00	82.986	1894
50	2018.07.12 14:00	83.053	1906
51	2018.07.12 17:45	83.216	1921
52	2018.07.12 19:15	83.357	1927
53	2018.07.13 03:45	83.562	1961
54	2018.07.13 05:00	83.497	1966
55	2018.07.13 16:45	83.134	2013
56	2018.07.13 18:45	83.333	2021
57	2018.07.13 19:45	83.314	2025
58	2018.07.16 02:30	83.441	2052
59	2018.07.16 05:00	83.468	2062
60	2018.07.16 09:30	83.570	2080
61	2018.07.16 10:15	83.555	2083
62	2018.07.17 08:00	83.556	2170
63	2018.07.17 08:45	83.567	2173
64	2018.07.18 01:45	83.379	2241
65	2018.07.18 05:00	83.425	2254
66	2018.07.20 04:30	82.626	2444
67	2018.07.20 09:30	82.855	2464
68	2018.07.20 11:45	82.858	2473
69	2018.07.20 13:15	82.784	2479
70	2018.07.24 15:45	82.286	2681
71	2018.07.24 18:00	82.464	2690
72	2018.07.25 12:15	82.438	2763
73	2018.07.25 22:00	82.426	2802
74	2018.07.26 00:30	82.729	2812
