[20190613_140602 / libfx_4.py:536]
source csv	dir	C:\WORKS_2\WS\WS_Others.prog\prog\D-7\2_2\VIRTUAL\Admin_Projects\curr\data\csv_raw
source csv	file	44_5.1_10_rawdata.(AUDJPY).(Period-H1).(NumOfUnits-8000).(Bars-ALL-20190508_143318).20190311_090020.csv
start dt	2017.11.21 10:00
end dt	2019.05.08 08:00

total bars	9013
num of hits (filter-1)	254 (0.028)
num of hits (filter-2)	5 (0.001)

-----------------------------
Conditions
numOf_Additional_BDs	7
ts_Pop	0.010
-----------------------------

-----------------------------
s.n.	datetime	e0.PC	index
1	2017.11.21 20:00	85.231	10
2	2017.11.23 14:00	84.856	52
3	2017.11.23 17:00	84.834	55
4	2017.11.24 20:00	84.951	82
5	2017.11.29 03:00	84.820	137
6	2017.11.30 10:00	85.095	168
7	2017.12.01 02:00	85.141	184
8	2017.12.01 12:00	85.301	194
9	2017.12.04 17:00	85.831	223
10	2017.12.05 08:00	86.105	238
11	2017.12.08 11:00	85.281	313
12	2017.12.11 08:00	85.460	334
13	2017.12.11 23:00	85.483	349
14	2017.12.13 20:00	86.052	394
15	2017.12.14 07:00	86.329	405
16	2017.12.14 11:00	86.393	409
17	2017.12.18 11:00	86.353	457
18	2017.12.19 16:00	86.449	486
19	2017.12.19 23:00	86.497	493
20	2017.12.20 16:00	86.877	510
21	2017.12.20 23:00	86.935	517
22	2017.12.21 21:00	87.379	539
23	2017.12.27 08:00	87.668	607
24	2017.12.27 14:00	88.013	613
25	2017.12.27 21:00	88.084	620
26	2018.01.02 09:00	88.326	680
27	2018.01.03 23:00	88.171	718
28	2018.01.04 11:00	88.272	730
29	2018.01.04 22:00	88.682	741
30	2018.01.05 03:00	88.605	746
31	2018.01.09 04:00	88.483	795
32	2018.01.11 11:00	87.947	850
33	2018.01.15 10:00	88.034	897
34	2018.01.15 20:00	88.031	907
35	2018.01.16 06:00	88.338	917
36	2018.01.17 14:00	88.257	949
37	2018.01.17 23:00	88.838	958
38	2018.01.22 20:00	88.941	1027
39	2018.01.23 00:00	88.919	1031
40	2018.01.23 05:00	88.668	1036
41	2018.01.24 14:00	88.341	1069
42	2018.01.26 17:00	88.036	1120
43	2018.01.31 19:00	88.197	1194
44	2018.02.07 02:00	86.535	1297
45	2018.02.09 14:00	84.926	1357
46	2018.02.13 02:00	85.431	1393
47	2018.02.15 00:00	84.736	1439
48	2018.02.19 15:00	84.340	1502
49	2018.02.20 12:00	84.588	1523
50	2018.02.21 06:00	84.705	1541
51	2018.02.26 11:00	83.958	1618
52	2018.03.01 20:00	82.619	1699
53	2018.03.06 06:00	82.737	1757
54	2018.03.06 16:00	82.957	1767
55	2018.03.08 00:00	82.980	1799
56	2018.03.08 07:00	83.032	1806
57	2018.03.09 05:00	83.050	1828
58	2018.03.09 19:00	83.779	1842
59	2018.03.12 04:00	84.015	1851
60	2018.03.13 17:00	84.362	1888
61	2018.03.14 17:00	84.025	1912
62	2018.03.20 00:00	81.867	1991
63	2018.03.20 17:00	81.896	2008
64	2018.03.22 04:00	81.972	2043
65	2018.03.29 00:00	81.818	2159
66	2018.04.03 17:00	81.820	2248
67	2018.04.04 02:00	81.849	2257
68	2018.04.04 08:00	82.113	2263
69	2018.04.05 05:00	82.456	2284
70	2018.04.05 20:00	82.511	2299
71	2018.04.09 20:00	82.406	2347
72	2018.04.10 22:00	83.229	2373
73	2018.04.11 03:00	83.168	2378
74	2018.04.13 15:00	83.976	2438
75	2018.04.18 10:00	83.250	2505
76	2018.04.18 19:00	83.490	2514
77	2018.04.19 09:00	83.816	2528
78	2018.04.24 13:00	82.777	2604
79	2018.04.24 18:00	82.893	2609
80	2018.05.02 12:00	82.523	2747
81	2018.05.03 09:00	82.466	2768
82	2018.05.03 14:00	82.418	2773
83	2018.05.09 18:00	81.840	2873
84	2018.05.09 23:00	81.880	2878
85	2018.05.10 12:00	82.127	2891
86	2018.05.11 02:00	82.400	2905
87	2018.05.14 08:00	82.613	2935
88	2018.05.14 19:00	82.725	2946
89	2018.05.17 12:00	83.322	3011
90	2018.05.18 08:00	83.340	3031
91	2018.05.21 19:00	84.034	3066
92	2018.05.22 02:00	84.185	3073
93	2018.05.22 12:00	84.316	3083
94	2018.05.28 02:00	82.867	3169
95	2018.05.28 10:00	82.893	3177
96	2018.05.30 16:00	82.001	3231
97	2018.05.31 16:00	82.504	3255
98	2018.06.06 10:00	84.194	3345
99	2018.06.11 11:00	83.707	3418
100	2018.06.12 09:00	83.978	3440
101	2018.06.13 16:00	83.822	3471
102	2018.06.13 20:00	83.934	3475
103	2018.06.20 10:00	81.510	3585
104	2018.06.22 16:00	81.820	3639
105	2018.06.26 23:00	81.366	3694
106	2018.06.29 10:00	81.718	3753
107	2018.06.29 13:00	81.731	3756
108	2018.07.03 16:00	81.859	3807
109	2018.07.10 07:00	83.023	3918
110	2018.07.11 00:00	82.560	3935
111	2018.07.11 23:00	82.542	3958
112	2018.07.12 20:00	83.334	3979
113	2018.07.13 09:00	83.492	3992
114	2018.07.16 10:00	83.567	4017
115	2018.07.16 14:00	83.561	4021
116	2018.07.18 23:00	83.519	4078
117	2018.07.24 20:00	82.504	4171
118	2018.07.25 05:00	82.488	4180
119	2018.07.26 04:00	82.585	4203
120	2018.07.31 03:00	82.223	4274
121	2018.07.31 19:00	83.202	4290
122	2018.07.31 22:00	83.164	4293
123	2018.08.06 20:00	82.366	4387
124	2018.08.07 15:00	82.638	4406
125	2018.08.13 18:00	80.698	4505
126	2018.08.16 10:00	80.555	4569
127	2018.08.16 15:00	80.516	4574
128	2018.08.21 08:00	80.992	4639
129	2018.08.21 15:00	81.139	4646
130	2018.08.21 22:00	81.324	4653
131	2018.08.24 20:00	81.468	4723
132	2018.08.27 04:00	81.623	4731
133	2018.08.28 05:00	81.666	4756
134	2018.08.29 08:00	81.704	4783
135	2018.08.30 04:00	81.647	4803
136	2018.09.03 18:00	80.147	4865
137	2018.09.04 10:00	80.235	4881
138	2018.09.10 17:00	79.200	4984
139	2018.09.11 12:00	79.229	5003
140	2018.09.12 03:00	79.373	5018
141	2018.09.12 23:00	79.790	5038
142	2018.09.13 02:00	79.762	5041
143	2018.09.13 08:00	80.034	5047
144	2018.09.14 00:00	80.463	5063
145	2018.09.14 12:00	80.579	5075
146	2018.09.17 21:00	80.447	5108
147	2018.09.19 03:00	81.113	5138
148	2018.09.19 15:00	81.429	5150
149	2018.09.19 22:00	81.563	5157
150	2018.09.21 01:00	81.987	5184
151	2018.09.25 18:00	81.860	5249
152	2018.09.28 07:00	81.910	5310
153	2018.09.28 19:00	82.122	5322
154	2018.10.01 06:00	82.243	5333
155	2018.10.01 23:00	82.349	5350
156	2018.10.10 11:00	80.383	5506
157	2018.10.11 21:00	79.843	5540
158	2018.10.12 11:00	80.013	5554
159	2018.10.18 08:00	80.229	5647
160	2018.10.18 14:00	80.373	5653
161	2018.10.19 18:00	80.246	5681
162	2018.10.24 01:00	79.639	5736
163	2018.10.24 09:00	79.928	5744
164	2018.10.25 17:00	79.690	5776
165	2018.10.25 20:00	79.699	5779
166	2018.10.26 22:00	79.333	5805
167	2018.10.29 04:00	79.325	5811
168	2018.10.29 19:00	79.575	5826
