			source = 44_3.2_15_file-io.USDJPY.Period-H1.Days-5000.Bars-120000.20180903_134452.2018-06.csv
			log = PatternPercentage_UpUpAboveBB1S__UpOrDown.20180922_134424.log
			csv = PatternPercentage_UpUpAboveBB1S__UpOrDown.20180922_134424.(csv).csv
id,dateTime,dateTime_Local,PC

17,2018.06.29 07:00,2018.06.29 14:00,110.683
18,2018.06.29 06:00,2018.06.29 13:00,110.715
22,2018.06.29 02:00,2018.06.29 09:00,110.490
50,2018.06.27 22:00,2018.06.28 05:00,110.209
51,2018.06.27 21:00,2018.06.28 04:00,110.250
52,2018.06.27 20:00,2018.06.28 03:00,110.346
56,2018.06.27 16:00,2018.06.27 23:00,110.249
92,2018.06.26 04:00,2018.06.26 11:00,109.561
99,2018.06.25 21:00,2018.06.26 04:00,109.485
100,2018.06.25 20:00,2018.06.26 03:00,109.543
157,2018.06.21 11:00,2018.06.21 18:00,110.536
176,2018.06.20 16:00,2018.06.20 23:00,110.032
198,2018.06.19 18:00,2018.06.20 01:00,109.826
199,2018.06.19 17:00,2018.06.20 00:00,109.853
200,2018.06.19 16:00,2018.06.19 23:00,109.901
201,2018.06.19 15:00,2018.06.19 22:00,109.895
202,2018.06.19 14:00,2018.06.19 21:00,109.843
203,2018.06.19 13:00,2018.06.19 20:00,109.834
204,2018.06.19 12:00,2018.06.19 19:00,109.836
205,2018.06.19 11:00,2018.06.19 18:00,109.758
244,2018.06.15 20:00,2018.06.16 03:00,110.591
245,2018.06.15 19:00,2018.06.16 02:00,110.585
246,2018.06.15 18:00,2018.06.16 01:00,110.486
253,2018.06.15 11:00,2018.06.15 18:00,110.516
254,2018.06.15 10:00,2018.06.15 17:00,110.758
326,2018.06.12 10:00,2018.06.12 17:00,110.319
339,2018.06.11 21:00,2018.06.12 04:00,110.084
340,2018.06.11 20:00,2018.06.12 03:00,110.010
432,2018.06.06 00:00,2018.06.06 07:00,109.822
433,2018.06.05 23:00,2018.06.06 06:00,109.726
434,2018.06.05 22:00,2018.06.06 05:00,109.754
454,2018.06.05 02:00,2018.06.05 09:00,109.902
455,2018.06.05 01:00,2018.06.05 08:00,109.806
480,2018.06.04 00:00,2018.06.04 07:00,109.458
507,2018.05.31 21:00,2018.06.01 04:00,108.668


