			source = 44_3.2_15_file-io.EURJPY.Period-H1.Days-5000.Bars-120000.20180903_135341.2018-07.csv
			log = PatternPercentage_UpUpAboveBB1S__UpOrDown.20180924_102522.log
			csv = PatternPercentage_UpUpAboveBB1S__UpOrDown.20180924_102522.(csv).csv
id,dateTime,dateTime_Local,PC,dif-0,dif-1,dif-2,rsi.-1,rsi.-2,rsi.-3,mfi.-1,mfi.-2,mfi.-3
1056,2018.07.03 08:00,2018.07.03 15:00,128.932,0.221,0.173,0.180,52.098,52.153,53.074,43.008,44.522,43.848
943,2018.07.10 01:00,2018.07.10 08:00,130.214,0.058,0.168,0.105,66.065,66.594,65.445,56.415,57.846,59.225
925,2018.07.10 19:00,2018.07.11 02:00,130.475,0.084,0.066,0.095,61.793,58.260,54.862,64.112,60.255,59.200
888,2018.07.12 08:00,2018.07.12 15:00,131.081,0.066,0.035,0.094,64.432,64.614,63.781,65.582,63.626,59.052
838,2018.07.16 10:00,2018.07.16 17:00,131.446,0.092,0.019,0.012,57.983,62.278,59.227,74.068,74.704,67.092
837,2018.07.16 11:00,2018.07.16 18:00,131.533,0.019,0.012,0.064,60.799,57.983,62.278,74.786,74.068,74.704
671,2018.07.25 09:00,2018.07.25 16:00,129.969,0.076,0.011,0.012,45.085,44.400,46.844,40.209,39.792,44.733
670,2018.07.25 10:00,2018.07.25 17:00,130.043,0.011,0.012,0.014,48.431,45.085,44.400,40.234,40.209,39.792
598,2018.07.30 10:00,2018.07.30 17:00,129.512,0.049,0.135,0.080,52.355,53.304,50.490,68.901,68.753,69.332
593,2018.07.30 15:00,2018.07.30 22:00,129.754,0.129,0.058,0.027,61.141,62.141,62.302,71.150,71.611,77.101
592,2018.07.30 16:00,2018.07.30 23:00,129.884,0.058,0.027,0.072,65.404,61.141,62.141,75.788,71.150,71.611
585,2018.07.30 23:00,2018.07.31 06:00,129.970,0.038,0.013,0.003,64.653,65.735,64.480,80.208,75.273,75.981


