[20190206_142430 / views.py:5158]
source csv	=	list_4-3.slice-by-day.(2019-01-23).20190206_135722.SHRINK-200.csv
source dpath	=	C:\WORKS_2\WS\WS_Others.prog\prog\D-7\2_2\VIRTUAL\Admin_Projects\curr\data\csv_raw
log file name	=	no-42.[tester-1].20190206_142402.csv
log file dpath	=	C:\WORKS_2\WS\WS_Others.prog\prog\D-7\2_2\VIRTUAL\Admin_Projects\curr\data\log
this file created at	=	20190206_142402

'============== SL ==============
e0.no	idx_op	dateTime	idx_op	dateTime	pr_op	pr_curr	diff
11476	2	2019.01.23 00:04	7	2019.01.23 00:09	124.271	124.239	-0.032
11452	10	2019.01.23 00:12	31	2019.01.23 00:33	124.255	124.205	-0.050
11288	193	2019.01.23 03:15	195	2019.01.23 03:17	124.495	124.469	-0.026
					-0.108

'============== TP ==============
e0.no	idx_op	dateTime	idx_op	dateTime	pr_op	pr_curr	diff
11415	32	2019.01.23 00:34	68	2019.01.23 01:10	124.209	124.247	0.038
11363	69	2019.01.23 01:11	120	2019.01.23 02:02	124.252	124.310	0.058
11340	124	2019.01.23 02:06	143	2019.01.23 02:25	124.314	124.337	0.023
11331	145	2019.01.23 02:27	152	2019.01.23 02:34	124.336	124.383	0.047
11300	155	2019.01.23 02:37	183	2019.01.23 03:05	124.376	124.410	0.034
11293	186	2019.01.23 03:08	190	2019.01.23 03:12	124.385	124.417	0.032
11291	191	2019.01.23 03:13	192	2019.01.23 03:14	124.445	124.492	0.047
					0.279


