[20190208_181104 / views.py:5940]
source csv	=	list_4-3.slice-by-day.(2019-01-23).20190206_135722.SHRINK-200.csv
source dpath	=	C:\WORKS_2\WS\WS_Others.prog\prog\D-7\2_2\VIRTUAL\Admin_Projects\curr\data\csv_raw
log file name	=	no-42.[tester-1].20190208_181031.csv
log file dpath	=	C:\WORKS_2\WS\WS_Others.prog\prog\D-7\2_2\VIRTUAL\Admin_Projects\curr\data\log
this file created at	=	20190208_181031

'============== SL ==============
e0.no	idx_op	dateTime	idx_curr	dateTime	pr_op	pr_curr	diff	pr_curr less spread	diff
11479	3	2019.01.23 00:05	4	2019.01.23 00:06	124.260	124.258	-0.002	124.248	-0.012
11475	7	2019.01.23 00:09	8	2019.01.23 00:10	124.239	124.233	-0.006	124.223	-0.016
11469	11	2019.01.23 00:13	14	2019.01.23 00:16	124.258	124.235	-0.023	124.225	-0.033
11453	17	2019.01.23 00:19	30	2019.01.23 00:32	124.254	124.225	-0.029	124.215	-0.039
11394	82	2019.01.23 01:24	89	2019.01.23 01:31	124.264	124.252	-0.012	124.242	-0.022
11390	91	2019.01.23 01:33	93	2019.01.23 01:35	124.256	124.242	-0.014	124.232	-0.024
11378	96	2019.01.23 01:38	105	2019.01.23 01:47	124.242	124.234	-0.008	124.224	-0.018
11361	121	2019.01.23 02:03	122	2019.01.23 02:04	124.297	124.292	-0.005	124.282	-0.015
11352	125	2019.01.23 02:07	131	2019.01.23 02:13	124.307	124.303	-0.004	124.293	-0.014
11349	133	2019.01.23 02:15	134	2019.01.23 02:16	124.311	124.293	-0.018	124.283	-0.028
11346	136	2019.01.23 02:18	137	2019.01.23 02:19	124.313	124.292	-0.021	124.282	-0.031
11329	153	2019.01.23 02:35	154	2019.01.23 02:36	124.369	124.367	-0.002	124.357	-0.012
11315	156	2019.01.23 02:38	168	2019.01.23 02:50	124.383	124.363	-0.020	124.353	-0.030
11312	170	2019.01.23 02:52	171	2019.01.23 02:53	124.372	124.356	-0.016	124.346	-0.026
11309	173	2019.01.23 02:55	174	2019.01.23 02:56	124.380	124.362	-0.018	124.352	-0.028
11298	184	2019.01.23 03:06	185	2019.01.23 03:07	124.397	124.372	-0.025	124.362	-0.035
11289	193	2019.01.23 03:15	194	2019.01.23 03:16	124.495	124.482	-0.013	124.472	-0.023
11284	198	2019.01.23 03:20	199	2019.01.23 03:21	124.473	124.460	-0.013	124.450	-0.023
					-0.249

'============== TP ==============
e0.no	idx_op	dateTime	idx_curr	dateTime	pr_op	pr_curr	diff	pr_curr less spread	diff
11447	33	2019.01.23 00:35	36	2019.01.23 00:38	124.231	124.239	0.008	124.229	-0.002
11402	40	2019.01.23 00:42	81	2019.01.23 01:23	124.233	124.261	0.028	124.251	0.018
11365	107	2019.01.23 01:49	118	2019.01.23 02:00	124.246	124.276	0.030	124.266	0.020
11363	119	2019.01.23 02:01	120	2019.01.23 02:02	124.281	124.310	0.029	124.300	0.019
11340	139	2019.01.23 02:21	143	2019.01.23 02:25	124.314	124.337	0.023	124.327	0.013
11331	144	2019.01.23 02:26	152	2019.01.23 02:34	124.333	124.383	0.050	124.373	0.040
11300	177	2019.01.23 02:59	183	2019.01.23 03:05	124.355	124.410	0.055	124.400	0.045
11293	187	2019.01.23 03:09	190	2019.01.23 03:12	124.382	124.417	0.035	124.407	0.025
11291	191	2019.01.23 03:13	192	2019.01.23 03:14	124.445	124.492	0.047	124.482	0.037
					0.305


