[20190209_132236 / views.py:6800]
source csv	=	list_4-3.slice-by-day.(2019-01-23).20190206_135722.SHRINK-200.csv
source dpath	=	C:\WORKS_2\WS\WS_Others.prog\prog\D-7\2_2\VIRTUAL\Admin_Projects\curr\data\csv_raw
log file name	=	no-42.[tester-1].20190209_132204.csv
log file dpath	=	C:\WORKS_2\WS\WS_Others.prog\prog\D-7\2_2\VIRTUAL\Admin_Projects\curr\data\log
this file created at	=	20190209_132204

'============== SL ==============
e0.no	idx_op	dateTime	idx_curr	dateTime	pr_op	pr_curr	diff
11479	3	2019.01.23 00:05	4	2019.01.23 00:06	124.281	124.251	-0.030
11475	7	2019.01.23 00:09	8	2019.01.23 00:10	124.271	124.229	-0.042
11470	11	2019.01.23 00:13	13	2019.01.23 00:15	124.265	124.243	-0.022
11457	17	2019.01.23 00:19	26	2019.01.23 00:28	124.247	124.226	-0.021
11454	28	2019.01.23 00:30	29	2019.01.23 00:31	124.261	124.218	-0.043
11452	30	2019.01.23 00:32	31	2019.01.23 00:33	124.240	124.204	-0.036
11438	43	2019.01.23 00:45	45	2019.01.23 00:47	124.250	124.224	-0.026
11432	47	2019.01.23 00:49	51	2019.01.23 00:53	124.246	124.226	-0.020
11429	53	2019.01.23 00:55	54	2019.01.23 00:56	124.243	124.223	-0.020
11425	56	2019.01.23 00:58	58	2019.01.23 01:00	124.239	124.211	-0.028
11361	121	2019.01.23 02:03	122	2019.01.23 02:04	124.319	124.289	-0.030
11357	125	2019.01.23 02:07	126	2019.01.23 02:08	124.324	124.299	-0.025
11352	127	2019.01.23 02:09	131	2019.01.23 02:13	124.321	124.296	-0.025
11349	133	2019.01.23 02:15	134	2019.01.23 02:16	124.322	124.290	-0.032
11346	136	2019.01.23 02:18	137	2019.01.23 02:19	124.314	124.292	-0.022
11332	149	2019.01.23 02:31	151	2019.01.23 02:33	124.366	124.343	-0.023
11309	152	2019.01.23 02:34	174	2019.01.23 02:56	124.367	124.346	-0.021
11298	184	2019.01.23 03:06	185	2019.01.23 03:07	124.420	124.371	-0.049
11288	194	2019.01.23 03:16	195	2019.01.23 03:17	124.506	124.465	-0.041
11284	198	2019.01.23 03:20	199	2019.01.23 03:21	124.488	124.458	-0.030
					-0.586

'============== TP ==============
e0.no	idx_op	dateTime	idx_curr	dateTime	pr_op	pr_curr	diff
11441	33	2019.01.23 00:35	42	2019.01.23 00:44	124.218	124.260	0.042
11366	62	2019.01.23 01:04	117	2019.01.23 01:59	124.239	124.285	0.046
11363	118	2019.01.23 02:00	120	2019.01.23 02:02	124.274	124.315	0.041
11335	139	2019.01.23 02:21	148	2019.01.23 02:30	124.316	124.362	0.046
11300	177	2019.01.23 02:59	183	2019.01.23 03:05	124.366	124.413	0.047
11292	187	2019.01.23 03:09	191	2019.01.23 03:13	124.394	124.446	0.052
11290	192	2019.01.23 03:14	193	2019.01.23 03:15	124.455	124.522	0.067
					0.341


