[20190209_143723 / views.py:6892]
source csv	=	list_4-3.slice-by-day.(2019-01-23).20190206_135722.SHRINK-50.csv
source dpath	=	C:\WORKS_2\WS\WS_Others.prog\prog\D-7\2_2\VIRTUAL\Admin_Projects\curr\data\csv_raw
log file name	=	no-42.[tester-1].20190209_143717.csv
log file dpath	=	C:\WORKS_2\WS\WS_Others.prog\prog\D-7\2_2\VIRTUAL\Admin_Projects\curr\data\log
this file created at	=	20190209_143717
margin_SL=	0.020	margin_TP=	0.040	spread=	0.010

'============== SL ==============
s.n.	e0.no	idx_op	dateTime	idx_curr	dateTime	pr_op	pr_curr	diff	diff of idx
1	11479	3	2019.01.23 00:05	4	2019.01.23 00:06	124.281	124.251	-0.030	1
2	11475	7	2019.01.23 00:09	8	2019.01.23 00:10	124.271	124.229	-0.042	1
3	11470	11	2019.01.23 00:13	13	2019.01.23 00:15	124.265	124.243	-0.022	2
4	11457	17	2019.01.23 00:19	26	2019.01.23 00:28	124.247	124.226	-0.021	9
5	11454	28	2019.01.23 00:30	29	2019.01.23 00:31	124.261	124.218	-0.043	1
6	11452	30	2019.01.23 00:32	31	2019.01.23 00:33	124.240	124.204	-0.036	1
7	11438	43	2019.01.23 00:45	45	2019.01.23 00:47	124.250	124.224	-0.026	2
					-0.220

'============== TP ==============
s.n.	e0.no	idx_op	dateTime	idx_curr	dateTime	pr_op	pr_curr	diff	diff of idx
1	11441	33	2019.01.23 00:35	42	2019.01.23 00:44	124.218	124.260	0.042	9
					0.042


