[20190209_144139 / views.py:6892]
source csv	=	list_4-3.slice-by-day.(2019-01-23).20190206_135722.csv
source dpath	=	C:\WORKS_2\WS\WS_Others.prog\prog\D-7\2_2\VIRTUAL\Admin_Projects\curr\data\csv_raw
log file name	=	no-42.[tester-1].20190209_143838.csv
log file dpath	=	C:\WORKS_2\WS\WS_Others.prog\prog\D-7\2_2\VIRTUAL\Admin_Projects\curr\data\log
this file created at	=	20190209_143838
margin_SL=	0.020	margin_TP=	0.040	spread=	0.010

'============== SL ==============
s.n.	e0.no	idx_op	dateTime	idx_curr	dateTime	pr_op	pr_curr	diff	diff of idx
1	11479	3	2019.01.23 00:05	4	2019.01.23 00:06	124.281	124.251	-0.030	1
2	11475	7	2019.01.23 00:09	8	2019.01.23 00:10	124.271	124.229	-0.042	1
3	11470	11	2019.01.23 00:13	13	2019.01.23 00:15	124.265	124.243	-0.022	2
4	11457	17	2019.01.23 00:19	26	2019.01.23 00:28	124.247	124.226	-0.021	9
5	11454	28	2019.01.23 00:30	29	2019.01.23 00:31	124.261	124.218	-0.043	1
6	11452	30	2019.01.23 00:32	31	2019.01.23 00:33	124.240	124.204	-0.036	1
7	11438	43	2019.01.23 00:45	45	2019.01.23 00:47	124.250	124.224	-0.026	2
8	11432	47	2019.01.23 00:49	51	2019.01.23 00:53	124.246	124.226	-0.020	4
9	11429	53	2019.01.23 00:55	54	2019.01.23 00:56	124.243	124.223	-0.020	1
10	11425	56	2019.01.23 00:58	58	2019.01.23 01:00	124.239	124.211	-0.028	2
11	11361	121	2019.01.23 02:03	122	2019.01.23 02:04	124.319	124.289	-0.030	1
12	11357	125	2019.01.23 02:07	126	2019.01.23 02:08	124.324	124.299	-0.025	1
13	11352	127	2019.01.23 02:09	131	2019.01.23 02:13	124.321	124.296	-0.025	4
14	11349	133	2019.01.23 02:15	134	2019.01.23 02:16	124.322	124.290	-0.032	1
15	11346	136	2019.01.23 02:18	137	2019.01.23 02:19	124.314	124.292	-0.022	1
16	11332	149	2019.01.23 02:31	151	2019.01.23 02:33	124.366	124.343	-0.023	2
17	11309	152	2019.01.23 02:34	174	2019.01.23 02:56	124.367	124.346	-0.021	22
18	11298	184	2019.01.23 03:06	185	2019.01.23 03:07	124.420	124.371	-0.049	1
19	11288	194	2019.01.23 03:16	195	2019.01.23 03:17	124.506	124.465	-0.041	1
20	11284	198	2019.01.23 03:20	199	2019.01.23 03:21	124.488	124.458	-0.030	1
21	11268	209	2019.01.23 03:31	215	2019.01.23 03:37	124.532	124.510	-0.022	6
