[20190311_090203 / views.py:11753]
fname_Src_CSV	44_5.1_10_rawdata.(AUDJPY).(Period-H1).(NumOfUnits-8000).(Bars-ALL-20190311_090135).20190311_090020.csv
slice by	day
this file	no-44.[ups-downs-in_BB].[v-1.0].(AUDJPY-H1).(20190311_090201).csv
pair	AUDJPY
timeframe	H1
start	2017.11.21 10:00
end	2019.03.11 03:00

[ups/downs]==============================
s.n.	start	end	total	UU	UD	DU	DD	%UU	%UD	%DU	%DD


[20190311_090203 / views.py:11768]


[lo_UU]==============================
s.n.	e0.dateTime	e1.dateTime	e0.CP	e1.CP	e0.BB_M2S	e0.BB_M1S	e0.BB_Main	e0.BB_1S	e0.BB_2S
1	2019.03.11 00:00	2019.03.11 01:00	78.155	78.189	77.773	77.940	78.108	78.275	78.442
2	2019.03.08 00:00	2019.03.08 01:00	78.315	78.411	78.174	78.357	78.540	78.724	78.907
3	2019.03.08 03:00	2019.03.08 04:00	78.247	78.264	78.085	78.281	78.477	78.673	78.869
4	2019.03.08 10:00	2019.03.08 11:00	77.885	78.040	77.737	77.977	78.217	78.457	78.697
5	2019.03.08 11:00	2019.03.08 12:00	78.040	78.106	77.746	77.966	78.187	78.407	78.627
6	2019.03.08 12:00	2019.03.08 13:00	78.106	78.131	77.747	77.957	78.168	78.379	78.589
7	2019.03.08 16:00	2019.03.08 17:00	78.208	78.239	77.767	77.937	78.106	78.276	78.445
8	2019.03.08 17:00	2019.03.08 18:00	78.239	78.307	77.767	77.938	78.109	78.280	78.451
9	2019.03.07 02:00	2019.03.07 03:00	78.503	78.578	78.426	78.499	78.572	78.645	78.718
10	2019.03.07 03:00	2019.03.07 04:00	78.578	78.650	78.428	78.498	78.568	78.638	78.708
11	2019.03.07 04:00	2019.03.07 05:00	78.650	78.657	78.431	78.499	78.566	78.634	78.701
12	2019.03.07 05:00	2019.03.07 06:00	78.657	78.711	78.429	78.499	78.569	78.639	78.708
13	2019.03.07 06:00	2019.03.07 07:00	78.711	78.713	78.422	78.499	78.575	78.651	78.728
14	2019.03.07 07:00	2019.03.07 08:00	78.713	78.715	78.417	78.498	78.578	78.659	78.739
15	2019.03.07 13:00	2019.03.07 14:00	78.695	78.713	78.414	78.509	78.604	78.699	78.794
16	2019.03.07 22:00	2019.03.07 23:00	78.232	78.278	78.242	78.407	78.572	78.737	78.902
17	2019.03.06 06:00	2019.03.06 07:00	78.609	78.663	78.652	78.879	79.107	79.335	79.562
18	2019.03.06 07:00	2019.03.06 08:00	78.663	78.683	78.592	78.833	79.073	79.314	79.555
19	2019.03.06 14:00	2019.03.06 15:00	78.628	78.652	78.300	78.589	78.877	79.166	79.454
