[20190311_090203 / views.py:11521]
fname_Src_CSV	44_5.1_10_rawdata.(AUDJPY).(Period-H1).(NumOfUnits-8000).(Bars-ALL-20190311_090135).20190311_090020.csv
slice by	day
this file	no-44.[ups-downs-in_BB].[v-1.0].(AUDJPY-H1).(20190311_090201).csv
pair	AUDJPY
timeframe	H1
start	2017.11.21 10:00
end	2019.03.11 03:00

[ups/downs]==============================
s.n.	start	end	total	UU	UD	DU	DD	%UU	%UD	%DU	%DD
[20190311_090203 / views.py:11613]
1	2019.03.11 00:00	2019.03.11 03:00	4	1	1	1	0	0.250	0.250	0.250	0.000
2	2019.03.08 00:00	2019.03.08 23:00	24	7	6	6	4	0.292	0.250	0.250	0.167
3	2019.03.07 00:00	2019.03.07 23:00	24	8	3	4	6	0.333	0.125	0.167	0.250
4	2019.03.06 00:00	2019.03.06 23:00	24	5	5	6	7	0.208	0.208	0.250	0.292
5	2019.03.05 00:00	2019.03.05 23:00	24	7	7	7	2	0.292	0.292	0.292	0.083
6	2019.03.04 00:00	2019.03.04 23:00	24	7	5	6	5	0.292	0.208	0.250	0.208
7	2019.03.01 00:00	2019.03.01 23:00	24	10	4	3	4	0.417	0.167	0.125	0.167
8	2019.02.28 00:00	2019.02.28 23:00	24	5	6	6	6	0.208	0.250	0.250	0.250
9	2019.02.27 00:00	2019.02.27 23:00	24	4	7	8	2	0.167	0.292	0.333	0.083
10	2019.02.26 00:00	2019.02.26 23:00	24	3	5	5	8	0.125	0.208	0.208	0.333
11	2019.02.25 00:00	2019.02.25 23:00	24	10	5	4	2	0.417	0.208	0.167	0.083
12	2019.02.22 00:00	2019.02.22 23:00	24	7	6	5	5	0.292	0.250	0.208	0.208
13	2019.02.21 00:00	2019.02.21 23:00	24	3	7	6	7	0.125	0.292	0.250	0.292
14	2019.02.20 00:00	2019.02.20 23:00	24	7	6	7	3	0.292	0.250	0.292	0.125
15	2019.02.19 00:00	2019.02.19 23:00	24	7	7	7	2	0.292	0.292	0.292	0.083
16	2019.02.18 00:00	2019.02.18 23:00	24	9	5	4	5	0.375	0.208	0.167	0.208
17	2019.02.15 00:00	2019.02.15 23:00	24	11	4	4	4	0.458	0.167	0.167	0.167
18	2019.02.14 00:00	2019.02.14 23:00	24	4	8	8	3	0.167	0.333	0.333	0.125
19	2019.02.13 00:00	2019.02.13 23:00	24	4	5	6	6	0.167	0.208	0.250	0.250
20	2019.02.12 00:00	2019.02.12 23:00	24	13	4	4	2	0.542	0.167	0.167	0.083
21	2019.02.11 00:00	2019.02.11 23:00	24	2	8	7	6	0.083	0.333	0.292	0.250
22	2019.02.08 00:00	2019.02.08 23:00	24	5	6	6	6	0.208	0.250	0.250	0.250
