[20190318_083041 / views.py:11855]==============================
fname_Src_CSV	44_5.1_10_rawdata.(AUDJPY).(Period-H1).(NumOfUnits-8000).(Bars-ALL-20190311_090135).20190311_090020.csv
slice by	through
this file	(20190318_083040).(AUDJPY-H1).[sec-1.A-5.BB-diff-histogram.UU-UD-DU-DD].csv 
pair	AUDJPY
timeframe	H1
start	2017.11.21 10:00
end	2019.03.11 03:00
total bars	8000

[20190318_083041 / views.py:11873]
[20190318_083041 / views.py:11613]==============================
average	0.196
max	0.903
min	0.016
variance	0.0183726
std	0.13555
median	0.165

[20190318_083041 / views.py:11635]
[BB-diff-histogram : lo_UU_Z1]==============================
s.n.	e0.dateTime	diff-total
1	2017.11.21 12:00	0.211
2	2017.11.23 11:00	0.241
3	2017.11.24 06:00	0.087
4	2017.11.30 03:00	0.228
5	2017.11.30 07:00	0.149
6	2017.12.01 15:00	0.437
7	2017.12.01 16:00	0.307
8	2017.12.08 03:00	0.112
9	2017.12.08 04:00	0.078
10	2017.12.08 05:00	0.044
11	2017.12.11 02:00	0.139
12	2017.12.11 03:00	0.043
13	2017.12.11 04:00	0.046
14	2017.12.11 05:00	0.085
15	2017.12.12 09:00	0.165
16	2017.12.12 10:00	0.222
17	2017.12.12 11:00	0.197
18	2017.12.12 12:00	0.078
19	2017.12.13 16:00	0.140
20	2017.12.13 17:00	0.065
21	2017.12.18 08:00	0.102
22	2017.12.20 09:00	0.204
23	2017.12.20 10:00	0.083
24	2017.12.20 11:00	0.069
25	2017.12.21 13:00	0.090
26	2017.12.21 14:00	0.067
27	2017.12.21 15:00	0.109
28	2017.12.21 16:00	0.198
29	2017.12.21 17:00	0.186
30	2017.12.21 18:00	0.077
31	2017.12.27 02:00	0.090
32	2017.12.27 03:00	0.058
33	2018.01.02 03:00	0.082
34	2018.01.02 04:00	0.153
35	2018.01.02 05:00	0.152
36	2018.01.02 06:00	0.056
37	2018.01.04 16:00	0.304
38	2018.01.04 19:00	0.106
39	2018.01.11 05:00	0.188
40	2018.01.11 06:00	0.130
41	2018.01.17 19:00	0.286
42	2018.01.17 20:00	0.339
43	2018.01.22 11:00	0.130
44	2018.01.22 15:00	0.068
45	2018.01.22 17:00	0.155
46	2018.01.24 11:00	0.191
47	2018.01.29 17:00	0.210
48	2018.01.29 18:00	0.031
49	2018.01.31 12:00	0.152
50	2018.01.31 13:00	0.173
51	2018.02.06 23:00	0.278
52	2018.02.12 23:00	0.208
53	2018.03.01 17:00	0.312
54	2018.03.05 18:00	0.345
55	2018.03.05 19:00	0.179
56	2018.03.05 20:00	0.071
57	2018.03.05 21:00	0.063
58	2018.03.06 13:00	0.903
59	2018.03.07 21:00	0.240
60	2018.03.09 16:00	0.333
61	2018.03.13 06:00	0.194
62	2018.03.13 07:00	0.142
63	2018.03.13 08:00	0.112
64	2018.03.13 12:00	0.298
65	2018.03.21 23:00	0.060
66	2018.03.26 22:00	0.302
67	2018.03.26 23:00	0.055
68	2018.04.05 17:00	0.212
69	2018.04.12 13:00	0.261
70	2018.04.12 16:00	0.132
71	2018.04.12 17:00	0.054
72	2018.04.13 08:00	0.379
73	2018.04.13 09:00	0.374
74	2018.05.02 09:00	0.235
75	2018.05.09 13:00	0.165
76	2018.05.10 09:00	0.302
77	2018.05.11 12:00	0.084
78	2018.05.16 16:00	0.386
79	2018.05.21 06:00	0.094
80	2018.05.22 09:00	0.290
81	2018.05.30 13:00	0.285
