[20190318_083041 / views.py:12281]
fname_Src_CSV	44_5.1_10_rawdata.(AUDJPY).(Period-H1).(NumOfUnits-8000).(Bars-ALL-20190311_090135).20190311_090020.csv
slice by	through
this file	no-44.[ups-downs-in_BB].[v-1.0].(AUDJPY-H1).(20190318_083040).csv
pair	AUDJPY
timeframe	H1
start	2017.11.21 10:00
end	2019.03.11 03:00
bars	8000



[20190318_083041 / views.py:12300]


[lo_UU]==============================
s.n.	e0.dateTime	e1.dateTime	e0.CP	e1.CP	e0.BB_M2S	e0.BB_M1S	e0.BB_Main	e0.BB_1S	e0.BB_2S
1	2017.11.21 11:00	2017.11.21 12:00	85.058	85.245	84.770	84.851	84.931	85.012	85.093
2	2017.11.21 12:00	2017.11.21 13:00	85.245	85.268	84.742	84.846	84.950	85.054	85.159
3	2017.11.21 17:00	2017.11.21 18:00	85.251	85.257	84.695	84.853	85.010	85.167	85.325
4	2017.11.22 13:00	2017.11.22 14:00	84.784	84.923	84.632	84.826	85.019	85.213	85.406
5	2017.11.22 22:00	2017.11.22 23:00	84.713	84.744	84.561	84.683	84.804	84.926	85.047
6	2017.11.23 05:00	2017.11.23 06:00	84.745	84.821	84.573	84.645	84.718	84.790	84.863
7	2017.11.23 11:00	2017.11.23 12:00	84.841	84.917	84.574	84.639	84.705	84.770	84.835
8	2017.11.23 23:00	2017.11.24 00:00	84.778	84.809	84.633	84.708	84.783	84.858	84.933
9	2017.11.24 00:00	2017.11.24 01:00	84.809	84.834	84.657	84.724	84.792	84.859	84.926
10	2017.11.24 01:00	2017.11.24 02:00	84.834	84.870	84.662	84.729	84.796	84.863	84.930
11	2017.11.24 02:00	2017.11.24 03:00	84.870	84.875	84.661	84.730	84.798	84.867	84.936
12	2017.11.24 03:00	2017.11.24 04:00	84.875	84.877	84.661	84.731	84.801	84.872	84.942
13	2017.11.24 04:00	2017.11.24 05:00	84.877	84.914	84.690	84.752	84.813	84.875	84.936
14	2017.11.24 05:00	2017.11.24 06:00	84.914	84.988	84.713	84.769	84.825	84.882	84.938
15	2017.11.24 06:00	2017.11.24 07:00	84.988	85.000	84.729	84.785	84.841	84.897	84.953
16	2017.11.24 12:00	2017.11.24 13:00	84.817	84.892	84.703	84.773	84.842	84.911	84.981
17	2017.11.24 15:00	2017.11.24 16:00	84.871	84.918	84.718	84.785	84.853	84.921	84.988
18	2017.11.24 16:00	2017.11.24 17:00	84.918	84.979	84.729	84.795	84.861	84.927	84.992
19	2017.11.24 17:00	2017.11.24 18:00	84.979	84.986	84.732	84.801	84.870	84.939	85.007
20	2017.11.27 00:00	2017.11.27 01:00	84.921	84.987	84.781	84.846	84.912	84.977	85.042
21	2017.11.27 07:00	2017.11.27 08:00	84.721	84.754	84.627	84.745	84.863	84.981	85.099
22	2017.11.27 08:00	2017.11.27 09:00	84.754	84.767	84.620	84.740	84.860	84.980	85.100
23	2017.11.27 09:00	2017.11.27 10:00	84.767	84.838	84.611	84.732	84.854	84.975	85.096
24	2017.11.27 10:00	2017.11.27 11:00	84.838	84.874	84.610	84.731	84.853	84.974	85.095
25	2017.11.27 11:00	2017.11.27 12:00	84.874	85.006	84.610	84.731	84.853	84.974	85.095
26	2017.11.27 19:00	2017.11.27 20:00	84.487	84.505	84.425	84.587	84.750	84.913	85.075
27	2017.11.28 06:00	2017.11.28 07:00	84.603	84.629	84.257	84.431	84.606	84.780	84.954
28	2017.11.28 12:00	2017.11.28 13:00	84.604	84.709	84.386	84.460	84.534	84.608	84.682
29	2017.11.28 18:00	2017.11.28 19:00	84.646	84.669	84.432	84.505	84.579	84.653	84.726
30	2017.11.29 00:00	2017.11.29 01:00	84.741	84.911	84.502	84.565	84.628	84.691	84.754
31	2017.11.29 06:00	2017.11.29 07:00	84.579	84.659	84.471	84.568	84.666	84.764	84.861
32	2017.11.29 12:00	2017.11.29 13:00	84.540	84.553	84.450	84.552	84.655	84.758	84.860
33	2017.11.29 13:00	2017.11.29 14:00	84.553	84.588	84.447	84.550	84.654	84.757	84.861
34	2017.11.29 14:00	2017.11.29 15:00	84.588	84.668	84.442	84.546	84.651	84.756	84.860
35	2017.11.29 15:00	2017.11.29 16:00	84.668	84.682	84.442	84.546	84.651	84.755	84.860
36	2017.11.29 16:00	2017.11.29 17:00	84.682	84.772	84.447	84.551	84.655	84.759	84.863
37	2017.11.29 19:00	2017.11.29 20:00	84.725	84.736	84.444	84.550	84.656	84.763	84.869
38	2017.11.29 22:00	2017.11.29 23:00	84.738	84.739	84.475	84.559	84.642	84.726	84.810
39	2017.11.29 23:00	2017.11.30 00:00	84.739	84.778	84.480	84.560	84.640	84.720	84.799
40	2017.11.30 02:00	2017.11.30 03:00	84.767	84.911	84.498	84.583	84.667	84.751	84.835
41	2017.11.30 03:00	2017.11.30 04:00	84.911	84.994	84.480	84.580	84.679	84.779	84.878
