[20190311_150234 / views.py:11731]
fname_Src_CSV	44_5.1_10_rawdata.(AUDJPY).(Period-M15).(NumOfUnits-18000).(Bars-ALL-20190311_081323).20190311_081029.csv
slice by	day
this file	no-44.[ups-downs-in_BB].[v-1.0].(AUDJPY-M15).(20190311_150231).csv
pair	AUDJPY
timeframe	M15
start	2018.06.14 17:30
end	2019.03.11 02:00

[ups/downs]==============================
s.n.	start	end	total	UU	UD	DU	DD	%UU	%UD	%DU	%DD


[20190311_150234 / views.py:11746]


[lo_UU]==============================
s.n.	e0.dateTime	e1.dateTime	e0.CP	e1.CP	e0.BB_M2S	e0.BB_M1S	e0.BB_Main	e0.BB_1S	e0.BB_2S
1	2019.03.11 00:00	2019.03.11 00:15	78.138	78.195	78.194	78.233	78.272	78.312	78.351
2	2019.03.11 00:15	2019.03.11 00:30	78.195	78.228	78.183	78.225	78.268	78.311	78.353
3	2019.03.11 01:30	2019.03.11 01:45	78.118	78.189	78.110	78.176	78.242	78.309	78.375
4	2019.03.11 01:45	2019.03.11 02:00	78.189	78.254	78.105	78.171	78.237	78.304	78.370
5	2019.03.08 00:15	2019.03.08 00:30	78.254	78.272	78.145	78.224	78.303	78.382	78.461
6	2019.03.08 00:30	2019.03.08 00:45	78.272	78.315	78.147	78.222	78.296	78.370	78.444
7	2019.03.08 00:45	2019.03.08 01:00	78.315	78.318	78.156	78.223	78.289	78.356	78.422
8	2019.03.08 01:00	2019.03.08 01:15	78.318	78.372	78.166	78.225	78.284	78.343	78.402
9	2019.03.08 01:15	2019.03.08 01:30	78.372	78.391	78.171	78.227	78.282	78.338	78.393
10	2019.03.08 01:30	2019.03.08 01:45	78.391	78.411	78.168	78.226	78.283	78.341	78.398
11	2019.03.08 03:30	2019.03.08 03:45	78.181	78.247	78.135	78.206	78.277	78.348	78.419
12	2019.03.08 03:45	2019.03.08 04:00	78.247	78.254	78.137	78.207	78.278	78.348	78.419
13	2019.03.08 04:00	2019.03.08 04:15	78.254	78.336	78.136	78.206	78.277	78.348	78.418
14	2019.03.08 09:45	2019.03.08 10:00	77.764	77.818	77.640	77.787	77.934	78.082	78.229
15	2019.03.08 10:00	2019.03.08 10:15	77.818	77.867	77.650	77.782	77.914	78.046	78.178
16	2019.03.08 10:15	2019.03.08 10:30	77.867	77.876	77.659	77.779	77.899	78.020	78.140
17	2019.03.08 10:30	2019.03.08 10:45	77.876	77.885	77.672	77.779	77.886	77.994	78.101
18	2019.03.08 10:45	2019.03.08 11:00	77.885	77.933	77.689	77.782	77.875	77.967	78.060
19	2019.03.08 12:00	2019.03.08 12:15	78.055	78.102	77.689	77.781	77.872	77.963	78.055
20	2019.03.08 12:15	2019.03.08 12:30	78.102	78.117	77.673	77.777	77.881	77.985	78.089
21	2019.03.08 13:30	2019.03.08 13:45	78.107	78.131	77.676	77.813	77.950	78.088	78.225
22	2019.03.08 13:45	2019.03.08 14:00	78.131	78.139	77.682	77.823	77.964	78.105	78.246
23	2019.03.08 15:45	2019.03.08 16:00	78.015	78.019	77.950	78.013	78.076	78.139	78.202
24	2019.03.08 16:00	2019.03.08 16:15	78.019	78.097	77.969	78.024	78.080	78.136	78.191
25	2019.03.08 16:15	2019.03.08 16:30	78.097	78.146	77.998	78.043	78.088	78.133	78.178
26	2019.03.08 16:30	2019.03.08 16:45	78.146	78.208	78.002	78.047	78.093	78.139	78.184
27	2019.03.08 17:15	2019.03.08 17:30	78.200	78.290	78.003	78.057	78.111	78.165	78.220
28	2019.03.08 18:00	2019.03.08 18:15	78.313	78.379	77.971	78.053	78.135	78.218	78.300
29	2019.03.08 20:00	2019.03.08 20:15	78.261	78.265	77.984	78.095	78.206	78.317	78.428
30	2019.03.08 20:15	2019.03.08 20:30	78.265	78.292	77.995	78.104	78.214	78.323	78.433
31	2019.03.08 21:15	2019.03.08 21:30	78.304	78.306	78.155	78.210	78.266	78.321	78.377
32	2019.03.08 22:30	2019.03.08 22:45	78.248	78.283	78.212	78.247	78.282	78.317	78.352
33	2019.03.08 22:45	2019.03.08 23:00	78.283	78.299	78.217	78.251	78.284	78.318	78.351
34	2019.03.07 02:00	2019.03.07 02:15	78.492	78.500	78.484	78.512	78.540	78.568	78.596
35	2019.03.07 02:45	2019.03.07 03:00	78.503	78.571	78.464	78.497	78.531	78.565	78.599
36	2019.03.07 03:30	2019.03.07 03:45	78.572	78.578	78.463	78.498	78.533	78.568	78.603
37	2019.03.07 03:45	2019.03.07 04:00	78.578	78.649	78.462	78.498	78.534	78.571	78.607
38	2019.03.07 06:00	2019.03.07 06:15	78.714	78.718	78.433	78.511	78.590	78.668	78.746
39	2019.03.07 07:15	2019.03.07 07:30	78.680	78.702	78.495	78.566	78.638	78.709	78.781
40	2019.03.07 07:30	2019.03.07 07:45	78.702	78.713	78.531	78.590	78.650	78.710	78.769
41	2019.03.07 07:45	2019.03.07 08:00	78.713	78.718	78.559	78.610	78.661	78.711	78.762
42	2019.03.07 08:00	2019.03.07 08:15	78.718	78.727	78.573	78.620	78.668	78.716	78.763
43	2019.03.07 10:45	2019.03.07 11:00	78.689	78.700	78.651	78.674	78.696	78.719	78.741
44	2019.03.07 11:30	2019.03.07 11:45	78.680	78.695	78.648	78.670	78.691	78.713	78.734
