[20190311_150234 / views.py:11499]
fname_Src_CSV	44_5.1_10_rawdata.(AUDJPY).(Period-M15).(NumOfUnits-18000).(Bars-ALL-20190311_081323).20190311_081029.csv
slice by	day
this file	no-44.[ups-downs-in_BB].[v-1.0].(AUDJPY-M15).(20190311_150231).csv
pair	AUDJPY
timeframe	M15
start	2018.06.14 17:30
end	2019.03.11 02:00

[ups/downs]==============================
s.n.	start	end	total	UU	UD	DU	DD	%UU	%UD	%DU	%DD
[20190311_150234 / views.py:11591]
1	2019.03.11 00:00	2019.03.11 02:00	9	4	2	2	0	0.444	0.222	0.222	0.000
2	2019.03.08 00:00	2019.03.08 23:45	96	29	21	20	24	0.302	0.219	0.208	0.250
3	2019.03.07 00:00	2019.03.07 23:45	96	20	27	27	21	0.208	0.281	0.281	0.219
4	2019.03.06 00:00	2019.03.06 23:45	96	23	23	25	22	0.240	0.240	0.260	0.229
5	2019.03.05 00:00	2019.03.05 23:45	96	23	25	26	19	0.240	0.260	0.271	0.198
6	2019.03.04 00:00	2019.03.04 23:45	96	19	25	25	22	0.198	0.260	0.260	0.229
7	2019.03.01 00:00	2019.03.01 23:45	96	26	22	23	18	0.271	0.229	0.240	0.188
8	2019.02.28 00:00	2019.02.28 23:45	96	18	26	27	22	0.188	0.271	0.281	0.229
9	2019.02.27 00:00	2019.02.27 23:45	96	19	26	25	23	0.198	0.271	0.260	0.240
10	2019.02.26 00:00	2019.02.26 23:45	96	18	28	26	21	0.188	0.292	0.271	0.219
11	2019.02.25 00:00	2019.02.25 23:45	96	31	22	20	14	0.323	0.229	0.208	0.146
12	2019.02.22 00:00	2019.02.22 23:45	96	27	21	22	21	0.281	0.219	0.229	0.219
13	2019.02.21 00:00	2019.02.21 23:45	96	16	25	24	28	0.167	0.260	0.250	0.292
14	2019.02.20 00:00	2019.02.20 23:45	96	18	27	27	23	0.188	0.281	0.281	0.240
15	2019.02.19 00:00	2019.02.19 23:45	96	26	24	24	17	0.271	0.250	0.250	0.177
16	2019.02.18 00:00	2019.02.18 23:45	96	28	23	22	20	0.292	0.240	0.229	0.208
17	2019.02.15 00:00	2019.02.15 23:45	96	36	21	22	16	0.375	0.219	0.229	0.167
18	2019.02.14 00:00	2019.02.14 23:45	96	25	24	24	20	0.260	0.250	0.250	0.208
19	2019.02.13 00:00	2019.02.13 23:45	96	19	25	24	25	0.198	0.260	0.250	0.260
20	2019.02.12 00:00	2019.02.12 23:45	96	15	26	27	21	0.156	0.271	0.281	0.219
21	2019.02.11 00:00	2019.02.11 23:45	96	21	28	28	18	0.219	0.292	0.292	0.188
22	2019.02.08 00:00	2019.02.08 23:45	96	20	21	21	33	0.208	0.219	0.219	0.344
23	2019.02.07 00:00	2019.02.07 23:45	96	25	25	24	21	0.260	0.260	0.250	0.219
24	2019.02.06 00:00	2019.02.06 23:45	96	20	24	24	27	0.208	0.250	0.250	0.281
25	2019.02.05 00:00	2019.02.05 23:45	96	20	24	25	22	0.208	0.250	0.260	0.229
26	2019.02.04 00:00	2019.02.04 23:45	96	31	25	24	15	0.323	0.260	0.250	0.156
27	2019.02.01 00:00	2019.02.01 23:45	96	26	25	25	17	0.271	0.260	0.260	0.177
28	2019.01.31 00:00	2019.01.31 23:45	96	27	23	24	19	0.281	0.240	0.250	0.198
29	2019.01.30 00:00	2019.01.30 23:45	96	22	31	31	11	0.229	0.323	0.323	0.115
30	2019.01.29 00:00	2019.01.29 23:45	96	19	24	26	18	0.198	0.250	0.271	0.188
31	2019.01.28 00:00	2019.01.28 23:45	96	28	23	24	20	0.292	0.240	0.250	0.208
32	2019.01.25 00:00	2019.01.25 23:45	96	25	24	26	18	0.260	0.250	0.271	0.188
33	2019.01.24 00:00	2019.01.24 23:45	96	15	26	27	24	0.156	0.271	0.281	0.250
34	2019.01.23 00:00	2019.01.23 23:45	96	26	25	23	19	0.271	0.260	0.240	0.198
35	2019.01.22 00:00	2019.01.22 23:45	96	17	23	23	30	0.177	0.240	0.240	0.312
36	2019.01.21 00:00	2019.01.21 23:45	96	21	27	26	19	0.219	0.281	0.271	0.198
37	2019.01.18 00:00	2019.01.18 23:45	96	21	25	25	24	0.219	0.260	0.260	0.250
38	2019.01.17 00:00	2019.01.17 23:45	96	16	29	30	20	0.167	0.302	0.312	0.208
39	2019.01.16 00:00	2019.01.16 23:45	96	16	25	23	27	0.167	0.260	0.240	0.281
40	2019.01.15 00:00	2019.01.15 23:45	96	26	23	24	21	0.271	0.240	0.250	0.219
41	2019.01.14 00:00	2019.01.14 23:45	96	19	25	24	25	0.198	0.260	0.250	0.260
42	2019.01.11 00:00	2019.01.11 23:45	96	27	26	26	16	0.281	0.271	0.271	0.167
43	2019.01.10 00:00	2019.01.10 23:45	96	33	22	21	19	0.344	0.229	0.219	0.198
44	2019.01.09 00:00	2019.01.09 23:45	96	26	21	22	24	0.271	0.219	0.229	0.250
45	2019.01.08 00:00	2019.01.08 23:45	96	23	23	23	24	0.240	0.240	0.240	0.250
46	2019.01.07 00:00	2019.01.07 23:45	96	24	26	25	18	0.250	0.271	0.260	0.188
47	2019.01.04 00:00	2019.01.04 23:45	96	35	20	20	20	0.365	0.208	0.208	0.208
48	2019.01.03 00:00	2019.01.03 23:45	96	27	21	22	25	0.281	0.219	0.229	0.260
49	2018.12.28 00:00	2018.12.28 23:45	96	22	23	23	27	0.229	0.240	0.240	0.281
50	2018.12.27 00:00	2018.12.27 23:45	96	16	23	22	34	0.167	0.240	0.229	0.354
51	2018.12.26 00:15	2018.12.26 23:45	95	37	20	19	16	0.389	0.211	0.200	0.168
52	2018.12.25 00:00	2018.12.25 07:45	24	2	8	7	4	0.083	0.333	0.292	0.167
53	2018.12.24 00:00	2018.12.24 23:45	96	16	25	25	27	0.167	0.260	0.260	0.281
54	2018.12.21 00:00	2018.12.21 23:45	96	14	26	26	29	0.146	0.271	0.271	0.302
55	2018.12.20 00:00	2018.12.20 23:45	96	17	22	21	33	0.177	0.229	0.219	0.344
56	2018.12.19 00:00	2018.12.19 23:45	96	15	27	26	25	0.156	0.281	0.271	0.260
57	2018.12.18 00:00	2018.12.18 23:45	96	16	26	25	20	0.167	0.271	0.260	0.208
58	2018.12.17 00:00	2018.12.17 23:45	96	16	25	25	24	0.167	0.260	0.260	0.250
59	2018.12.14 00:00	2018.12.14 23:45	96	12	25	25	31	0.125	0.260	0.260	0.323
60	2018.12.13 00:00	2018.12.13 23:45	96	33	26	27	9	0.344	0.271	0.281	0.094
61	2018.12.12 00:00	2018.12.12 23:45	96	23	22	23	27	0.240	0.229	0.240	0.281
62	2018.12.11 00:00	2018.12.11 23:45	96	19	25	27	22	0.198	0.260	0.281	0.229
63	2018.12.10 02:00	2018.12.10 23:45	88	23	26	26	12	0.261	0.295	0.295	0.136
64	2018.12.07 00:00	2018.12.07 23:45	96	9	29	28	25	0.094	0.302	0.292	0.260
65	2018.12.06 00:00	2018.12.06 23:45	96	21	27	27	20	0.219	0.281	0.281	0.208
66	2018.12.05 00:00	2018.12.05 23:45	96	19	26	24	22	0.198	0.271	0.250	0.229
67	2018.12.04 00:00	2018.12.04 23:45	96	14	24	24	33	0.146	0.250	0.250	0.344
68	2018.12.03 00:00	2018.12.03 23:45	96	18	23	25	25	0.188	0.240	0.260	0.260
69	2018.11.30 00:00	2018.11.30 23:45	96	22	25	26	22	0.229	0.260	0.271	0.229
70	2018.11.29 00:00	2018.11.29 23:45	96	27	25	25	18	0.281	0.260	0.260	0.188
71	2018.11.28 00:00	2018.11.28 23:45	96	27	23	25	18	0.281	0.240	0.260	0.188
72	2018.11.27 00:00	2018.11.27 23:45	96	21	29	29	14	0.219	0.302	0.302	0.146
73	2018.11.26 00:00	2018.11.26 23:45	96	25	19	21	24	0.260	0.198	0.219	0.250
74	2018.11.23 00:00	2018.11.23 23:45	94	20	23	23	27	0.213	0.245	0.245	0.287
75	2018.11.22 00:00	2018.11.22 23:45	96	20	23	23	25	0.208	0.240	0.240	0.260
76	2018.11.21 00:00	2018.11.21 23:45	96	35	20	20	19	0.365	0.208	0.208	0.198
77	2018.11.20 00:00	2018.11.20 23:45	96	24	25	25	19	0.250	0.260	0.260	0.198
78	2018.11.19 00:00	2018.11.19 23:45	96	23	26	25	17	0.240	0.271	0.260	0.177
79	2018.11.16 00:00	2018.11.16 23:45	96	17	25	24	27	0.177	0.260	0.250	0.281
80	2018.11.15 00:00	2018.11.15 23:45	96	31	20	20	24	0.323	0.208	0.208	0.250
81	2018.11.14 00:00	2018.11.14 23:45	96	31	24	25	15	0.323	0.250	0.260	0.156
82	2018.11.13 00:00	2018.11.13 23:45	96	32	21	21	19	0.333	0.219	0.219	0.198
83	2018.11.12 00:00	2018.11.12 23:45	96	14	26	26	29	0.146	0.271	0.271	0.302
84	2018.11.09 00:00	2018.11.09 23:45	96	22	23	22	26	0.229	0.240	0.229	0.271
85	2018.11.08 00:00	2018.11.08 23:45	96	26	25	24	18	0.271	0.260	0.250	0.188
86	2018.11.07 00:00	2018.11.07 23:45	96	27	26	25	15	0.281	0.271	0.260	0.156
87	2018.11.06 00:00	2018.11.06 23:45	96	27	24	24	14	0.281	0.250	0.250	0.146
88	2018.11.05 00:00	2018.11.05 23:45	96	27	24	23	21	0.281	0.250	0.240	0.219
89	2018.11.02 00:00	2018.11.02 23:45	96	24	24	24	21	0.250	0.250	0.250	0.219
90	2018.11.01 00:00	2018.11.01 23:45	96	29	23	21	18	0.302	0.240	0.219	0.188
91	2018.10.31 00:00	2018.10.31 23:45	96	23	23	24	25	0.240	0.240	0.250	0.260
92	2018.10.30 00:00	2018.10.30 23:45	96	22	26	27	20	0.229	0.271	0.281	0.208
93	2018.10.29 00:00	2018.10.29 23:45	96	26	23	23	23	0.271	0.240	0.240	0.240
94	2018.10.26 00:00	2018.10.26 23:45	96	22	21	21	31	0.229	0.219	0.219	0.323
95	2018.10.25 00:00	2018.10.25 23:45	96	17	26	24	24	0.177	0.271	0.250	0.250
96	2018.10.24 00:00	2018.10.24 23:45	96	18	26	27	24	0.188	0.271	0.281	0.250
97	2018.10.23 00:00	2018.10.23 23:45	96	23	22	23	25	0.240	0.229	0.240	0.260
98	2018.10.22 00:00	2018.10.22 23:45	96	18	23	23	29	0.188	0.240	0.240	0.302
99	2018.10.19 00:00	2018.10.19 23:45	96	21	25	25	22	0.219	0.260	0.260	0.229
100	2018.10.18 00:00	2018.10.18 23:45	96	19	24	23	27	0.198	0.250	0.240	0.281
101	2018.10.17 00:00	2018.10.17 23:45	96	21	27	26	21	0.219	0.281	0.271	0.219
102	2018.10.16 00:00	2018.10.16 23:45	96	31	24	24	13	0.323	0.250	0.250	0.135
103	2018.10.15 00:00	2018.10.15 23:45	96	22	24	22	19	0.229	0.250	0.229	0.198
104	2018.10.12 00:00	2018.10.12 23:45	96	27	23	24	19	0.281	0.240	0.250	0.198
105	2018.10.11 00:00	2018.10.11 23:45	96	19	25	26	23	0.198	0.260	0.271	0.240
106	2018.10.10 00:00	2018.10.10 23:45	96	24	21	20	24	0.250	0.219	0.208	0.250
107	2018.10.09 00:00	2018.10.09 23:45	96	22	26	25	22	0.229	0.271	0.260	0.229
108	2018.10.08 00:00	2018.10.08 23:45	96	22	24	23	24	0.229	0.250	0.240	0.250
109	2018.10.05 00:00	2018.10.05 23:45	96	18	25	26	26	0.188	0.260	0.271	0.271
110	2018.10.04 00:00	2018.10.04 23:45	96	22	24	24	23	0.229	0.250	0.250	0.240
111	2018.10.03 00:00	2018.10.03 23:45	96	19	20	19	35	0.198	0.208	0.198	0.365
112	2018.10.02 00:00	2018.10.02 23:45	96	22	26	25	20	0.229	0.271	0.260	0.208
113	2018.10.01 00:00	2018.10.01 23:45	96	29	20	19	25	0.302	0.208	0.198	0.260
114	2018.09.28 00:00	2018.09.28 23:45	96	24	25	23	19	0.250	0.260	0.240	0.198
115	2018.09.27 00:00	2018.09.27 23:45	96	18	26	28	19	0.188	0.271	0.292	0.198
116	2018.09.26 00:00	2018.09.26 23:45	96	20	21	22	28	0.208	0.219	0.229	0.292
117	2018.09.25 00:00	2018.09.25 23:45	96	21	25	26	21	0.219	0.260	0.271	0.219
118	2018.09.24 00:00	2018.09.24 23:45	96	23	25	23	18	0.240	0.260	0.240	0.188
119	2018.09.21 00:00	2018.09.21 23:45	96	31	23	23	18	0.323	0.240	0.240	0.188
