[20190427_174405 / views.py:14448]
fname_Src_CSV	44_5.1_10_rawdata.(AUDJPY).(Period-M15).(NumOfUnits-18000).(Bars-ALL-20190424_184417).20190311_081029.csv
slice by	through
this file	(20190427_174402).(AUDJPY-M15).[sec-1.A-10.Possible-patterns.Z1].(20190427_174405).csv
pair	AUDJPY
timeframe	M15
start	2018.06.15 14:45
end	2019.04.23 23:45
bars	1119

BB Area	Z1

[20190427_174405 / views.py:14473]
[BB area : Z1]=============================
s.n.	pattern	num
1	00111	42
2	01011	28
3	01010	33
4	00001	46
5	10011	34
6	11001	37
7	10101	20
8	01111	29
9	00000	25
10	10000	46
11	10010	37
12	11110	29
13	10001	37
14	01001	33
15	10100	44
16	00100	35
17	11111	24
18	01101	31
19	11000	37
20	00101	41
21	11010	31
22	00010	40
23	01000	46
24	10111	30
25	11101	29
26	11100	43
27	00011	43
28	01110	43
29	10110	27
30	01100	31
31	00110	35
32	11011	29
