[20190427_174404 / views.py:14908]
fname_Src_CSV	44_5.1_10_rawdata.(AUDJPY).(Period-M15).(NumOfUnits-18000).(Bars-ALL-20190424_184417).20190311_081029.csv
slice by	through
this file	(20190427_174402).(AUDJPY-M15).[sec-1.A-10.Possible-patterns].(20190427_174404).csv
pair	AUDJPY
timeframe	M15
start	2018.06.14 17:30
end	2019.04.24 12:30
bars	21114

[20190427_174404 / views.py:15003]
[]=============================
s.n.	pattern	num
1	00111	655
2	01011	717
3	01010	750
4	00001	528
5	10011	754
6	11001	719
7	10101	786
8	01111	642
9	00000	428
10	10000	528
11	10010	702
12	11110	642
13	10001	642
14	01001	737
15	10100	696
16	00100	632
17	11111	593
18	01101	701
19	11000	579
20	00101	680
21	11010	732
22	00010	610
23	01000	591
24	10111	705
25	11101	726
26	11100	634
27	00011	560
28	01110	718
29	10110	706
30	01100	664
31	00110	659
32	11011	694
