[20190427_174404 / views.py:15864]
fname_Src_CSV	44_5.1_10_rawdata.(AUDJPY).(Period-M15).(NumOfUnits-18000).(Bars-ALL-20190424_184417).20190311_081029.csv
slice by	through
this file	(20190427_174402).(AUDJPY-M15).[sec-1.A-6.3-seq-list].(20190427_174404).csv
pair	AUDJPY
timeframe	M15
start	2018.06.14 17:30
end	2019.04.24 12:30
bars	21114

[20190427_174404 / views.py:15939]
[lo_UUU : 2595]==============================
s.n.	e0.date	e1.date	e2.date	e0.diff	e1.diff	e2.diff
1	2018.06.15 00:30	2018.06.15 00:45	2018.06.15 01:00	0.013	0.034	0.017
2	2018.06.15 04:15	2018.06.15 04:30	2018.06.15 04:45	0.003	0.083	0.001
3	2018.06.15 04:30	2018.06.15 04:45	2018.06.15 05:00	0.083	0.001	0.013
4	2018.06.15 04:45	2018.06.15 05:00	2018.06.15 05:15	0.001	0.013	0.020
5	2018.06.15 05:00	2018.06.15 05:15	2018.06.15 05:30	0.013	0.020	0.112
6	2018.06.15 05:15	2018.06.15 05:30	2018.06.15 05:45	0.020	0.112	0.015
7	2018.06.15 06:45	2018.06.15 07:00	2018.06.15 07:15	0.059	0.024	0.013
8	2018.06.15 07:00	2018.06.15 07:15	2018.06.15 07:30	0.024	0.013	0.016
9	2018.06.15 07:15	2018.06.15 07:30	2018.06.15 07:45	0.013	0.016	0.016
10	2018.06.15 07:30	2018.06.15 07:45	2018.06.15 08:00	0.016	0.016	0.053
11	2018.06.15 07:45	2018.06.15 08:00	2018.06.15 08:15	0.016	0.053	0.034
12	2018.06.15 11:45	2018.06.15 12:00	2018.06.15 12:15	0.062	0.093	0.008
13	2018.06.15 13:15	2018.06.15 13:30	2018.06.15 13:45	0.048	0.029	0.051
14	2018.06.15 14:15	2018.06.15 14:30	2018.06.15 14:45	0.054	0.048	0.000
15	2018.06.15 20:45	2018.06.15 21:00	2018.06.15 21:15	0.015	0.024	0.047
16	2018.06.18 05:00	2018.06.18 05:15	2018.06.18 05:30	0.077	0.004	0.007
17	2018.06.18 05:15	2018.06.18 05:30	2018.06.18 05:45	0.004	0.007	0.063
18	2018.06.18 06:45	2018.06.18 07:00	2018.06.18 07:15	0.000	0.028	0.014
19	2018.06.18 07:00	2018.06.18 07:15	2018.06.18 07:30	0.028	0.014	0.041
20	2018.06.18 08:00	2018.06.18 08:15	2018.06.18 08:30	0.001	0.029	0.037
21	2018.06.18 11:00	2018.06.18 11:15	2018.06.18 11:30	0.078	0.009	0.160
22	2018.06.18 19:15	2018.06.18 19:30	2018.06.18 19:45	0.007	0.009	0.004
23	2018.06.18 19:30	2018.06.18 19:45	2018.06.18 20:00	0.009	0.004	0.014
24	2018.06.18 19:45	2018.06.18 20:00	2018.06.18 20:15	0.004	0.014	0.047
25	2018.06.18 20:00	2018.06.18 20:15	2018.06.18 20:30	0.014	0.047	0.010
26	2018.06.18 20:15	2018.06.18 20:30	2018.06.18 20:45	0.047	0.010	0.042
27	2018.06.18 23:30	2018.06.18 23:45	2018.06.19 00:00	0.042	0.001	0.029
28	2018.06.18 23:45	2018.06.19 00:00	2018.06.19 00:15	0.001	0.029	0.020
29	2018.06.19 11:30	2018.06.19 11:45	2018.06.19 12:00	0.065	0.108	0.078
30	2018.06.19 16:00	2018.06.19 16:15	2018.06.19 16:30	0.015	0.045	0.025
31	2018.06.19 17:45	2018.06.19 18:00	2018.06.19 18:15	0.120	0.026	0.203
32	2018.06.19 18:00	2018.06.19 18:15	2018.06.19 18:30	0.026	0.203	0.074
33	2018.06.19 18:15	2018.06.19 18:30	2018.06.19 18:45	0.203	0.074	0.034
34	2018.06.19 20:30	2018.06.19 20:45	2018.06.19 21:00	0.063	0.026	0.053
35	2018.06.19 20:45	2018.06.19 21:00	2018.06.19 21:15	0.026	0.053	0.012
36	2018.06.19 21:00	2018.06.19 21:15	2018.06.19 21:30	0.053	0.012	0.027
37	2018.06.19 22:30	2018.06.19 22:45	2018.06.19 23:00	0.005	0.022	0.040
38	2018.06.19 22:45	2018.06.19 23:00	2018.06.19 23:15	0.022	0.040	0.064
39	2018.06.19 23:00	2018.06.19 23:15	2018.06.19 23:30	0.040	0.064	0.004
40	2018.06.20 01:30	2018.06.20 01:45	2018.06.20 02:00	0.073	0.005	0.040
41	2018.06.20 01:45	2018.06.20 02:00	2018.06.20 02:15	0.005	0.040	0.114
42	2018.06.20 02:00	2018.06.20 02:15	2018.06.20 02:30	0.040	0.114	0.004
43	2018.06.20 04:15	2018.06.20 04:30	2018.06.20 04:45	0.172	0.164	0.012
44	2018.06.20 04:30	2018.06.20 04:45	2018.06.20 05:00	0.164	0.012	0.075
45	2018.06.20 04:45	2018.06.20 05:00	2018.06.20 05:15	0.012	0.075	0.030
46	2018.06.20 07:15	2018.06.20 07:30	2018.06.20 07:45	0.021	0.012	0.032
47	2018.06.20 07:30	2018.06.20 07:45	2018.06.20 08:00	0.012	0.032	0.068
48	2018.06.20 07:45	2018.06.20 08:00	2018.06.20 08:15	0.032	0.068	0.117
49	2018.06.20 11:45	2018.06.20 12:00	2018.06.20 12:15	0.001	0.016	0.047
50	2018.06.20 12:00	2018.06.20 12:15	2018.06.20 12:30	0.016	0.047	0.048
51	2018.06.20 15:15	2018.06.20 15:30	2018.06.20 15:45	0.028	0.043	0.044
52	2018.06.20 15:30	2018.06.20 15:45	2018.06.20 16:00	0.043	0.044	0.033
