[20190427_174404 / views.py:16343]
fname_Src_CSV	44_5.1_10_rawdata.(AUDJPY).(Period-M15).(NumOfUnits-18000).(Bars-ALL-20190424_184417).20190311_081029.csv
slice by	through
this file	no-44.[ups-downs-in_BB].[v-1.0].(AUDJPY-M15).(20190427_174402).csv
pair	AUDJPY
timeframe	M15
start	2018.06.14 17:30
end	2019.04.24 12:30
bars	21114



[20190427_174404 / views.py:16362]


[lo_UU]==============================
s.n.	e0.dateTime	e1.dateTime	e0.CP	e1.CP	e0.BB_M2S	e0.BB_M1S	e0.BB_Main	e0.BB_1S	e0.BB_2S
1	2018.06.14 23:00	2018.06.14 23:15	82.811	82.814	82.713	82.791	82.869	82.947	83.024
2	2018.06.15 00:30	2018.06.15 00:45	82.664	82.700	82.648	82.720	82.792	82.864	82.936
3	2018.06.15 00:45	2018.06.15 01:00	82.700	82.713	82.639	82.711	82.783	82.855	82.927
4	2018.06.15 03:15	2018.06.15 03:30	82.536	82.539	82.524	82.605	82.685	82.766	82.846
5	2018.06.15 04:15	2018.06.15 04:30	82.419	82.500	82.421	82.518	82.616	82.714	82.811
6	2018.06.15 04:30	2018.06.15 04:45	82.500	82.501	82.412	82.508	82.604	82.700	82.796
7	2018.06.15 04:45	2018.06.15 05:00	82.501	82.514	82.401	82.498	82.594	82.691	82.787
8	2018.06.15 05:00	2018.06.15 05:15	82.514	82.535	82.394	82.490	82.587	82.683	82.780
9	2018.06.15 05:15	2018.06.15 05:30	82.535	82.650	82.389	82.485	82.581	82.677	82.773
10	2018.06.15 05:30	2018.06.15 05:45	82.650	82.666	82.389	82.485	82.580	82.676	82.771
11	2018.06.15 06:45	2018.06.15 07:00	82.607	82.631	82.404	82.480	82.556	82.632	82.708
12	2018.06.15 07:00	2018.06.15 07:15	82.631	82.645	82.406	82.480	82.554	82.629	82.703
13	2018.06.15 07:15	2018.06.15 07:30	82.645	82.662	82.408	82.481	82.554	82.627	82.700
14	2018.06.15 07:30	2018.06.15 07:45	82.662	82.679	82.407	82.480	82.554	82.628	82.702
15	2018.06.15 07:45	2018.06.15 08:00	82.679	82.732	82.402	82.480	82.559	82.637	82.715
16	2018.06.15 08:00	2018.06.15 08:15	82.732	82.765	82.398	82.484	82.570	82.656	82.742
17	2018.06.15 11:45	2018.06.15 12:00	82.506	82.597	82.394	82.503	82.612	82.721	82.831
18	2018.06.15 12:00	2018.06.15 12:15	82.597	82.604	82.393	82.502	82.611	82.720	82.829
19	2018.06.15 13:15	2018.06.15 13:30	82.557	82.584	82.383	82.479	82.576	82.672	82.769
20	2018.06.15 13:30	2018.06.15 13:45	82.584	82.636	82.394	82.480	82.567	82.653	82.740
21	2018.06.15 14:15	2018.06.15 14:30	82.681	82.728	82.409	82.484	82.560	82.635	82.710
22	2018.06.15 18:30	2018.06.15 18:45	82.401	82.435	82.269	82.394	82.519	82.645	82.770
23	2018.06.15 20:45	2018.06.15 21:00	82.343	82.374	82.273	82.334	82.396	82.457	82.519
24	2018.06.15 21:00	2018.06.15 21:15	82.374	82.422	82.271	82.332	82.392	82.453	82.513
25	2018.06.18 02:00	2018.06.18 02:15	82.309	82.328	82.282	82.317	82.353	82.388	82.423
26	2018.06.18 03:30	2018.06.18 03:45	82.130	82.170	82.144	82.225	82.307	82.388	82.469
27	2018.06.18 05:00	2018.06.18 05:15	82.118	82.122	82.025	82.133	82.242	82.350	82.458
28	2018.06.18 05:15	2018.06.18 05:30	82.122	82.128	82.015	82.122	82.230	82.337	82.445
29	2018.06.18 05:30	2018.06.18 05:45	82.128	82.193	82.009	82.113	82.217	82.321	82.426
30	2018.06.18 07:00	2018.06.18 07:15	82.205	82.219	82.020	82.099	82.178	82.257	82.336
31	2018.06.18 07:15	2018.06.18 07:30	82.219	82.260	82.029	82.101	82.172	82.244	82.316
32	2018.06.18 08:00	2018.06.18 08:15	82.241	82.273	82.049	82.107	82.165	82.223	82.281
33	2018.06.18 08:15	2018.06.18 08:30	82.273	82.311	82.066	82.121	82.176	82.232	82.287
34	2018.06.18 11:00	2018.06.18 11:15	82.224	82.233	82.152	82.198	82.243	82.289	82.334
35	2018.06.18 11:15	2018.06.18 11:30	82.233	82.391	82.156	82.201	82.245	82.289	82.334
36	2018.06.18 13:00	2018.06.18 13:15	82.306	82.339	82.179	82.233	82.287	82.341	82.395
37	2018.06.18 15:15	2018.06.18 15:30	82.221	82.238	82.139	82.205	82.272	82.338	82.404
38	2018.06.18 16:15	2018.06.18 16:30	82.157	82.174	82.121	82.193	82.265	82.337	82.409
39	2018.06.18 17:15	2018.06.18 17:30	82.058	82.126	82.054	82.134	82.214	82.293	82.373
40	2018.06.18 19:15	2018.06.18 19:30	81.912	81.920	81.869	81.979	82.089	82.199	82.309
41	2018.06.18 19:30	2018.06.18 19:45	81.920	81.925	81.850	81.962	82.074	82.186	82.298
42	2018.06.18 19:45	2018.06.18 20:00	81.925	81.941	81.836	81.948	82.060	82.172	82.284
43	2018.06.18 20:00	2018.06.18 20:15	81.941	81.989	81.824	81.937	82.049	82.162	82.274
44	2018.06.18 20:15	2018.06.18 20:30	81.989	82.000	81.826	81.932	82.038	82.144	82.250
45	2018.06.18 20:30	2018.06.18 20:45	82.000	82.041	81.834	81.930	82.026	82.121	82.217
46	2018.06.18 21:15	2018.06.18 21:30	81.999	82.003	81.850	81.926	82.003	82.079	82.156
47	2018.06.18 22:00	2018.06.18 22:15	81.999	82.026	81.869	81.926	81.982	82.039	82.095
48	2018.06.18 22:45	2018.06.18 23:00	82.035	82.039	81.885	81.931	81.977	82.023	82.069
