[20190501_005110 / libfx_2.py:6395]
s.n.	BD.start	list_index	open	close	BD.anchor	list_index	open	close	BD.end(curr)	list_index	open	close
1	2019.04.10 02:45	0	79.160	79.179	2019.04.10 03:00	1	79.180	79.228	2019.04.10 03:45	4	79.218	79.150
2	2019.04.10 04:00	5	79.149	79.155	2019.04.10 04:00	5	79.149	79.155	2019.04.10 04:15	6	79.154	79.134
3	2019.04.10 05:00	9	79.035	79.085	2019.04.10 05:00	9	79.035	79.085	2019.04.10 05:15	10	79.086	79.068
4	2019.04.10 05:30	11	79.067	79.071	2019.04.10 05:45	12	79.071	79.090	2019.04.10 06:00	13	79.091	79.057
5	2019.04.10 06:30	15	79.038	79.226	2019.04.10 14:00	45	79.479	79.525	2019.04.10 15:15	50	79.422	79.347
6	2019.04.10 15:30	51	79.349	79.377	2019.04.10 15:30	51	79.349	79.377	2019.04.10 15:45	52	79.378	79.349
7	2019.04.10 16:30	55	79.285	79.292	2019.04.10 16:45	56	79.292	79.320	2019.04.10 17:00	57	79.319	79.297
8	2019.04.10 18:00	61	79.243	79.286	2019.04.11 04:15	102	79.569	79.591	2019.04.11 06:15	110	79.489	79.460
9	2019.04.11 06:30	111	79.459	79.490	2019.04.11 10:15	126	79.551	79.608	2019.04.11 10:30	127	79.604	79.557
10	2019.04.11 11:00	129	79.503	79.529	2019.04.11 11:00	129	79.503	79.529	2019.04.11 11:15	130	79.528	79.508
11	2019.04.11 11:30	131	79.509	79.514	2019.04.11 12:00	133	79.518	79.546	2019.04.11 12:15	134	79.545	79.530
12	2019.04.11 13:00	137	79.525	79.542	2019.04.11 13:45	140	79.555	79.565	2019.04.11 14:00	141	79.564	79.547
13	2019.04.11 14:30	143	79.518	79.522	2019.04.11 14:45	144	79.522	79.547	2019.04.11 15:00	145	79.544	79.504
14	2019.04.11 15:30	147	79.479	79.490	2019.04.11 15:45	148	79.491	79.496	2019.04.11 16:15	150	79.490	79.484
15	2019.04.11 16:30	151	79.485	79.529	2019.04.11 16:45	152	79.529	79.558	2019.04.11 17:15	154	79.550	79.527
16	2019.04.11 17:30	155	79.529	79.570	2019.04.11 17:45	156	79.572	79.593	2019.04.11 18:00	157	79.597	79.557
17	2019.04.11 18:45	160	79.439	79.458	2019.04.11 18:45	160	79.439	79.458	2019.04.11 19:00	161	79.458	79.438
18	2019.04.11 19:15	162	79.437	79.439	2019.04.11 20:00	165	79.480	79.487	2019.04.11 21:00	169	79.477	79.471
19	2019.04.11 21:15	170	79.469	79.472	2019.04.11 21:30	171	79.474	79.493	2019.04.11 21:45	172	79.492	79.484
20	2019.04.11 22:00	173	79.483	79.515	2019.04.11 23:00	177	79.522	79.532	2019.04.11 23:15	178	79.532	79.513
21	2019.04.11 23:30	179	79.512	79.535	2019.04.12 00:00	181	79.510	79.546	2019.04.12 00:30	183	79.546	79.523
22	2019.04.12 00:45	184	79.514	79.522	2019.04.12 00:45	184	79.514	79.522	2019.04.12 01:00	185	79.530	79.517
23	2019.04.12 01:15	186	79.516	79.534	2019.04.12 01:15	186	79.516	79.534	2019.04.12 01:30	187	79.533	79.519
24	2019.04.12 02:00	189	79.513	79.516	2019.04.12 02:00	189	79.513	79.516	2019.04.12 02:30	191	79.516	79.514
25	2019.04.12 02:45	192	79.514	79.522	2019.04.12 02:45	192	79.514	79.522	2019.04.12 03:00	193	79.522	79.462
26	2019.04.12 03:15	194	79.464	79.505	2019.04.12 04:00	197	79.675	79.688	2019.04.12 04:30	199	79.681	79.556
