[20190503_001757 / libfx_2.py:6507]
file(this)	data.[Sec_1_A12_Detect].[dp-mountain~list].(20190503_001459).dat
pair	AUDJPY
timeframe	M15
source	44_5.1_10_rawdata.(AUDJPY).(Period-M15).(NumOfUnits-18000).(Bars-ALL-20190424_184417).20190311_081029.[SLICE-1000].csv
start	2019.04.10 02:45
end	2019.04.24 12:30
ratioOf_TS	0.300
lenOf_LO_BDs	1000

------------------------------
s.n.	BD.start	list_index	open	close	BB.2S	BB.1S	BB.main	BB.M1S	BB.M2S	BD.anchor	list_index	open	close	BB.2S	BB.1S	BB.main	BB.M1S	BB.M2S	BD.end(curr)	list_index	open	close	BB.2S	BB.1S	BB.main	BB.M1S	BB.M2S	
1	2019.04.10 02:45	0	79.160	79.179	79.232	79.210	79.188	79.166	79.144	2019.04.10 03:00	1	79.180	79.228	79.238	79.214	79.191	79.168	79.145	2019.04.10 03:45	4	79.218	79.150	79.244	79.218	79.192	79.165	79.139
2	2019.04.10 04:00	5	79.149	79.155	79.239	79.214	79.188	79.162	79.136	2019.04.10 04:00	5	79.149	79.155	79.239	79.214	79.188	79.162	79.136	2019.04.10 04:15	6	79.154	79.134	79.233	79.207	79.182	79.157	79.132
3	2019.04.10 05:00	9	79.035	79.085	79.262	79.211	79.161	79.110	79.059	2019.04.10 05:00	9	79.035	79.085	79.262	79.211	79.161	79.110	79.059	2019.04.10 05:15	10	79.086	79.068	79.263	79.209	79.155	79.101	79.047
4	2019.04.10 05:30	11	79.067	79.071	79.264	79.207	79.150	79.093	79.036	2019.04.10 05:45	12	79.071	79.090	79.263	79.205	79.147	79.088	79.030	2019.04.10 06:00	13	79.091	79.057	79.262	79.201	79.141	79.080	79.019
5	2019.04.10 06:30	15	79.038	79.226	79.270	79.203	79.136	79.069	79.002	2019.04.10 14:00	45	79.479	79.525	79.533	79.501	79.469	79.437	79.405	2019.04.10 15:15	50	79.422	79.347	79.549	79.508	79.467	79.427	79.386
6	2019.04.10 15:30	51	79.349	79.377	79.552	79.507	79.462	79.417	79.372	2019.04.10 15:30	51	79.349	79.377	79.552	79.507	79.462	79.417	79.372	2019.04.10 15:45	52	79.378	79.349	79.557	79.506	79.456	79.405	79.354
7	2019.04.10 16:30	55	79.285	79.292	79.587	79.509	79.431	79.352	79.274	2019.04.10 16:45	56	79.292	79.320	79.589	79.507	79.426	79.344	79.262	2019.04.10 17:00	57	79.319	79.297	79.591	79.505	79.418	79.332	79.245
8	2019.04.10 18:00	61	79.243	79.286	79.554	79.463	79.372	79.280	79.189	2019.04.11 04:15	102	79.569	79.591	79.607	79.577	79.548	79.518	79.489	2019.04.11 06:15	110	79.489	79.460	79.606	79.570	79.534	79.498	79.462
9	2019.04.11 06:30	111	79.459	79.490	79.607	79.570	79.533	79.495	79.458	2019.04.11 10:15	126	79.551	79.608	79.609	79.572	79.535	79.498	79.460	2019.04.11 10:30	127	79.604	79.557	79.611	79.574	79.537	79.500	79.463
10	2019.04.11 11:00	129	79.503	79.529	79.610	79.574	79.539	79.503	79.467	2019.04.11 11:00	129	79.503	79.529	79.610	79.574	79.539	79.503	79.467	2019.04.11 11:15	130	79.528	79.508	79.605	79.573	79.541	79.509	79.477
11	2019.04.11 11:30	131	79.509	79.514	79.603	79.572	79.542	79.512	79.482	2019.04.11 12:00	133	79.518	79.546	79.600	79.573	79.545	79.517	79.489	2019.04.11 12:15	134	79.545	79.530	79.600	79.573	79.546	79.519	79.492
12	2019.04.11 13:00	137	79.525	79.542	79.597	79.570	79.544	79.518	79.491	2019.04.11 13:45	140	79.555	79.565	79.596	79.570	79.544	79.518	79.492	2019.04.11 14:00	141	79.564	79.547	79.593	79.568	79.543	79.517	79.492
13	2019.04.11 14:30	143	79.518	79.522	79.587	79.563	79.538	79.514	79.490	2019.04.11 14:45	144	79.522	79.547	79.585	79.561	79.538	79.514	79.490	2019.04.11 15:00	145	79.544	79.504	79.585	79.560	79.535	79.511	79.486
14	2019.04.11 15:30	147	79.479	79.490	79.569	79.547	79.525	79.503	79.481	2019.04.11 15:45	148	79.491	79.496	79.570	79.548	79.525	79.503	79.481	2019.04.11 16:15	150	79.490	79.484	79.572	79.547	79.522	79.497	79.472
15	2019.04.11 16:30	151	79.485	79.529	79.572	79.548	79.523	79.498	79.473	2019.04.11 16:45	152	79.529	79.558	79.577	79.551	79.525	79.499	79.473	2019.04.11 17:15	154	79.550	79.527	79.577	79.551	79.525	79.499	79.473
16	2019.04.11 17:30	155	79.529	79.570	79.583	79.555	79.527	79.500	79.472	2019.04.11 17:45	156	79.572	79.593	79.593	79.562	79.531	79.499	79.468	2019.04.11 18:00	157	79.597	79.557	79.595	79.563	79.531	79.500	79.468
17	2019.04.11 18:45	160	79.439	79.458	79.595	79.556	79.518	79.479	79.441	2019.04.11 18:45	160	79.439	79.458	79.595	79.556	79.518	79.479	79.441	2019.04.11 19:00	161	79.458	79.438	79.595	79.554	79.512	79.471	79.429
18	2019.04.11 19:15	162	79.437	79.439	79.597	79.553	79.508	79.464	79.420	2019.04.11 20:00	165	79.480	79.487	79.591	79.546	79.501	79.457	79.412	2019.04.11 21:00	169	79.477	79.471	79.590	79.544	79.498	79.452	79.406
19	2019.04.11 21:15	170	79.469	79.472	79.590	79.544	79.498	79.451	79.405	2019.04.11 21:30	171	79.474	79.493	79.587	79.541	79.496	79.450	79.404	2019.04.11 21:45	172	79.492	79.484	79.579	79.536	79.492	79.449	79.405
20	2019.04.11 22:00	173	79.483	79.515	79.574	79.532	79.490	79.449	79.407	2019.04.11 23:00	177	79.522	79.532	79.535	79.508	79.482	79.455	79.428	2019.04.11 23:15	178	79.532	79.513	79.537	79.509	79.482	79.455	79.428
21	2019.04.11 23:30	179	79.512	79.535	79.542	79.515	79.487	79.460	79.432	2019.04.12 00:00	181	79.510	79.546	79.553	79.524	79.496	79.468	79.440	2019.04.12 00:30	183	79.546	79.523	79.556	79.530	79.505	79.479	79.453
22	2019.04.12 00:45	184	79.514	79.522	79.557	79.532	79.507	79.481	79.456	2019.04.12 00:45	184	79.514	79.522	79.557	79.532	79.507	79.481	79.456	2019.04.12 01:00	185	79.530	79.517	79.558	79.533	79.508	79.483	79.458
23	2019.04.12 01:15	186	79.516	79.534	79.559	79.535	79.511	79.487	79.463	2019.04.12 01:15	186	79.516	79.534	79.559	79.535	79.511	79.487	79.463	2019.04.12 01:30	187	79.533	79.519	79.558	79.536	79.514	79.491	79.469
24	2019.04.12 02:00	189	79.513	79.516	79.554	79.536	79.518	79.499	79.481	2019.04.12 02:00	189	79.513	79.516	79.554	79.536	79.518	79.499	79.481	2019.04.12 02:30	191	79.516	79.514	79.548	79.535	79.521	79.507	79.493
25	2019.04.12 02:45	192	79.514	79.522	79.544	79.534	79.523	79.512	79.501	2019.04.12 02:45	192	79.514	79.522	79.544	79.534	79.523	79.512	79.501	2019.04.12 03:00	193	79.522	79.462	79.554	79.537	79.520	79.503	79.486
26	2019.04.12 03:15	194	79.464	79.505	79.554	79.537	79.520	79.503	79.485	2019.04.12 04:00	197	79.675	79.688	79.646	79.593	79.540	79.487	79.434	2019.04.12 04:30	199	79.681	79.556	79.671	79.610	79.549	79.489	79.428
27	2019.04.12 05:00	201	79.543	79.638	79.682	79.618	79.555	79.491	79.427	2019.04.12 08:30	215	79.743	79.761	79.784	79.727	79.671	79.614	79.557	2019.04.12 09:00	217	79.720	79.684	79.789	79.731	79.673	79.615	79.557
28	2019.04.12 09:30	219	79.693	79.708	79.784	79.732	79.680	79.628	79.577	2019.04.12 09:30	219	79.693	79.708	79.784	79.732	79.680	79.628	79.577	2019.04.12 09:45	220	79.706	79.693	79.771	79.729	79.688	79.646	79.605
29	2019.04.12 10:00	221	79.692	79.704	79.771	79.731	79.691	79.651	79.611	2019.04.12 10:30	223	79.712	79.757	79.772	79.737	79.702	79.667	79.632	2019.04.12 10:45	224	79.758	79.701	79.764	79.735	79.707	79.678	79.650
