[20190512_142100 / views.py:14972]
fname_Src_CSV	44_5.1_10_rawdata.(AUDJPY).(Period-M15).(NumOfUnits-18000).(Bars-ALL-20190424_184417).20190311_081029.[SLICE-1000].csv
slice by	through
this file	(20190512_142059).(AUDJPY-M15).[sec-1.A-10.Possible-patterns.Z1].(20190512_142100).csv
pair	AUDJPY
timeframe	M15
start	2019.04.10 19:45
end	2019.04.23 23:45
bars	33

BB Area	Z1

[20190512_142100 / views.py:14997]
[BB area : Z1]=============================
s.n.	pattern	num
1	01001	0
2	10011	0
3	10110	3
4	00101	2
5	01010	0
6	11110	0
7	10000	0
8	01111	0
9	11101	0
10	11000	0
11	10001	1
12	00111	0
13	11011	3
14	00010	1
15	11001	3
16	11111	0
17	11010	0
18	10101	0
19	00011	0
20	10111	2
21	10100	0
22	00001	0
23	01000	1
24	01101	2
25	11100	2
26	01011	2
27	00110	0
28	00000	0
29	00100	1
30	01100	1
31	01110	2
32	10010	3
