[20190512_142100 / views.py:15432]
fname_Src_CSV	44_5.1_10_rawdata.(AUDJPY).(Period-M15).(NumOfUnits-18000).(Bars-ALL-20190424_184417).20190311_081029.[SLICE-1000].csv
slice by	through
this file	(20190512_142059).(AUDJPY-M15).[sec-1.A-10.Possible-patterns].(20190512_142100).csv
pair	AUDJPY
timeframe	M15
start	2019.04.10 02:45
end	2019.04.24 12:30
bars	1000

[20190512_142100 / views.py:15527]
[]=============================
s.n.	pattern	num
1	01001	30
2	10011	34
3	10110	32
4	00101	39
5	01010	33
6	11110	34
7	10000	22
8	01111	34
9	11101	31
10	11000	33
11	10001	34
12	00111	26
13	11011	36
14	00010	26
15	11001	41
16	11111	18
17	11010	26
18	10101	30
19	00011	30
20	10111	40
21	10100	29
22	00001	22
23	01000	23
24	01101	32
25	11100	35
26	01011	36
27	00110	38
28	00000	21
29	00100	24
30	01100	38
31	01110	32
32	10010	37
