[20190512_142059 / views.py:16388]
fname_Src_CSV	44_5.1_10_rawdata.(AUDJPY).(Period-M15).(NumOfUnits-18000).(Bars-ALL-20190424_184417).20190311_081029.[SLICE-1000].csv
slice by	through
this file	(20190512_142059).(AUDJPY-M15).[sec-1.A-6.3-seq-list].(20190512_142059).csv
pair	AUDJPY
timeframe	M15
start	2019.04.10 02:45
end	2019.04.24 12:30
bars	1000

[20190512_142059 / views.py:16463]
[lo_UUU : 118]==============================
s.n.	e0.date	e1.date	e2.date	e0.diff	e1.diff	e2.diff
1	2019.04.10 06:30	2019.04.10 06:45	2019.04.10 07:00	0.188	0.013	0.009
2	2019.04.10 06:45	2019.04.10 07:00	2019.04.10 07:15	0.013	0.009	0.046
3	2019.04.10 07:45	2019.04.10 08:00	2019.04.10 08:15	0.029	0.030	0.000
4	2019.04.10 08:00	2019.04.10 08:15	2019.04.10 08:30	0.030	0.000	0.000
5	2019.04.10 08:15	2019.04.10 08:30	2019.04.10 08:45	0.000	0.000	0.054
6	2019.04.10 08:30	2019.04.10 08:45	2019.04.10 09:00	0.000	0.054	0.020
7	2019.04.10 08:45	2019.04.10 09:00	2019.04.10 09:15	0.054	0.020	0.039
8	2019.04.10 10:00	2019.04.10 10:15	2019.04.10 10:30	0.018	0.050	0.003
9	2019.04.10 10:15	2019.04.10 10:30	2019.04.10 10:45	0.050	0.003	0.007
10	2019.04.10 12:00	2019.04.10 12:15	2019.04.10 12:30	0.023	0.033	0.019
11	2019.04.10 12:15	2019.04.10 12:30	2019.04.10 12:45	0.033	0.019	0.025
12	2019.04.10 18:00	2019.04.10 18:15	2019.04.10 18:30	0.043	0.057	0.059
13	2019.04.10 19:15	2019.04.10 19:30	2019.04.10 19:45	0.087	0.038	0.014
14	2019.04.10 19:30	2019.04.10 19:45	2019.04.10 20:00	0.038	0.014	0.018
15	2019.04.11 07:30	2019.04.11 07:45	2019.04.11 08:00	0.003	0.026	0.026
16	2019.04.11 07:45	2019.04.11 08:00	2019.04.11 08:15	0.026	0.026	0.005
