[20190512_142059 / views.py:16867]
fname_Src_CSV	44_5.1_10_rawdata.(AUDJPY).(Period-M15).(NumOfUnits-18000).(Bars-ALL-20190424_184417).20190311_081029.[SLICE-1000].csv
slice by	through
this file	no-44.[ups-downs-in_BB].[v-1.0].(AUDJPY-M15).(20190512_142059).csv
pair	AUDJPY
timeframe	M15
start	2019.04.10 02:45
end	2019.04.24 12:30
bars	1000



[20190512_142059 / views.py:16886]


[lo_UU]==============================
s.n.	e0.dateTime	e1.dateTime	e0.CP	e1.CP	e0.BB_M2S	e0.BB_M1S	e0.BB_Main	e0.BB_1S	e0.BB_2S
1	2019.04.10 02:45	2019.04.10 03:00	79.179	79.228	79.144	79.166	79.188	79.210	79.232
2	2019.04.10 05:30	2019.04.10 05:45	79.071	79.090	79.036	79.093	79.150	79.207	79.264
3	2019.04.10 06:30	2019.04.10 06:45	79.226	79.236	79.002	79.069	79.136	79.203	79.270
4	2019.04.10 06:45	2019.04.10 07:00	79.236	79.247	78.999	79.069	79.139	79.209	79.279
5	2019.04.10 07:00	2019.04.10 07:15	79.247	79.291	78.996	79.069	79.142	79.216	79.289
6	2019.04.10 07:45	2019.04.10 08:00	79.313	79.347	78.977	79.068	79.160	79.251	79.343
7	2019.04.10 08:45	2019.04.10 09:00	79.399	79.418	78.947	79.069	79.191	79.313	79.435
8	2019.04.10 09:00	2019.04.10 09:15	79.418	79.458	78.941	79.072	79.204	79.335	79.466
9	2019.04.10 10:00	2019.04.10 10:15	79.429	79.478	78.998	79.137	79.276	79.415	79.553
10	2019.04.10 10:15	2019.04.10 10:30	79.478	79.479	79.023	79.160	79.296	79.433	79.570
11	2019.04.10 10:30	2019.04.10 10:45	79.479	79.486	79.053	79.185	79.317	79.449	79.581
12	2019.04.10 12:00	2019.04.10 12:15	79.442	79.476	79.282	79.345	79.408	79.470	79.533
13	2019.04.10 12:15	2019.04.10 12:30	79.476	79.496	79.300	79.358	79.417	79.475	79.534
14	2019.04.10 12:30	2019.04.10 12:45	79.496	79.520	79.323	79.375	79.427	79.480	79.532
15	2019.04.10 16:30	2019.04.10 16:45	79.292	79.320	79.274	79.352	79.431	79.509	79.587
16	2019.04.10 18:00	2019.04.10 18:15	79.286	79.343	79.189	79.280	79.372	79.463	79.554
17	2019.04.10 18:15	2019.04.10 18:30	79.343	79.402	79.188	79.277	79.365	79.454	79.543
18	2019.04.10 19:15	2019.04.10 19:30	79.457	79.493	79.210	79.279	79.348	79.417	79.486
19	2019.04.10 19:30	2019.04.10 19:45	79.493	79.507	79.210	79.279	79.348	79.417	79.486
20	2019.04.10 19:45	2019.04.10 20:00	79.507	79.525	79.202	79.277	79.351	79.425	79.499
21	2019.04.10 23:00	2019.04.10 23:15	79.564	79.572	79.360	79.426	79.493	79.559	79.625
22	2019.04.11 01:00	2019.04.11 01:15	79.546	79.550	79.472	79.505	79.537	79.570	79.602
23	2019.04.11 05:30	2019.04.11 05:45	79.509	79.513	79.480	79.511	79.541	79.571	79.602
24	2019.04.11 07:30	2019.04.11 07:45	79.516	79.543	79.455	79.493	79.530	79.568	79.605
25	2019.04.11 07:45	2019.04.11 08:00	79.543	79.568	79.456	79.493	79.531	79.569	79.606
26	2019.04.11 08:00	2019.04.11 08:15	79.568	79.575	79.457	79.493	79.530	79.567	79.603
27	2019.04.11 08:45	2019.04.11 09:00	79.550	79.574	79.459	79.493	79.528	79.563	79.598
28	2019.04.11 11:30	2019.04.11 11:45	79.514	79.515	79.482	79.512	79.542	79.572	79.603
29	2019.04.11 11:45	2019.04.11 12:00	79.515	79.546	79.487	79.515	79.544	79.572	79.600
30	2019.04.11 13:00	2019.04.11 13:15	79.542	79.546	79.491	79.518	79.544	79.570	79.597
31	2019.04.11 13:15	2019.04.11 13:30	79.546	79.556	79.492	79.517	79.543	79.568	79.593
32	2019.04.11 13:30	2019.04.11 13:45	79.556	79.565	79.492	79.517	79.543	79.569	79.594
33	2019.04.11 14:30	2019.04.11 14:45	79.522	79.547	79.490	79.514	79.538	79.563	79.587
34	2019.04.11 15:30	2019.04.11 15:45	79.490	79.496	79.481	79.503	79.525	79.547	79.569
35	2019.04.11 16:30	2019.04.11 16:45	79.529	79.558	79.473	79.498	79.523	79.548	79.572
36	2019.04.11 17:30	2019.04.11 17:45	79.570	79.593	79.472	79.500	79.527	79.555	79.583
37	2019.04.11 19:15	2019.04.11 19:30	79.439	79.462	79.420	79.464	79.508	79.553	79.597
38	2019.04.11 19:30	2019.04.11 19:45	79.462	79.481	79.415	79.460	79.505	79.551	79.596
39	2019.04.11 19:45	2019.04.11 20:00	79.481	79.487	79.413	79.457	79.502	79.547	79.591
40	2019.04.11 21:15	2019.04.11 21:30	79.472	79.493	79.405	79.451	79.498	79.544	79.590
41	2019.04.11 22:30	2019.04.11 22:45	79.510	79.521	79.412	79.449	79.486	79.524	79.561
42	2019.04.11 22:45	2019.04.11 23:00	79.521	79.532	79.424	79.453	79.483	79.512	79.541
43	2019.04.12 02:00	2019.04.12 02:15	79.516	79.516	79.481	79.499	79.518	79.536	79.554
44	2019.04.12 03:15	2019.04.12 03:30	79.505	79.599	79.485	79.503	79.520	79.537	79.554
45	2019.04.12 03:30	2019.04.12 03:45	79.599	79.676	79.476	79.500	79.524	79.549	79.573
46	2019.04.12 03:45	2019.04.12 04:00	79.676	79.688	79.450	79.491	79.532	79.573	79.614
