[20190512_142101 / views.py:14754]
bardatas_1 : 0 : datetime	2017.11.21 10:00
bardatas_1 : -1 : datetime	2017.12.01 17:00

bardatas_2 : 0 : datetime	2017.11.21 10:00
bardatas_2 : -1 : datetime	2017.12.01 17:00

fname_Src_CSV_1	44_5.1_10_rawdata.(AUDJPY).(Period-H1).(NumOfUnits-8000).(Bars-ALL-20190508_143318).20190311_090020.csv
fname_Src_CSV_2	44_5.1_10_rawdata.(EURJPY).(Period-H1).(NumOfUnits-4500).(Bars-ALL-20190506_230346).20190307_144106.csv
slice by	through
this file	debug.[Sec_1_A13_Correl].(20190512_142059).dat
pair_1	AUDJPY
timeframe_1	H1
start_1	2017.11.21 10:00
end_1	2019.05.08 08:00
[DEBUG]===========================
bardatas_1 : 0 : datetime	2017.11.21 10:00
bardatas_1 : -1 : datetime	2017.12.01 17:00

bardatas_2 : 0 : datetime	2017.11.21 10:00
bardatas_2 : -1 : datetime	2017.12.01 17:00
[/DEBUG]===========================/

[correls]===========================
numOf_Request_BDs	200
numOf_BDs_For_Correl_Op	20
s.n.	list index	bd_1(last datetime)	bd_2(last datetime)	correl	bd_1.PC	bd_2.PC
1	0	2017.11.22 05:00	2017.11.22 05:00	0.19355467	84.956	131.822
2	1	2017.11.22 06:00	2017.11.22 06:00	0.72183080	84.909	131.773
3	2	2017.11.22 07:00	2017.11.22 07:00	0.73573428	84.864	131.779
4	3	2017.11.22 08:00	2017.11.22 08:00	0.74755333	84.879	131.783
5	4	2017.11.22 09:00	2017.11.22 09:00	0.75834420	84.851	131.761
6	5	2017.11.22 10:00	2017.11.22 10:00	0.71309793	84.736	131.834
7	6	2017.11.22 11:00	2017.11.22 11:00	0.73382535	84.722	131.785
8	7	2017.11.22 12:00	2017.11.22 12:00	0.84061864	84.722	131.691
9	8	2017.11.22 13:00	2017.11.22 13:00	0.88203973	84.784	131.750
10	9	2017.11.22 14:00	2017.11.22 14:00	0.81805851	84.923	131.623
11	10	2017.11.22 15:00	2017.11.22 15:00	0.78931019	84.838	131.607
12	11	2017.11.22 16:00	2017.11.22 16:00	0.79640937	84.763	131.671
13	12	2017.11.22 17:00	2017.11.22 17:00	0.78578655	84.680	131.576
14	13	2017.11.22 18:00	2017.11.22 18:00	0.76392696	84.724	131.614
15	14	2017.11.22 19:00	2017.11.22 19:00	0.74253924	84.670	131.627
16	15	2017.11.22 20:00	2017.11.22 20:00	0.71188521	84.646	131.531
17	16	2017.11.22 21:00	2017.11.22 21:00	0.67762528	84.632	131.459
18	17	2017.11.22 22:00	2017.11.22 22:00	0.63699769	84.713	131.456
19	18	2017.11.22 23:00	2017.11.22 23:00	0.62998569	84.744	131.501
20	19	2017.11.23 00:00	2017.11.23 00:00	0.61113620	84.700	131.478
21	20	2017.11.23 01:00	2017.11.23 01:00	0.55902428	84.722	131.475
22	21	2017.11.23 02:00	2017.11.23 02:00	0.60192459	84.613	131.288
23	22	2017.11.23 03:00	2017.11.23 03:00	0.58758068	84.641	131.476
24	23	2017.11.23 04:00	2017.11.23 04:00	0.53817213	84.637	131.531
25	24	2017.11.23 05:00	2017.11.23 05:00	0.48628727	84.745	131.707
26	25	2017.11.23 06:00	2017.11.23 06:00	0.55120728	84.821	131.712
27	26	2017.11.23 07:00	2017.11.23 07:00	0.61890010	84.815	131.668
28	27	2017.11.23 08:00	2017.11.23 08:00	0.62243697	84.639	131.567
29	28	2017.11.23 09:00	2017.11.23 09:00	0.61619794	84.673	131.506
30	29	2017.11.23 10:00	2017.11.23 10:00	0.57721621	84.676	131.721
31	30	2017.11.23 11:00	2017.11.23 11:00	0.67147601	84.841	131.758
32	31	2017.11.23 12:00	2017.11.23 12:00	0.72825613	84.917	131.798
33	32	2017.11.23 13:00	2017.11.23 13:00	0.73490182	84.856	131.673
34	33	2017.11.23 14:00	2017.11.23 14:00	0.75741298	84.851	131.735
35	34	2017.11.23 15:00	2017.11.23 15:00	0.80121715	84.861	131.872
36	35	2017.11.23 16:00	2017.11.23 16:00	0.81306055	84.834	131.793
