[20190319_124331 / views.py:12363]
fname_Src_CSV	44_5.1_10_rawdata.(AUDUSD).(Period-H1).(NumOfUnits-7000).(Bars-ALL-20190312_174107).20190312_173929.csv
slice by	through
this file	no-44.[ups-downs-in_BB].[v-1.0].(AUDUSD-H1).(20190319_124329).csv
pair	AUDUSD
timeframe	H1
start	2018.01.23 01:00
end	2019.03.12 11:00
bars	7000



[20190319_124331 / views.py:12382]


[lo_UU]==============================
s.n.	e0.dateTime	e1.dateTime	e0.CP	e1.CP	e0.BB_M2S	e0.BB_M1S	e0.BB_Main	e0.BB_1S	e0.BB_2S
1	2018.01.23 06:00	2018.01.23 07:00	0.799	0.799	0.799	0.800	0.801	0.802	0.803
2	2018.01.23 14:00	2018.01.23 15:00	0.797	0.798	0.795	0.797	0.799	0.801	0.803
3	2018.01.23 15:00	2018.01.23 16:00	0.798	0.798	0.795	0.797	0.799	0.801	0.803
4	2018.01.23 16:00	2018.01.23 17:00	0.798	0.800	0.795	0.797	0.799	0.801	0.803
5	2018.01.23 19:00	2018.01.23 20:00	0.798	0.799	0.795	0.797	0.799	0.800	0.802
6	2018.01.23 20:00	2018.01.23 21:00	0.799	0.800	0.795	0.797	0.798	0.800	0.802
7	2018.01.23 21:00	2018.01.23 22:00	0.800	0.800	0.795	0.797	0.798	0.800	0.802
8	2018.01.23 22:00	2018.01.23 23:00	0.800	0.800	0.796	0.797	0.798	0.800	0.801
9	2018.01.24 06:00	2018.01.24 07:00	0.802	0.802	0.796	0.797	0.799	0.800	0.802
10	2018.01.24 09:00	2018.01.24 10:00	0.802	0.804	0.797	0.798	0.800	0.801	0.802
11	2018.01.24 10:00	2018.01.24 11:00	0.804	0.806	0.797	0.799	0.800	0.802	0.803
12	2018.01.24 11:00	2018.01.24 12:00	0.806	0.807	0.797	0.799	0.800	0.802	0.804
13	2018.01.24 20:00	2018.01.24 21:00	0.807	0.808	0.798	0.801	0.804	0.807	0.810
14	2018.01.25 02:00	2018.01.25 03:00	0.806	0.807	0.802	0.804	0.806	0.808	0.810
15	2018.01.25 03:00	2018.01.25 04:00	0.807	0.808	0.803	0.804	0.806	0.808	0.809
16	2018.01.25 04:00	2018.01.25 05:00	0.808	0.810	0.804	0.805	0.806	0.808	0.809
17	2018.01.26 01:00	2018.01.26 02:00	0.803	0.803	0.801	0.804	0.807	0.810	0.813
18	2018.01.26 02:00	2018.01.26 03:00	0.803	0.805	0.801	0.804	0.807	0.810	0.813
19	2018.01.26 03:00	2018.01.26 04:00	0.805	0.806	0.801	0.804	0.806	0.809	0.812
20	2018.01.26 07:00	2018.01.26 08:00	0.805	0.807	0.801	0.803	0.806	0.808	0.811
21	2018.01.26 08:00	2018.01.26 09:00	0.807	0.808	0.801	0.803	0.806	0.808	0.811
22	2018.01.26 09:00	2018.01.26 10:00	0.808	0.809	0.801	0.803	0.806	0.808	0.811
23	2018.01.26 18:00	2018.01.26 19:00	0.810	0.811	0.801	0.804	0.807	0.809	0.812
24	2018.01.26 19:00	2018.01.26 20:00	0.811	0.813	0.802	0.804	0.807	0.810	0.812
25	2018.01.29 00:00	2018.01.29 01:00	0.810	0.812	0.805	0.807	0.809	0.811	0.813
26	2018.01.29 10:00	2018.01.29 11:00	0.809	0.809	0.807	0.809	0.810	0.811	0.813
27	2018.01.29 11:00	2018.01.29 12:00	0.809	0.810	0.808	0.809	0.810	0.811	0.813
28	2018.01.29 12:00	2018.01.29 13:00	0.810	0.810	0.808	0.809	0.810	0.811	0.813
29	2018.01.30 10:00	2018.01.30 11:00	0.806	0.809	0.805	0.807	0.808	0.810	0.811
30	2018.01.30 11:00	2018.01.30 12:00	0.809	0.809	0.805	0.807	0.808	0.810	0.811
31	2018.01.30 12:00	2018.01.30 13:00	0.809	0.810	0.805	0.807	0.808	0.810	0.811
32	2018.01.30 23:00	2018.01.31 00:00	0.808	0.808	0.805	0.807	0.808	0.810	0.811
33	2018.01.31 00:00	2018.01.31 01:00	0.808	0.810	0.805	0.807	0.808	0.810	0.811
