[20190319_125057 / views.py:11928]==============================
fname_Src_CSV	44_5.1_10_rawdata.(AUDUSD).(Period-H1).(NumOfUnits-7000).(Bars-ALL-20190312_174107).20190312_173929.csv
slice by	through
this file	(20190319_125056).(AUDUSD-H1).[sec-1.A-5.BB-diff-histogram.UU-UD-DU-DD].csv 
pair	AUDUSD
timeframe	H1
start	2018.01.23 01:00
end	2019.03.12 11:00
total bars	7000

[20190319_125057 / views.py:11946]
[20190319_125057 / views.py:11685]==============================
average	0.00191
max	0.00886
min	0.00019
variance	0.000001618
std	0.0012721
median	0.00155

[20190319_125057 / views.py:11707]
[BB-diff-histogram : lo_UU_Z1]==============================
s.n.	e0.dateTime	diff-total
1	2018.01.24 10:00	0.00387
2	2018.01.24 11:00	0.00303
3	2018.02.12 23:00	0.00117
4	2018.02.14 04:00	0.00295
5	2018.02.22 15:00	0.00241
6	2018.02.22 16:00	0.00168
7	2018.02.26 06:00	0.00168
8	2018.03.06 02:00	0.00188
9	2018.03.06 03:00	0.00085
10	2018.03.06 13:00	0.00617
11	2018.03.09 15:00	0.00358
12	2018.03.09 16:00	0.00254
13	2018.03.09 17:00	0.00153
14	2018.03.13 15:00	0.00257
15	2018.03.21 20:00	0.00460
16	2018.03.21 21:00	0.00509
17	2018.03.26 23:00	0.00025
18	2018.03.30 09:00	0.00133
19	2018.04.04 05:00	0.00117
20	2018.04.13 08:00	0.00181
21	2018.04.13 09:00	0.00220
22	2018.04.13 12:00	0.00078
23	2018.05.10 20:00	0.00155
24	2018.05.16 19:00	0.00154
25	2018.05.21 15:00	0.00221
26	2018.05.21 16:00	0.00202
27	2018.05.21 17:00	0.00117
28	2018.05.21 18:00	0.00075
29	2018.05.21 19:00	0.00041
30	2018.05.25 11:00	0.00223
31	2018.05.30 11:00	0.00115
32	2018.05.30 12:00	0.00117
33	2018.05.30 13:00	0.00142
34	2018.06.04 04:00	0.00195
35	2018.06.04 05:00	0.00132
36	2018.06.04 12:00	0.00130
37	2018.06.13 17:00	0.00214
38	2018.06.22 09:00	0.00125
39	2018.06.22 10:00	0.00241
40	2018.06.22 11:00	0.00213
41	2018.06.29 07:00	0.00098
42	2018.07.03 09:00	0.00280
43	2018.07.03 10:00	0.00146
44	2018.07.03 11:00	0.00087
45	2018.07.06 08:00	0.00187
46	2018.07.06 11:00	0.00086
47	2018.07.09 03:00	0.00230
48	2018.07.12 15:00	0.00114
49	2018.07.12 17:00	0.00194
50	2018.07.20 15:00	0.00371
51	2018.07.24 13:00	0.00235
52	2018.07.25 20:00	0.00263
53	2018.07.25 21:00	0.00207
54	2018.07.31 06:00	0.00094
55	2018.08.03 17:00	0.00175
56	2018.08.03 18:00	0.00048
57	2018.08.07 08:00	0.00284
58	2018.08.07 09:00	0.00237
59	2018.08.07 10:00	0.00106
60	2018.08.07 11:00	0.00091
61	2018.08.07 12:00	0.00031
62	2018.08.07 13:00	0.00023
63	2018.08.16 04:00	0.00282
64	2018.08.16 05:00	0.00125
65	2018.08.20 21:00	0.00137
66	2018.08.20 22:00	0.00120
67	2018.08.20 23:00	0.00070
68	2018.08.21 00:00	0.00077
69	2018.08.21 19:00	0.00258
70	2018.08.24 14:00	0.00139
71	2018.08.24 17:00	0.00185
72	2018.09.05 04:00	0.00297
73	2018.09.12 17:00	0.00348
74	2018.09.12 18:00	0.00290
75	2018.09.12 19:00	0.00139
76	2018.09.12 20:00	0.00113
77	2018.09.13 15:00	0.00358
78	2018.09.17 14:00	0.00129
79	2018.09.17 15:00	0.00118
80	2018.09.18 08:00	0.00261
81	2018.09.19 06:00	0.00118
82	2018.09.19 07:00	0.00084
83	2018.09.26 04:00	0.00255
84	2018.09.28 17:00	0.00144
85	2018.10.08 13:00	0.00147
86	2018.10.08 20:00	0.00129
87	2018.10.08 21:00	0.00061
88	2018.10.15 11:00	0.00133
89	2018.10.18 11:00	0.00166
90	2018.10.18 12:00	0.00062
91	2018.10.19 13:00	0.00202
92	2018.10.19 14:00	0.00155
93	2018.10.19 15:00	0.00101
94	2018.10.25 14:00	0.00150
95	2018.11.01 03:00	0.00325
96	2018.11.01 04:00	0.00115
97	2018.11.01 05:00	0.00157
98	2018.11.01 10:00	0.00184
99	2018.11.02 07:00	0.00462
100	2018.11.05 20:00	0.00133
101	2018.11.07 05:00	0.00295
102	2018.11.07 10:00	0.00337
103	2018.11.07 11:00	0.00139
104	2018.11.07 12:00	0.00099
105	2018.11.16 16:00	0.00222
106	2018.11.21 14:00	0.00240
107	2018.11.21 15:00	0.00096
108	2018.11.26 05:00	0.00135
109	2018.11.26 08:00	0.00161
110	2018.11.28 19:00	0.00886
111	2018.12.12 02:00	0.00156
112	2018.12.13 08:00	0.00138
113	2018.12.18 02:00	0.00223
114	2018.12.27 01:00	0.00092
115	2019.01.04 17:00	0.00678
116	2019.01.04 18:00	0.00063
117	2019.01.04 19:00	0.00112
118	2019.01.11 05:00	0.00223
119	2019.01.25 15:00	0.00402
120	2019.01.25 16:00	0.00287
121	2019.01.25 17:00	0.00156
122	2019.01.25 18:00	0.00120
123	2019.01.30 02:00	0.00308
124	2019.01.30 03:00	0.00129
125	2019.01.30 04:00	0.00044
126	2019.01.30 05:00	0.00019
127	2019.02.05 05:00	0.00490
128	2019.02.05 06:00	0.00094
129	2019.02.13 03:00	0.00280
130	2019.02.13 04:00	0.00195
131	2019.02.13 05:00	0.00120
132	2019.02.19 17:00	0.00198
133	2019.02.19 18:00	0.00288
134	2019.02.19 19:00	0.00258
135	2019.02.22 15:00	0.00166
136	2019.02.22 17:00	0.00088
137	2019.02.25 12:00	0.00105
138	2019.02.25 13:00	0.00048
139	2019.03.01 13:00	0.00066
140	2019.03.07 03:00	0.00105
