[20190319_135051 / views.py:12004]==============================
fname_Src_CSV	44_5.1_10_rawdata.(AUDUSD).(Period-H1).(NumOfUnits-7000).(Bars-ALL-20190312_174107).20190312_173929.csv
slice by	through
this file	(20190319_135049).(AUDUSD-H1).[sec-1.A-5.BB-diff-histogram.UU-UD-DU-DD].csv 
pair	AUDUSD
timeframe	H1
start	2018.01.23 01:00
end	2019.03.12 11:00
total bars	7000

[20190319_135051 / views.py:12022]
[20190319_135051 / views.py:11753]==============================
average	0.00191
max	0.00886
min	0.00019
variance	0.000001618
std	0.0012721
median	0.00155

[20190319_135051 / views.py:11775]
[BB-diff-histogram : lo_UU_Z1]==============================
s.n.	e0.dateTime	diff-total	std score
1	2018.01.24 10:00	0.00387	65.43
2	2018.01.24 11:00	0.00303	58.83
3	2018.02.12 23:00	0.00117	44.20
4	2018.02.14 04:00	0.00295	58.20
5	2018.02.22 15:00	0.00241	53.95
6	2018.02.22 16:00	0.00168	48.21
7	2018.02.26 06:00	0.00168	48.21
8	2018.03.06 02:00	0.00188	49.78
9	2018.03.06 03:00	0.00085	41.69
10	2018.03.06 13:00	0.00617	83.51
11	2018.03.09 15:00	0.00358	63.15
12	2018.03.09 16:00	0.00254	54.97
13	2018.03.09 17:00	0.00153	47.03
14	2018.03.13 15:00	0.00257	55.21
15	2018.03.21 20:00	0.00460	71.17
16	2018.03.21 21:00	0.00509	75.02
17	2018.03.26 23:00	0.00025	36.97
18	2018.03.30 09:00	0.00133	45.46
19	2018.04.04 05:00	0.00117	44.20
20	2018.04.13 08:00	0.00181	49.23
21	2018.04.13 09:00	0.00220	52.30
22	2018.04.13 12:00	0.00078	41.14
23	2018.05.10 20:00	0.00155	47.19
24	2018.05.16 19:00	0.00154	47.11
25	2018.05.21 15:00	0.00221	52.38
26	2018.05.21 16:00	0.00202	50.89
27	2018.05.21 17:00	0.00117	44.20
28	2018.05.21 18:00	0.00075	40.90
29	2018.05.21 19:00	0.00041	38.23
30	2018.05.25 11:00	0.00223	52.54
31	2018.05.30 11:00	0.00115	44.05
32	2018.05.30 12:00	0.00117	44.20
33	2018.05.30 13:00	0.00142	46.17
34	2018.06.04 04:00	0.00195	50.34
35	2018.06.04 05:00	0.00132	45.38
36	2018.06.04 12:00	0.00130	45.23
37	2018.06.13 17:00	0.00214	51.83
38	2018.06.22 09:00	0.00125	44.83
39	2018.06.22 10:00	0.00241	53.95
40	2018.06.22 11:00	0.00213	51.75
41	2018.06.29 07:00	0.00098	42.71
42	2018.07.03 09:00	0.00280	57.02
43	2018.07.03 10:00	0.00146	46.48
44	2018.07.03 11:00	0.00087	41.85
45	2018.07.06 08:00	0.00187	49.71
46	2018.07.06 11:00	0.00086	41.77
47	2018.07.09 03:00	0.00230	53.09
48	2018.07.12 15:00	0.00114	43.97
49	2018.07.12 17:00	0.00194	50.26
50	2018.07.20 15:00	0.00371	64.17
51	2018.07.24 13:00	0.00235	53.48
52	2018.07.25 20:00	0.00263	55.68
53	2018.07.25 21:00	0.00207	51.28
54	2018.07.31 06:00	0.00094	42.40
55	2018.08.03 17:00	0.00175	48.76
56	2018.08.03 18:00	0.00048	38.78
57	2018.08.07 08:00	0.00284	57.33
58	2018.08.07 09:00	0.00237	53.64
59	2018.08.07 10:00	0.00106	43.34
60	2018.08.07 11:00	0.00091	42.16
61	2018.08.07 12:00	0.00031	37.44
62	2018.08.07 13:00	0.00023	36.81
63	2018.08.16 04:00	0.00282	57.17
64	2018.08.16 05:00	0.00125	44.83
65	2018.08.20 21:00	0.00137	45.78
66	2018.08.20 22:00	0.00120	44.44
67	2018.08.20 23:00	0.00070	40.51
68	2018.08.21 00:00	0.00077	41.06
69	2018.08.21 19:00	0.00258	55.29
70	2018.08.24 14:00	0.00139	45.93
71	2018.08.24 17:00	0.00185	49.55
72	2018.09.05 04:00	0.00297	58.35
73	2018.09.12 17:00	0.00348	62.36
74	2018.09.12 18:00	0.00290	57.80
75	2018.09.12 19:00	0.00139	45.93
76	2018.09.12 20:00	0.00113	43.89
77	2018.09.13 15:00	0.00358	63.15
78	2018.09.17 14:00	0.00129	45.15
79	2018.09.17 15:00	0.00118	44.28
80	2018.09.18 08:00	0.00261	55.52
81	2018.09.19 06:00	0.00118	44.28
82	2018.09.19 07:00	0.00084	41.61
83	2018.09.26 04:00	0.00255	55.05
84	2018.09.28 17:00	0.00144	46.33
85	2018.10.08 13:00	0.00147	46.56
86	2018.10.08 20:00	0.00129	45.15
87	2018.10.08 21:00	0.00061	39.80
88	2018.10.15 11:00	0.00133	45.46
89	2018.10.18 11:00	0.00166	48.06
90	2018.10.18 12:00	0.00062	39.88
91	2018.10.19 13:00	0.00202	50.89
92	2018.10.19 14:00	0.00155	47.19
93	2018.10.19 15:00	0.00101	42.95
94	2018.10.25 14:00	0.00150	46.80
95	2018.11.01 03:00	0.00325	60.55
96	2018.11.01 04:00	0.00115	44.05
97	2018.11.01 05:00	0.00157	47.35
98	2018.11.01 10:00	0.00184	49.47
99	2018.11.02 07:00	0.00462	71.32
100	2018.11.05 20:00	0.00133	45.46
101	2018.11.07 05:00	0.00295	58.20
102	2018.11.07 10:00	0.00337	61.50
103	2018.11.07 11:00	0.00139	45.93
104	2018.11.07 12:00	0.00099	42.79
105	2018.11.16 16:00	0.00222	52.46
106	2018.11.21 14:00	0.00240	53.87
107	2018.11.21 15:00	0.00096	42.55
108	2018.11.26 05:00	0.00135	45.62
109	2018.11.26 08:00	0.00161	47.66
110	2018.11.28 19:00	0.00886	104.66
111	2018.12.12 02:00	0.00156	47.27
112	2018.12.13 08:00	0.00138	45.85
113	2018.12.18 02:00	0.00223	52.54
114	2018.12.27 01:00	0.00092	42.24
115	2019.01.04 17:00	0.00678	88.30
116	2019.01.04 18:00	0.00063	39.96
117	2019.01.04 19:00	0.00112	43.81
118	2019.01.11 05:00	0.00223	52.54
119	2019.01.25 15:00	0.00402	66.61
120	2019.01.25 16:00	0.00287	57.57
121	2019.01.25 17:00	0.00156	47.27
122	2019.01.25 18:00	0.00120	44.44
123	2019.01.30 02:00	0.00308	59.22
124	2019.01.30 03:00	0.00129	45.15
125	2019.01.30 04:00	0.00044	38.46
126	2019.01.30 05:00	0.00019	36.50
127	2019.02.05 05:00	0.00490	73.53
128	2019.02.05 06:00	0.00094	42.40
129	2019.02.13 03:00	0.00280	57.02
130	2019.02.13 04:00	0.00195	50.34
131	2019.02.13 05:00	0.00120	44.44
132	2019.02.19 17:00	0.00198	50.57
133	2019.02.19 18:00	0.00288	57.65
134	2019.02.19 19:00	0.00258	55.29
135	2019.02.22 15:00	0.00166	48.06
136	2019.02.22 17:00	0.00088	41.92
137	2019.02.25 12:00	0.00105	43.26
138	2019.02.25 13:00	0.00048	38.78
139	2019.03.01 13:00	0.00066	40.19
140	2019.03.07 03:00	0.00105	43.26
