[20190312_075905 / views.py:11731]
fname_Src_CSV	44_5.1_10_rawdata.(AUDUSD).(Period-M5).(NumOfUnits-2000).(Bars-ALL-20190312_075809).20190312_075213.csv
slice by	day
this file	no-44.[ups-downs-in_BB].[v-1.0].(AUDUSD-M5).(20190312_075905).csv
pair	AUDUSD
timeframe	M5
start	2019.03.01 02:45
end	2019.03.12 01:50

[ups/downs]==============================
s.n.	start	end	total	UU	UD	DU	DD	%UU	%UD	%DU	%DD


[20190312_075905 / views.py:11746]


[lo_UU]==============================
s.n.	e0.dateTime	e1.dateTime	e0.CP	e1.CP	e0.BB_M2S	e0.BB_M1S	e0.BB_Main	e0.BB_1S	e0.BB_2S
1	2019.03.12 00:15	2019.03.12 00:20	0.707	0.707	0.706	0.707	0.707	0.707	0.707
2	2019.03.12 00:45	2019.03.12 00:50	0.707	0.707	0.706	0.707	0.707	0.707	0.707
3	2019.03.12 01:40	2019.03.12 01:45	0.707	0.707	0.706	0.707	0.707	0.707	0.708
4	2019.03.11 00:05	2019.03.11 00:10	0.703	0.703	0.704	0.704	0.704	0.705	0.705
5	2019.03.11 00:10	2019.03.11 00:15	0.703	0.703	0.704	0.704	0.704	0.705	0.705
6	2019.03.11 00:15	2019.03.11 00:20	0.703	0.704	0.704	0.704	0.704	0.705	0.705
7	2019.03.11 00:20	2019.03.11 00:25	0.704	0.704	0.703	0.704	0.704	0.705	0.705
8	2019.03.11 00:25	2019.03.11 00:30	0.704	0.704	0.703	0.704	0.704	0.705	0.705
9	2019.03.11 00:40	2019.03.11 00:45	0.704	0.704	0.703	0.704	0.704	0.705	0.705
10	2019.03.11 01:00	2019.03.11 01:05	0.704	0.704	0.703	0.704	0.704	0.704	0.705
11	2019.03.11 01:30	2019.03.11 01:35	0.703	0.703	0.703	0.703	0.704	0.704	0.704
12	2019.03.11 01:35	2019.03.11 01:40	0.703	0.704	0.703	0.703	0.704	0.704	0.704
13	2019.03.11 01:40	2019.03.11 01:45	0.704	0.704	0.703	0.703	0.704	0.704	0.704
14	2019.03.11 01:45	2019.03.11 01:50	0.704	0.704	0.703	0.703	0.704	0.704	0.704
15	2019.03.11 01:50	2019.03.11 01:55	0.704	0.704	0.703	0.703	0.704	0.704	0.704
16	2019.03.11 01:55	2019.03.11 02:00	0.704	0.704	0.703	0.703	0.704	0.704	0.704
17	2019.03.11 02:00	2019.03.11 02:05	0.704	0.704	0.703	0.703	0.704	0.704	0.704
18	2019.03.11 02:25	2019.03.11 02:30	0.704	0.704	0.703	0.703	0.704	0.704	0.704
19	2019.03.11 03:55	2019.03.11 04:00	0.703	0.703	0.703	0.703	0.703	0.704	0.704
20	2019.03.11 04:10	2019.03.11 04:15	0.703	0.704	0.702	0.703	0.703	0.704	0.704
21	2019.03.11 05:50	2019.03.11 05:55	0.703	0.703	0.703	0.703	0.703	0.704	0.704
22	2019.03.11 05:55	2019.03.11 06:00	0.703	0.703	0.703	0.703	0.703	0.704	0.704
23	2019.03.11 06:00	2019.03.11 06:05	0.703	0.704	0.703	0.703	0.703	0.704	0.704
24	2019.03.11 06:15	2019.03.11 06:20	0.704	0.704	0.703	0.703	0.703	0.704	0.704
25	2019.03.11 06:20	2019.03.11 06:25	0.704	0.704	0.703	0.703	0.704	0.704	0.704
26	2019.03.11 06:25	2019.03.11 06:30	0.704	0.704	0.703	0.703	0.704	0.704	0.704
27	2019.03.11 06:50	2019.03.11 06:55	0.704	0.704	0.703	0.703	0.704	0.704	0.704
28	2019.03.11 06:55	2019.03.11 07:00	0.704	0.704	0.703	0.703	0.704	0.704	0.704
29	2019.03.11 07:00	2019.03.11 07:05	0.704	0.704	0.703	0.703	0.704	0.704	0.704
30	2019.03.11 07:05	2019.03.11 07:10	0.704	0.704	0.703	0.703	0.704	0.704	0.704
31	2019.03.11 07:30	2019.03.11 07:35	0.704	0.704	0.703	0.704	0.704	0.704	0.704
32	2019.03.11 07:45	2019.03.11 07:50	0.704	0.704	0.703	0.704	0.704	0.704	0.704
33	2019.03.11 07:50	2019.03.11 07:55	0.704	0.704	0.704	0.704	0.704	0.704	0.704
34	2019.03.11 08:40	2019.03.11 08:45	0.704	0.704	0.704	0.704	0.704	0.704	0.704
35	2019.03.11 09:00	2019.03.11 09:05	0.704	0.704	0.704	0.704	0.704	0.704	0.704
36	2019.03.11 09:20	2019.03.11 09:25	0.704	0.704	0.704	0.704	0.704	0.704	0.704
37	2019.03.11 10:10	2019.03.11 10:15	0.704	0.704	0.704	0.704	0.704	0.704	0.704
38	2019.03.11 10:15	2019.03.11 10:20	0.704	0.704	0.704	0.704	0.704	0.704	0.704
39	2019.03.11 10:20	2019.03.11 10:25	0.704	0.704	0.704	0.704	0.704	0.704	0.704
40	2019.03.11 10:45	2019.03.11 10:50	0.705	0.705	0.704	0.704	0.704	0.704	0.705
41	2019.03.11 10:50	2019.03.11 10:55	0.705	0.705	0.704	0.704	0.704	0.704	0.705
42	2019.03.11 11:20	2019.03.11 11:25	0.705	0.705	0.704	0.704	0.704	0.705	0.705
43	2019.03.11 11:25	2019.03.11 11:30	0.705	0.705	0.704	0.704	0.704	0.705	0.705
44	2019.03.11 11:50	2019.03.11 11:55	0.705	0.705	0.704	0.704	0.705	0.705	0.705
45	2019.03.11 11:55	2019.03.11 12:00	0.705	0.705	0.704	0.704	0.705	0.705	0.705
