[20190312_075905 / views.py:11499]
fname_Src_CSV	44_5.1_10_rawdata.(AUDUSD).(Period-M5).(NumOfUnits-2000).(Bars-ALL-20190312_075809).20190312_075213.csv
slice by	day
this file	no-44.[ups-downs-in_BB].[v-1.0].(AUDUSD-M5).(20190312_075905).csv
pair	AUDUSD
timeframe	M5
start	2019.03.01 02:45
end	2019.03.12 01:50

[ups/downs]==============================
s.n.	start	end	total	UU	UD	DU	DD	%UU	%UD	%DU	%DD
[20190312_075905 / views.py:11591]
1	2019.03.12 00:05	2019.03.12 01:50	22	3	6	6	6	0.136	0.273	0.273	0.273
2	2019.03.11 00:05	2019.03.11 23:55	287	81	72	69	58	0.282	0.251	0.240	0.202
3	2019.03.08 00:05	2019.03.08 23:50	286	68	65	63	55	0.238	0.227	0.220	0.192
4	2019.03.07 00:00	2019.03.07 23:55	288	68	69	66	65	0.236	0.240	0.229	0.226
5	2019.03.06 00:00	2019.03.06 23:55	288	62	67	65	72	0.215	0.233	0.226	0.250
6	2019.03.05 00:00	2019.03.05 23:55	288	72	67	72	45	0.250	0.233	0.250	0.156
7	2019.03.04 00:05	2019.03.04 23:55	287	59	74	74	61	0.206	0.258	0.258	0.213
8	2019.03.01 02:45	2019.03.01 23:50	254	53	58	57	67	0.209	0.228	0.224	0.264


