[20190314_184050 / views.py:11584]
fname_Src_CSV	44_5.1_10_rawdata.(EURJPY).(Period-D1).(NumOfUnits-2000).(Bars-ALL-20190308_084655).20190308_083617.csv
slice by	through
this file	(20190314_184049).(EURJPY-D1).[sec-1.A-5.BB-diff-histogram.UU-UD-DU-DD].csv 
pair	EURJPY
timeframe	D1
start	2012.06.30 00:00
end	2019.03.08 00:00
total bars	2000

[20190314_184050 / views.py:11602]
[BB-diff-histogram : lo_UU_Z1]==============================
s.n.	e0.dateTime	diff-total
1	2012.09.06 00:00	1.242
2	2012.09.07 00:00	0.479
3	2012.10.17 00:00	0.969
4	2012.11.21 00:00	1.617
5	2012.11.22 00:00	0.999
6	2012.11.23 00:00	0.788
7	2012.12.13 00:00	1.151
8	2012.12.14 00:00	0.728
9	2012.12.18 00:00	1.993
10	2013.02.01 00:00	2.742
11	2013.04.05 00:00	2.930
12	2013.04.06 00:00	2.206
13	2013.04.08 00:00	1.917
14	2013.04.09 00:00	1.477
15	2013.04.10 00:00	1.398
16	2013.07.18 00:00	1.330
17	2013.07.19 00:00	0.452
18	2013.11.22 00:00	1.433
19	2013.11.23 00:00	0.512
20	2013.11.27 00:00	1.644
21	2014.03.06 00:00	2.824
22	2014.09.12 00:00	0.855
23	2014.10.31 00:00	3.149
24	2014.11.01 00:00	1.756
25	2014.11.03 00:00	1.293
26	2014.11.04 00:00	1.055
27	2015.04.29 00:00	3.537
28	2015.04.30 00:00	2.171
29	2015.06.02 00:00	4.147
30	2015.06.03 00:00	2.342
31	2015.08.11 00:00	1.895
32	2015.12.03 00:00	4.013
33	2016.01.27 00:00	1.578
34	2016.01.28 00:00	2.735
35	2016.03.30 00:00	1.215
36	2016.08.30 00:00	1.182
37	2016.08.31 00:00	0.941
38	2016.09.01 00:00	1.027
39	2016.10.05 00:00	1.300
40	2016.11.15 00:00	0.755
41	2016.11.21 00:00	0.418
42	2016.11.24 00:00	1.254
43	2017.03.10 00:00	0.833
44	2017.04.25 00:00	2.029
45	2017.06.27 00:00	2.711
46	2017.06.28 00:00	0.986
47	2017.06.29 00:00	0.603
48	2017.06.30 00:00	0.599
49	2017.09.18 00:00	1.474
50	2017.10.24 00:00	1.067
51	2018.07.11 00:00	0.986
52	2019.02.01 00:00	1.056
53	2019.02.28 00:00	1.017
