[20190314_184050 / views.py:12010]
fname_Src_CSV	44_5.1_10_rawdata.(EURJPY).(Period-D1).(NumOfUnits-2000).(Bars-ALL-20190308_084655).20190308_083617.csv
slice by	through
this file	no-44.[ups-downs-in_BB].[v-1.0].(EURJPY-D1).(20190314_184049).csv
pair	EURJPY
timeframe	D1
start	2012.06.30 00:00
end	2019.03.08 00:00
bars	2000



[20190314_184050 / views.py:12029]


[lo_UU]==============================
s.n.	e0.dateTime	e1.dateTime	e0.CP	e1.CP	e0.BB_M2S	e0.BB_M1S	e0.BB_Main	e0.BB_1S	e0.BB_2S
1	2012.07.25 00:00	2012.07.26 00:00	94.825	96.235	93.855	95.423	96.992	98.560	100.129
2	2012.07.26 00:00	2012.07.27 00:00	96.235	97.272	94.119	95.444	96.769	98.094	99.419
3	2012.07.31 00:00	2012.08.01 00:00	96.170	96.216	94.526	95.430	96.334	97.238	98.142
4	2012.08.03 00:00	2012.08.04 00:00	96.968	97.213	94.554	95.329	96.105	96.880	97.655
5	2012.08.13 00:00	2012.08.14 00:00	96.713	97.109	94.499	95.373	96.246	97.119	97.993
6	2012.09.04 00:00	2012.09.05 00:00	98.474	98.704	96.948	97.572	98.195	98.819	99.442
7	2012.09.05 00:00	2012.09.06 00:00	98.704	99.763	97.233	97.764	98.295	98.826	99.357
8	2012.09.06 00:00	2012.09.07 00:00	99.763	99.945	97.329	97.878	98.428	98.977	99.526
9	2012.09.07 00:00	2012.09.08 00:00	99.945	100.241	97.540	98.061	98.582	99.102	99.623
10	2012.09.27 00:00	2012.09.28 00:00	99.928	100.065	98.367	99.653	100.938	102.224	103.510
11	2012.09.28 00:00	2012.09.29 00:00	100.065	100.079	98.609	99.808	101.006	102.205	103.404
12	2012.09.29 00:00	2012.10.01 00:00	100.079	100.734	98.654	99.838	101.022	102.206	103.390
13	2012.10.01 00:00	2012.10.02 00:00	100.734	100.937	98.741	99.901	101.062	102.222	103.383
14	2012.10.02 00:00	2012.10.03 00:00	100.937	101.309	98.805	99.951	101.097	102.242	103.388
15	2012.10.03 00:00	2012.10.04 00:00	101.309	102.029	98.913	100.035	101.158	102.280	103.403
16	2012.10.04 00:00	2012.10.05 00:00	102.029	102.775	99.061	100.162	101.263	102.363	103.464
17	2012.10.10 00:00	2012.10.11 00:00	101.037	101.610	99.472	100.337	101.203	102.068	102.933
18	2012.10.13 00:00	2012.10.15 00:00	101.621	101.883	99.565	100.352	101.138	101.924	102.710
19	2012.10.15 00:00	2012.10.16 00:00	101.883	102.760	99.558	100.358	101.157	101.956	102.756
20	2012.10.16 00:00	2012.10.17 00:00	102.760	103.296	99.480	100.352	101.223	102.094	102.966
21	2012.10.17 00:00	2012.10.18 00:00	103.296	103.729	99.425	100.392	101.359	102.326	103.292
22	2012.10.24 00:00	2012.10.25 00:00	103.520	103.885	100.279	101.322	102.366	103.410	104.453
