[20190307_154009 / views.py:11753]
fname_Src_CSV	44_5.1_10_rawdata.(EURJPY).(Period-H1).(NumOfUnits-4500).(Bars-ALL-20190307_151905).20190307_144106.csv
slice by	day
this file	no-44.[ups-downs-in_BB].[v-1.0].(EURJPY-H1).(20190307_154007).csv
pair	EURJPY
timeframe	H1
start	2017.10.23 07:00
end	2019.03.07 07:00

[ups/downs]==============================
s.n.	start	end	total	UU	UD	DU	DD	%UU	%UD	%DU	%DD


[20190307_154009 / views.py:11768]


[lo_UU]==============================
s.n.	e0.dateTime	e1.dateTime	e0.CP	e1.CP	e0.BB_M2S	e0.BB_M1S	e0.BB_Main	e0.BB_1S	e0.BB_2S
1	2019.03.07 04:00	2019.03.07 05:00	126.254	126.288	126.229	126.294	126.360	126.425	126.491
2	2019.03.06 06:00	2019.03.06 07:00	126.282	126.314	126.126	126.322	126.517	126.712	126.908
3	2019.03.06 07:00	2019.03.06 08:00	126.314	126.372	126.118	126.305	126.492	126.678	126.865
4	2019.03.06 20:00	2019.03.06 21:00	126.362	126.419	126.223	126.292	126.361	126.430	126.499
5	2019.03.05 01:00	2019.03.05 02:00	126.718	126.761	126.388	126.607	126.825	127.044	127.263
6	2019.03.05 20:00	2019.03.05 21:00	126.458	126.465	126.454	126.584	126.713	126.843	126.972
7	2019.03.05 21:00	2019.03.05 22:00	126.465	126.498	126.420	126.560	126.701	126.841	126.981
8	2019.03.04 14:00	2019.03.04 15:00	126.883	126.945	126.788	126.968	127.147	127.327	127.506
9	2019.03.04 19:00	2019.03.04 20:00	126.593	126.599	126.487	126.750	127.014	127.278	127.541
10	2019.03.04 20:00	2019.03.04 21:00	126.599	126.605	126.436	126.709	126.982	127.256	127.529
11	2019.03.04 21:00	2019.03.04 22:00	126.605	126.690	126.400	126.673	126.946	127.219	127.492
12	2019.03.04 22:00	2019.03.04 23:00	126.690	126.701	126.385	126.650	126.915	127.180	127.445
13	2019.03.01 00:00	2019.03.01 01:00	126.645	126.653	125.884	126.161	126.438	126.714	126.991
14	2019.03.01 01:00	2019.03.01 02:00	126.653	126.818	125.917	126.190	126.462	126.735	127.008
15	2019.03.01 02:00	2019.03.01 03:00	126.818	126.966	125.950	126.223	126.496	126.769	127.042
16	2019.03.01 03:00	2019.03.01 04:00	126.966	127.055	125.999	126.270	126.542	126.813	127.084
17	2019.03.01 06:00	2019.03.01 07:00	127.004	127.020	126.243	126.464	126.685	126.906	127.127
18	2019.03.01 07:00	2019.03.01 08:00	127.020	127.056	126.322	126.524	126.726	126.929	127.131
19	2019.03.01 08:00	2019.03.01 09:00	127.056	127.160	126.393	126.579	126.765	126.951	127.138
20	2019.03.01 12:00	2019.03.01 13:00	127.237	127.296	126.510	126.703	126.896	127.089	127.282
21	2019.03.01 15:00	2019.03.01 16:00	127.303	127.487	126.537	126.758	126.980	127.201	127.422
22	2019.02.28 09:00	2019.02.28 10:00	126.059	126.119	125.938	126.029	126.120	126.211	126.302
23	2019.02.28 10:00	2019.02.28 11:00	126.119	126.198	126.000	126.067	126.133	126.200	126.266
24	2019.02.28 11:00	2019.02.28 12:00	126.198	126.275	126.017	126.080	126.142	126.205	126.267
25	2019.02.28 12:00	2019.02.28 13:00	126.275	126.488	126.012	126.081	126.149	126.218	126.287
26	2019.02.28 15:00	2019.02.28 16:00	126.494	126.644	125.929	126.064	126.198	126.332	126.467
27	2019.02.28 16:00	2019.02.28 17:00	126.644	126.741	125.887	126.053	126.219	126.385	126.551
28	2019.02.28 20:00	2019.02.28 21:00	126.719	126.756	125.805	126.065	126.325	126.585	126.845
29	2019.02.28 21:00	2019.02.28 22:00	126.756	126.770	125.809	126.082	126.355	126.628	126.901
30	2019.02.27 10:00	2019.02.27 11:00	125.783	125.828	125.663	125.765	125.867	125.969	126.071
31	2019.02.27 11:00	2019.02.27 12:00	125.828	125.839	125.660	125.763	125.865	125.967	126.070
32	2019.02.27 12:00	2019.02.27 13:00	125.839	125.904	125.663	125.765	125.866	125.968	126.070
33	2019.02.27 15:00	2019.02.27 16:00	126.019	126.129	125.669	125.768	125.867	125.967	126.066
34	2019.02.27 16:00	2019.02.27 17:00	126.129	126.209	125.650	125.763	125.876	125.989	126.101
35	2019.02.27 19:00	2019.02.27 20:00	126.131	126.216	125.606	125.757	125.908	126.059	126.209
36	2019.02.27 20:00	2019.02.27 21:00	126.216	126.239	125.591	125.756	125.921	126.086	126.251
37	2019.02.26 00:00	2019.02.26 01:00	126.158	126.193	125.316	125.577	125.837	126.098	126.358
38	2019.02.26 09:00	2019.02.26 10:00	125.789	125.852	125.636	125.807	125.978	126.149	126.320
39	2019.02.26 10:00	2019.02.26 11:00	125.852	125.992	125.651	125.817	125.983	126.148	126.314
40	2019.02.26 13:00	2019.02.26 14:00	126.004	126.006	125.714	125.863	126.011	126.159	126.308
41	2019.02.26 18:00	2019.02.26 19:00	125.977	125.994	125.693	125.818	125.944	126.070	126.195
42	2019.02.25 00:00	2019.02.25 01:00	125.552	125.638	125.373	125.470	125.566	125.663	125.759
43	2019.02.25 01:00	2019.02.25 02:00	125.638	125.684	125.375	125.472	125.570	125.668	125.765
44	2019.02.25 08:00	2019.02.25 09:00	125.520	125.629	125.364	125.445	125.526	125.607	125.687
45	2019.02.25 11:00	2019.02.25 12:00	125.624	125.834	125.377	125.453	125.529	125.605	125.681
46	2019.02.25 12:00	2019.02.25 13:00	125.834	125.843	125.350	125.449	125.548	125.647	125.746
47	2019.02.25 18:00	2019.02.25 19:00	126.011	126.175	125.329	125.488	125.648	125.807	125.967
48	2019.02.22 00:00	2019.02.22 01:00	125.446	125.537	125.350	125.460	125.571	125.682	125.792
49	2019.02.22 08:00	2019.02.22 09:00	125.634	125.649	125.405	125.480	125.555	125.630	125.706
50	2019.02.22 09:00	2019.02.22 10:00	125.649	125.709	125.411	125.482	125.553	125.624	125.695
51	2019.02.21 04:00	2019.02.21 05:00	125.682	125.748	125.511	125.597	125.684	125.770	125.856
52	2019.02.21 09:00	2019.02.21 10:00	125.545	125.756	125.457	125.558	125.660	125.761	125.862
53	2019.02.21 12:00	2019.02.21 13:00	125.621	125.698	125.418	125.536	125.654	125.772	125.889
54	2019.02.20 01:00	2019.02.20 02:00	125.395	125.698	124.869	125.059	125.248	125.438	125.628
55	2019.02.20 02:00	2019.02.20 03:00	125.698	125.884	124.874	125.078	125.283	125.488	125.693
56	2019.02.20 06:00	2019.02.20 07:00	125.697	125.701	124.914	125.163	125.412	125.661	125.910
57	2019.02.20 15:00	2019.02.20 16:00	125.607	125.688	125.346	125.485	125.624	125.763	125.902
58	2019.02.20 16:00	2019.02.20 17:00	125.688	125.695	125.365	125.500	125.635	125.770	125.905
