[20190307_154009 / views.py:11521]
fname_Src_CSV	44_5.1_10_rawdata.(EURJPY).(Period-H1).(NumOfUnits-4500).(Bars-ALL-20190307_151905).20190307_144106.csv
slice by	day
this file	no-44.[ups-downs-in_BB].[v-1.0].(EURJPY-H1).(20190307_154007).csv
pair	EURJPY
timeframe	H1
start	2017.10.23 07:00
end	2019.03.07 07:00

[ups/downs]==============================
s.n.	start	end	total	UU	UD	DU	DD	%UU	%UD	%DU	%DD
[20190307_154009 / views.py:11613]
1	2019.03.07 00:00	2019.03.07 07:00	8	1	1	2	3	0.125	0.125	0.250	0.375
2	2019.03.06 00:00	2019.03.06 23:00	24	3	7	7	6	0.125	0.292	0.292	0.250
3	2019.03.05 00:00	2019.03.05 23:00	24	3	8	8	4	0.125	0.333	0.333	0.167
4	2019.03.04 00:00	2019.03.04 23:00	24	5	5	6	7	0.208	0.208	0.250	0.292
5	2019.03.01 00:00	2019.03.01 23:00	24	9	5	4	5	0.375	0.208	0.167	0.208
6	2019.02.28 00:00	2019.02.28 23:00	24	8	5	5	5	0.333	0.208	0.208	0.208
7	2019.02.27 00:00	2019.02.27 23:00	24	7	6	5	5	0.292	0.250	0.208	0.208
8	2019.02.26 00:00	2019.02.26 23:00	24	5	5	4	9	0.208	0.208	0.167	0.375
9	2019.02.25 00:00	2019.02.25 23:00	24	6	7	6	4	0.250	0.292	0.250	0.167
10	2019.02.22 00:00	2019.02.22 23:00	24	3	7	6	7	0.125	0.292	0.250	0.292
11	2019.02.21 00:00	2019.02.21 23:00	24	3	7	7	4	0.125	0.292	0.292	0.167
12	2019.02.20 00:00	2019.02.20 23:00	24	6	5	5	7	0.250	0.208	0.208	0.292
13	2019.02.19 00:00	2019.02.19 23:00	24	8	6	5	4	0.333	0.250	0.208	0.167
14	2019.02.18 00:00	2019.02.18 23:00	24	11	4	3	5	0.458	0.167	0.125	0.208
15	2019.02.15 00:00	2019.02.15 23:00	24	6	6	5	6	0.250	0.250	0.208	0.250
