[20190315_090602 / views.py:11583]
fname_Src_CSV	44_5.1_10_rawdata.(EURJPY).(Period-H1).(NumOfUnits-4500).(Bars-ALL-20190307_151905).20190307_144106.csv
slice by	through
this file	(20190315_090600).(EURJPY-H1).[sec-1.A-5.BB-diff-histogram.UU-UD-DU-DD].csv 
pair	EURJPY
timeframe	H1
start	2017.10.23 07:00
end	2019.03.07 07:00
total bars	8463

[20190315_090602 / views.py:11601]
[BB-diff-histogram : lo_UU_Z1]==============================
s.n.	e0.dateTime	diff-total
1	2017.10.24 14:00	0.171
2	2017.10.25 11:00	0.436
3	2017.10.25 12:00	0.127
4	2017.10.30 11:00	0.102
5	2017.10.31 15:00	0.136
6	2017.10.31 18:00	0.530
7	2017.11.10 18:00	0.205
8	2017.11.10 19:00	0.116
9	2017.11.10 20:00	0.169
10	2017.11.14 09:00	0.757
11	2017.11.24 04:00	0.152
12	2017.11.24 05:00	0.125
13	2017.11.24 06:00	0.089
14	2017.11.24 15:00	0.502
15	2017.11.24 16:00	0.579
16	2017.11.24 17:00	0.417
17	2017.11.29 15:00	0.524
18	2017.11.30 17:00	0.371
19	2017.11.30 18:00	0.374
20	2017.11.30 19:00	0.439
21	2017.12.07 19:00	0.280
22	2017.12.07 20:00	0.161
23	2017.12.08 20:00	0.123
24	2017.12.14 01:00	0.251
25	2017.12.15 17:00	0.271
26	2017.12.18 09:00	0.237
27	2017.12.19 10:00	0.125
28	2017.12.19 11:00	0.088
29	2017.12.19 14:00	0.444
30	2017.12.19 17:00	0.346
31	2017.12.19 18:00	0.275
32	2017.12.19 19:00	0.241
33	2017.12.20 15:00	0.149
34	2017.12.20 16:00	0.456
35	2017.12.26 00:00	0.080
36	2017.12.26 01:00	0.035
37	2017.12.27 11:00	0.343
38	2017.12.27 15:00	0.260
39	2017.12.29 17:00	0.544
40	2018.01.04 12:00	0.281
41	2018.01.04 13:00	0.291
42	2018.01.04 14:00	0.271
43	2018.01.04 15:00	0.377
44	2018.01.05 09:00	0.115
45	2018.01.11 14:00	0.882
46	2018.01.11 15:00	0.242
47	2018.01.12 10:00	0.383
48	2018.01.12 15:00	0.434
49	2018.01.18 12:00	0.263
50	2018.01.22 18:00	0.301
51	2018.01.22 19:00	0.141
52	2018.01.25 15:00	0.735
53	2018.01.31 14:00	0.311
54	2018.02.01 10:00	0.525
55	2018.02.01 13:00	0.169
56	2018.02.21 01:00	0.285
57	2018.02.21 02:00	0.302
58	2018.02.21 03:00	0.352
59	2018.03.05 18:00	0.481
60	2018.03.06 13:00	1.053
61	2018.03.07 21:00	0.193
62	2018.03.13 07:00	0.239
63	2018.03.13 08:00	0.132
64	2018.03.13 09:00	0.146
65	2018.03.13 10:00	0.127
66	2018.03.13 11:00	0.320
67	2018.03.13 12:00	0.292
68	2018.03.13 13:00	0.135
69	2018.03.13 14:00	0.095
70	2018.03.26 12:00	0.337
71	2018.03.26 13:00	0.067
72	2018.03.28 20:00	0.199
73	2018.04.02 14:00	0.258
74	2018.04.09 15:00	0.342
75	2018.04.13 08:00	0.215
76	2018.04.13 09:00	0.359
77	2018.04.18 04:00	0.178
78	2018.04.18 05:00	0.146
79	2018.04.19 03:00	0.034
80	2018.04.23 17:00	0.228
81	2018.04.23 18:00	0.219
82	2018.04.24 15:00	0.474
83	2018.05.14 08:00	0.108
84	2018.05.14 10:00	0.393
85	2018.05.17 10:00	0.395
86	2018.05.18 03:00	0.226
87	2018.05.18 04:00	0.074
88	2018.05.30 12:00	0.458
89	2018.05.30 13:00	0.437
90	2018.05.31 10:00	0.751
91	2018.06.07 09:00	0.190
92	2018.06.07 14:00	0.110
93	2018.06.22 10:00	0.648
94	2018.06.28 17:00	0.183
95	2018.07.03 09:00	0.354
96	2018.07.06 08:00	0.308
97	2018.07.10 02:00	0.280
98	2018.07.11 18:00	0.462
99	2018.07.30 11:00	0.214
100	2018.07.30 15:00	0.188
101	2018.07.30 16:00	0.087
102	2018.07.31 10:00	0.527
103	2018.08.06 17:00	0.161
104	2018.08.07 21:00	0.212
105	2018.08.14 09:00	0.447
106	2018.08.17 21:00	0.584
107	2018.08.21 03:00	0.275
108	2018.08.21 04:00	0.149
109	2018.08.21 05:00	0.290
110	2018.08.21 19:00	0.462
111	2018.08.23 16:00	0.406
112	2018.08.27 18:00	0.196
113	2018.08.28 14:00	0.207
114	2018.08.28 15:00	0.150
115	2018.08.29 16:00	0.673
116	2018.08.29 17:00	0.504
117	2018.08.29 18:00	0.220
118	2018.09.10 15:00	0.396
119	2018.09.11 08:00	0.353
120	2018.09.11 09:00	0.309
121	2018.09.13 15:00	0.819
122	2018.09.13 16:00	0.397
123	2018.09.13 17:00	0.154
124	2018.09.17 13:00	0.222
125	2018.09.17 14:00	0.223
126	2018.09.17 15:00	0.262
127	2018.09.20 12:00	0.251
128	2018.09.20 13:00	0.544
129	2018.09.20 14:00	0.467
130	2018.09.20 17:00	0.306
131	2018.09.20 18:00	0.153
132	2018.09.25 09:00	0.334
133	2018.10.03 04:00	0.700
134	2018.10.03 08:00	0.214
135	2018.10.19 18:00	0.223
136	2018.10.29 13:00	0.394
137	2018.10.29 17:00	0.186
138	2018.10.31 03:00	0.172
139	2018.11.01 11:00	0.320
140	2018.11.02 07:00	0.597
141	2018.11.02 08:00	0.239
142	2018.11.02 09:00	0.136
143	2018.11.05 20:00	0.316
144	2018.11.07 11:00	0.111
145	2018.11.14 01:00	0.205
146	2018.11.14 02:00	0.079
147	2018.11.21 13:00	0.321
148	2018.11.22 12:00	0.185
149	2018.11.26 06:00	0.115
150	2018.11.26 07:00	0.047
151	2018.11.26 09:00	0.326
152	2018.11.28 19:00	0.583
153	2018.11.28 22:00	0.064
154	2018.12.05 13:00	0.115
155	2018.12.05 14:00	0.135
156	2018.12.07 20:00	0.223
157	2018.12.11 12:00	0.249
158	2018.12.26 23:00	0.042
159	2018.12.27 21:00	0.438
160	2019.01.07 12:00	0.175
161	2019.01.07 15:00	0.363
162	2019.01.07 16:00	0.159
163	2019.01.07 17:00	0.356
164	2019.01.15 02:00	0.326
165	2019.01.15 03:00	0.228
166	2019.01.15 04:00	0.169
167	2019.01.17 21:00	0.360
168	2019.01.23 05:00	0.082
169	2019.01.25 17:00	0.268
170	2019.01.29 10:00	0.321
171	2019.02.01 13:00	0.032
172	2019.02.01 15:00	0.325
173	2019.02.01 16:00	0.380
174	2019.02.01 17:00	0.468
175	2019.02.12 18:00	0.238
176	2019.02.12 19:00	0.186
177	2019.02.18 01:00	0.165
178	2019.02.18 02:00	0.107
179	2019.02.18 03:00	0.172
180	2019.02.20 02:00	0.490
181	2019.02.25 12:00	0.220
182	2019.02.25 18:00	0.385
183	2019.02.27 16:00	0.188
184	2019.02.28 15:00	0.203
185	2019.02.28 16:00	0.247
