[20190315_090601 / views.py:12009]
fname_Src_CSV	44_5.1_10_rawdata.(EURJPY).(Period-H1).(NumOfUnits-4500).(Bars-ALL-20190307_151905).20190307_144106.csv
slice by	through
this file	no-44.[ups-downs-in_BB].[v-1.0].(EURJPY-H1).(20190315_090600).csv
pair	EURJPY
timeframe	H1
start	2017.10.23 07:00
end	2019.03.07 07:00
bars	8463



[20190315_090601 / views.py:12028]


[lo_UU]==============================
s.n.	e0.dateTime	e1.dateTime	e0.CP	e1.CP	e0.BB_M2S	e0.BB_M1S	e0.BB_Main	e0.BB_1S	e0.BB_2S
1	2017.10.23 12:00	2017.10.23 13:00	133.718	133.759	133.531	133.661	133.792	133.922	134.052
2	2017.10.23 23:00	2017.10.24 00:00	133.282	133.323	133.266	133.459	133.653	133.846	134.039
3	2017.10.24 02:00	2017.10.24 03:00	133.221	133.235	133.130	133.344	133.558	133.772	133.986
4	2017.10.24 03:00	2017.10.24 04:00	133.235	133.287	133.100	133.313	133.526	133.739	133.952
5	2017.10.24 04:00	2017.10.24 05:00	133.287	133.315	133.087	133.293	133.499	133.705	133.911
6	2017.10.24 05:00	2017.10.24 06:00	133.315	133.326	133.075	133.276	133.476	133.677	133.877
7	2017.10.24 06:00	2017.10.24 07:00	133.326	133.352	133.070	133.263	133.455	133.647	133.839
8	2017.10.24 07:00	2017.10.24 08:00	133.352	133.447	133.069	133.253	133.437	133.621	133.805
9	2017.10.24 08:00	2017.10.24 09:00	133.447	133.513	133.078	133.251	133.423	133.596	133.769
10	2017.10.24 09:00	2017.10.24 10:00	133.513	133.619	133.098	133.255	133.411	133.567	133.724
11	2017.10.24 10:00	2017.10.24 11:00	133.619	133.716	133.099	133.255	133.411	133.567	133.724
12	2017.10.24 13:00	2017.10.24 14:00	133.751	133.902	133.066	133.248	133.431	133.613	133.796
13	2017.10.24 14:00	2017.10.24 15:00	133.902	133.922	133.035	133.239	133.442	133.645	133.849
14	2017.10.24 17:00	2017.10.24 18:00	134.019	134.049	132.967	133.235	133.503	133.771	134.039
15	2017.10.24 22:00	2017.10.24 23:00	133.882	133.981	133.150	133.414	133.678	133.941	134.205
16	2017.10.24 23:00	2017.10.25 00:00	133.981	134.011	133.213	133.464	133.715	133.966	134.217
17	2017.10.25 00:00	2017.10.25 01:00	134.011	134.082	133.274	133.513	133.751	133.989	134.228
18	2017.10.25 04:00	2017.10.25 05:00	133.839	133.917	133.571	133.718	133.865	134.013	134.160
19	2017.10.25 05:00	2017.10.25 06:00	133.917	133.936	133.639	133.762	133.886	134.009	134.132
20	2017.10.25 09:00	2017.10.25 10:00	133.946	133.957	133.784	133.858	133.932	134.006	134.080
21	2017.10.25 10:00	2017.10.25 11:00	133.957	134.296	133.787	133.860	133.934	134.008	134.082
22	2017.10.25 11:00	2017.10.25 12:00	134.296	134.392	133.737	133.845	133.953	134.061	134.169
23	2017.10.25 12:00	2017.10.25 13:00	134.392	134.422	133.703	133.843	133.982	134.121	134.261
24	2017.10.25 23:00	2017.10.26 00:00	134.344	134.315	133.776	133.974	134.172	134.371	134.569
25	2017.10.26 09:00	2017.10.26 10:00	134.347	134.465	134.168	134.223	134.277	134.332	134.386
26	2017.10.26 23:00	2017.10.27 00:00	132.817	132.870	132.493	133.106	133.719	134.333	134.946
27	2017.10.27 00:00	2017.10.27 01:00	132.870	132.871	132.394	133.024	133.653	134.283	134.913
28	2017.10.27 04:00	2017.10.27 05:00	132.798	132.823	132.116	132.741	133.366	133.991	134.616
29	2017.10.27 07:00	2017.10.27 08:00	132.819	132.875	132.165	132.650	133.134	133.619	134.104
30	2017.10.30 06:00	2017.10.30 07:00	131.927	131.972	131.548	131.827	132.106	132.384	132.663
31	2017.10.30 07:00	2017.10.30 08:00	131.972	131.976	131.558	131.817	132.076	132.335	132.593
32	2017.10.30 08:00	2017.10.30 09:00	131.976	132.036	131.597	131.819	132.042	132.264	132.487
33	2017.10.30 09:00	2017.10.30 10:00	132.036	132.128	131.654	131.833	132.013	132.192	132.372
34	2017.10.30 10:00	2017.10.30 11:00	132.128	132.180	131.704	131.849	131.995	132.140	132.285
35	2017.10.30 11:00	2017.10.30 12:00	132.180	132.233	131.786	131.882	131.978	132.074	132.170
36	2017.10.30 21:00	2017.10.30 22:00	131.702	131.869	131.570	131.756	131.942	132.128	132.314
37	2017.10.31 10:00	2017.10.31 11:00	131.677	131.769	131.507	131.612	131.717	131.822	131.927
38	2017.10.31 13:00	2017.10.31 14:00	131.851	131.902	131.526	131.618	131.709	131.800	131.892
39	2017.10.31 14:00	2017.10.31 15:00	131.902	131.968	131.520	131.620	131.720	131.820	131.921
40	2017.10.31 15:00	2017.10.31 16:00	131.968	132.038	131.510	131.623	131.735	131.848	131.961
41	2017.10.31 18:00	2017.10.31 19:00	132.348	132.552	131.427	131.612	131.797	131.983	132.168
42	2017.11.01 00:00	2017.11.01 01:00	132.389	132.406	131.329	131.665	132.001	132.336	132.672
43	2017.11.01 01:00	2017.11.01 02:00	132.406	132.448	131.371	131.706	132.040	132.375	132.709
44	2017.11.01 02:00	2017.11.01 03:00	132.448	132.573	131.409	131.744	132.079	132.414	132.749
45	2017.11.01 07:00	2017.11.01 08:00	132.451	132.505	131.783	132.037	132.291	132.545	132.799
46	2017.11.01 08:00	2017.11.01 09:00	132.505	132.540	131.875	132.101	132.328	132.554	132.781
47	2017.11.01 09:00	2017.11.01 10:00	132.540	132.735	131.958	132.160	132.362	132.565	132.767
48	2017.11.01 13:00	2017.11.01 14:00	132.735	132.757	132.272	132.388	132.505	132.621	132.738
49	2017.11.02 06:00	2017.11.02 07:00	132.763	132.781	132.496	132.581	132.665	132.749	132.834
50	2017.11.02 07:00	2017.11.02 08:00	132.781	132.791	132.494	132.582	132.670	132.758	132.846
51	2017.11.02 12:00	2017.11.02 13:00	132.767	132.897	132.498	132.591	132.685	132.778	132.871
52	2017.11.02 13:00	2017.11.02 14:00	132.897	133.041	132.497	132.599	132.700	132.801	132.903
53	2017.11.02 18:00	2017.11.02 19:00	132.905	133.126	132.573	132.679	132.784	132.890	132.996
54	2017.11.03 04:00	2017.11.03 05:00	132.877	132.938	132.687	132.795	132.903	133.011	133.120
55	2017.11.03 07:00	2017.11.03 08:00	132.935	132.959	132.770	132.851	132.932	133.014	133.095
56	2017.11.03 08:00	2017.11.03 09:00	132.959	132.966	132.799	132.870	132.942	133.014	133.086
57	2017.11.03 17:00	2017.11.03 18:00	132.656	132.713	132.690	132.790	132.889	132.988	133.088
58	2017.11.06 00:00	2017.11.06 01:00	132.573	132.606	132.408	132.583	132.759	132.935	133.110
59	2017.11.06 01:00	2017.11.06 02:00	132.606	132.759	132.395	132.569	132.742	132.916	133.090
60	2017.11.06 02:00	2017.11.06 03:00	132.759	133.064	132.396	132.565	132.735	132.904	133.073
61	2017.11.06 07:00	2017.11.06 08:00	132.677	132.797	132.391	132.547	132.704	132.860	133.017
62	2017.11.06 16:00	2017.11.06 17:00	132.217	132.216	132.100	132.329	132.559	132.788	133.018
63	2017.11.07 00:00	2017.11.07 01:00	132.099	132.104	131.812	132.075	132.339	132.602	132.865
64	2017.11.07 01:00	2017.11.07 02:00	132.104	132.126	131.818	132.060	132.302	132.545	132.787
65	2017.11.07 02:00	2017.11.07 03:00	132.126	132.170	131.814	132.045	132.276	132.507	132.738
66	2017.11.07 03:00	2017.11.07 04:00	132.170	132.222	131.826	132.038	132.251	132.463	132.676
67	2017.11.07 04:00	2017.11.07 05:00	132.222	132.258	131.879	132.050	132.222	132.394	132.565
68	2017.11.07 05:00	2017.11.07 06:00	132.258	132.304	131.946	132.072	132.198	132.324	132.450
69	2017.11.07 19:00	2017.11.07 20:00	131.867	131.900	131.844	131.988	132.132	132.276	132.420
70	2017.11.07 20:00	2017.11.07 21:00	131.900	131.942	131.817	131.969	132.122	132.274	132.427
71	2017.11.07 21:00	2017.11.07 22:00	131.942	132.065	131.799	131.956	132.114	132.271	132.429
72	2017.11.07 22:00	2017.11.07 23:00	132.065	132.063	131.795	131.953	132.111	132.268	132.426
73	2017.11.08 05:00	2017.11.08 06:00	131.977	131.989	131.797	131.898	131.999	132.100	132.201
74	2017.11.08 06:00	2017.11.08 07:00	131.989	131.994	131.798	131.896	131.993	132.090	132.187
75	2017.11.08 18:00	2017.11.08 19:00	131.694	131.905	131.537	131.697	131.856	132.016	132.175
76	2017.11.08 19:00	2017.11.08 20:00	131.905	131.918	131.543	131.696	131.848	132.001	132.154
77	2017.11.08 20:00	2017.11.08 21:00	131.918	131.934	131.543	131.695	131.846	131.998	132.150
78	2017.11.08 21:00	2017.11.08 22:00	131.934	132.015	131.543	131.694	131.845	131.996	132.147
79	2017.11.08 22:00	2017.11.08 23:00	132.015	132.031	131.541	131.696	131.851	132.006	132.161
80	2017.11.09 01:00	2017.11.09 02:00	132.087	132.142	131.531	131.698	131.866	132.033	132.201
81	2017.11.09 11:00	2017.11.09 12:00	131.645	131.752	131.531	131.721	131.912	132.103	132.294
82	2017.11.09 12:00	2017.11.09 13:00	131.752	131.922	131.548	131.733	131.917	132.102	132.287
83	2017.11.09 16:00	2017.11.09 17:00	131.957	132.138	131.589	131.761	131.932	132.104	132.275
84	2017.11.09 22:00	2017.11.09 23:00	131.961	132.072	131.558	131.731	131.903	132.076	132.248
85	2017.11.09 23:00	2017.11.10 00:00	132.072	132.109	131.563	131.731	131.900	132.068	132.237
86	2017.11.10 02:00	2017.11.10 03:00	132.042	132.060	131.588	131.738	131.889	132.039	132.190
87	2017.11.10 05:00	2017.11.10 06:00	132.055	132.109	131.619	131.772	131.925	132.078	132.232
88	2017.11.10 06:00	2017.11.10 07:00	132.109	132.146	131.662	131.806	131.949	132.092	132.235
89	2017.11.10 18:00	2017.11.10 19:00	132.294	132.338	131.980	132.043	132.106	132.169	132.232
90	2017.11.10 19:00	2017.11.10 20:00	132.338	132.408	131.959	132.039	132.119	132.199	132.280
91	2017.11.10 20:00	2017.11.10 21:00	132.408	132.507	131.931	132.032	132.134	132.236	132.338
92	2017.11.13 00:00	2017.11.13 01:00	132.422	132.581	131.927	132.071	132.215	132.359	132.504
93	2017.11.13 03:00	2017.11.13 04:00	132.398	132.414	131.947	132.107	132.267	132.428	132.588
94	2017.11.13 04:00	2017.11.13 05:00	132.414	132.476	131.971	132.128	132.284	132.441	132.598
95	2017.11.13 15:00	2017.11.13 16:00	132.247	132.312	131.910	132.099	132.289	132.479	132.668
96	2017.11.13 16:00	2017.11.13 17:00	132.312	132.396	131.909	132.096	132.284	132.472	132.660
97	2017.11.13 17:00	2017.11.13 18:00	132.396	132.440	131.913	132.096	132.279	132.461	132.644
98	2017.11.13 18:00	2017.11.13 19:00	132.440	132.512	131.913	132.096	132.279	132.462	132.646
99	2017.11.13 19:00	2017.11.13 20:00	132.512	132.516	131.908	132.096	132.285	132.473	132.662
100	2017.11.13 22:00	2017.11.13 23:00	132.545	132.551	131.904	132.099	132.294	132.489	132.684
101	2017.11.14 01:00	2017.11.14 02:00	132.516	132.644	131.894	132.101	132.308	132.516	132.723
102	2017.11.14 02:00	2017.11.14 03:00	132.644	132.656	131.882	132.100	132.318	132.536	132.753
103	2017.11.14 06:00	2017.11.14 07:00	132.654	132.657	131.958	132.187	132.415	132.643	132.871
104	2017.11.14 09:00	2017.11.14 10:00	132.946	133.333	132.166	132.345	132.524	132.703	132.882
105	2017.11.14 14:00	2017.11.14 15:00	133.395	133.496	132.139	132.458	132.778	133.098	133.417
106	2017.11.14 17:00	2017.11.14 18:00	133.371	133.518	132.182	132.548	132.914	133.280	133.646
107	2017.11.14 18:00	2017.11.14 19:00	133.518	133.615	132.206	132.584	132.962	133.341	133.719
108	2017.11.14 19:00	2017.11.14 20:00	133.615	133.768	132.233	132.624	133.016	133.407	133.798
109	2017.11.14 22:00	2017.11.14 23:00	133.771	133.844	132.369	132.782	133.196	133.609	134.023
110	2017.11.14 23:00	2017.11.15 00:00	133.844	133.870	132.421	132.838	133.255	133.672	134.090
111	2017.11.15 09:00	2017.11.15 10:00	133.456	133.580	133.230	133.401	133.572	133.744	133.915
112	2017.11.16 01:00	2017.11.16 02:00	132.871	133.079	132.895	133.111	133.327	133.543	133.759
113	2017.11.16 04:00	2017.11.16 05:00	133.100	133.102	132.818	133.046	133.274	133.503	133.731
114	2017.11.16 05:00	2017.11.16 06:00	133.102	133.160	132.802	133.029	133.257	133.484	133.711
