[20190328_110144 / views.py:12018]==============================
fname_Src_CSV	44_5.1_10_rawdata.(EURJPY).(Period-M15).(NumOfUnits-4500).(Bars-ALL-20190327_162926).20190214_095445.csv
slice by	through
this file	(20190328_110142).(EURJPY-M15).[sec-1.A-5.BB-diff-histogram.UU-UD-DU-DD].csv 
pair	EURJPY
timeframe	M15
start	2018.11.09 03:30
end	2019.03.27 10:15
total bars	9065

[20190328_110144 / views.py:12036]
[20190328_110144 / views.py:11765]==============================
average	0.120
max	0.506
min	0.016
variance	0.0070126
std	0.08374
median	0.098

[20190328_110144 / views.py:11787]
[BB-diff-histogram : lo_UU_Z1]==============================
s.n.	e0.dateTime	diff-total	std score
1	2018.11.13 05:15	0.364	79.14
2	2018.11.13 05:30	0.236	63.86
3	2018.11.13 05:45	0.095	47.02
4	2018.11.13 17:45	0.342	76.52
5	2018.11.14 01:00	0.180	57.17
6	2018.11.14 15:00	0.182	57.41
7	2018.11.14 15:15	0.118	49.77
8	2018.11.15 20:15	0.490	94.19
9	2018.11.15 21:15	0.216	61.47
10	2018.11.21 03:15	0.158	54.54
11	2018.11.21 03:30	0.039	40.33
12	2018.11.21 03:45	0.044	40.93
13	2018.11.21 08:45	0.118	49.77
14	2018.11.21 09:00	0.069	43.91
15	2018.11.21 09:15	0.091	46.54
16	2018.11.21 10:00	0.145	52.99
17	2018.11.21 14:45	0.149	53.47
18	2018.11.22 12:15	0.107	48.45
19	2018.11.23 03:15	0.018	37.82
20	2018.11.26 03:15	0.136	51.92
21	2018.11.26 03:30	0.164	55.26
22	2018.11.26 03:45	0.090	46.42
23	2018.11.26 04:00	0.056	42.36
24	2018.11.26 10:00	0.194	58.84
25	2018.11.28 07:15	0.063	43.20
26	2018.11.28 19:45	0.204	60.04
27	2018.11.28 20:00	0.172	56.21
28	2018.12.03 17:15	0.105	48.21
29	2018.12.06 09:00	0.237	63.98
30	2018.12.07 05:00	0.055	42.24
31	2018.12.07 05:15	0.049	41.53
32	2018.12.07 05:30	0.052	41.88
33	2018.12.10 07:15	0.061	42.96
34	2018.12.10 07:30	0.058	42.60
35	2018.12.10 09:15	0.168	55.74
36	2018.12.10 15:00	0.131	51.32
37	2018.12.11 13:45	0.078	44.99
38	2018.12.12 02:15	0.158	54.54
39	2018.12.13 04:00	0.053	42.00
40	2018.12.13 09:30	0.040	40.45
41	2018.12.13 09:45	0.104	48.09
42	2018.12.13 10:00	0.140	52.39
43	2018.12.17 03:00	0.051	41.77
44	2018.12.18 10:00	0.089	46.30
45	2018.12.18 10:15	0.104	48.09
46	2018.12.19 09:15	0.193	58.72
47	2018.12.19 16:45	0.151	53.71
48	2018.12.19 17:00	0.035	39.85
49	2018.12.19 17:15	0.069	43.91
50	2018.12.20 11:00	0.385	81.65
51	2018.12.20 11:15	0.125	50.60
52	2018.12.26 02:30	0.149	53.47
53	2018.12.26 19:00	0.205	60.16
54	2018.12.27 21:45	0.179	57.05
55	2018.12.27 22:00	0.091	46.54
56	2018.12.27 22:15	0.147	53.23
57	2019.01.03 09:15	0.506	96.10
58	2019.01.03 18:30	0.492	94.43
59	2019.01.04 04:15	0.183	57.53
60	2019.01.04 04:30	0.058	42.60
61	2019.01.04 04:45	0.117	49.65
62	2019.01.04 05:00	0.211	60.87
63	2019.01.04 05:15	0.144	52.87
64	2019.01.04 17:15	0.408	84.40
65	2019.01.07 15:30	0.124	50.48
66	2019.01.07 15:45	0.092	46.66
67	2019.01.09 01:15	0.094	46.90
68	2019.01.09 01:30	0.024	38.54
69	2019.01.09 01:45	0.091	46.54
70	2019.01.09 09:00	0.226	62.66
71	2019.01.09 16:30	0.391	82.37
72	2019.01.11 03:30	0.094	46.90
73	2019.01.11 09:00	0.090	46.42
74	2019.01.15 01:30	0.082	45.47
75	2019.01.15 01:45	0.091	46.54
76	2019.01.15 02:00	0.133	51.56
77	2019.01.15 02:15	0.115	49.41
78	2019.01.15 03:00	0.146	53.11
79	2019.01.15 03:15	0.184	57.65
80	2019.01.16 10:45	0.056	42.36
81	2019.01.18 02:15	0.138	52.15
82	2019.01.18 10:45	0.097	47.26
83	2019.01.18 11:00	0.092	46.66
84	2019.01.18 11:15	0.061	42.96
85	2019.01.18 11:30	0.031	39.38
86	2019.01.21 10:00	0.025	38.66
87	2019.01.23 02:15	0.067	43.68
88	2019.01.23 03:00	0.137	52.04
89	2019.01.23 03:15	0.072	44.27
90	2019.01.23 03:30	0.138	52.15
91	2019.01.23 15:00	0.091	46.54
92	2019.01.24 07:45	0.119	49.89
93	2019.01.25 02:00	0.075	44.63
94	2019.01.25 10:30	0.084	45.71
95	2019.01.25 15:00	0.115	49.41
96	2019.01.25 15:15	0.085	45.83
97	2019.01.25 15:30	0.081	45.35
98	2019.01.25 17:15	0.243	64.69
99	2019.01.25 19:15	0.236	63.86
100	2019.01.28 12:15	0.119	49.89
101	2019.01.29 11:00	0.131	51.32
102	2019.01.29 11:15	0.084	45.71
103	2019.01.30 01:00	0.081	45.35
104	2019.02.01 09:30	0.046	41.17
105	2019.02.01 11:45	0.144	52.87
106	2019.02.01 15:45	0.086	45.94
107	2019.02.01 16:30	0.128	50.96
108	2019.02.01 16:45	0.203	59.92
109	2019.02.01 17:00	0.180	57.17
110	2019.02.01 18:00	0.274	68.39
111	2019.02.04 06:30	0.065	43.44
112	2019.02.04 06:45	0.049	41.53
113	2019.02.04 10:00	0.076	44.75
114	2019.02.04 10:15	0.043	40.81
115	2019.02.04 15:30	0.093	46.78
116	2019.02.06 15:15	0.037	40.09
117	2019.02.07 17:15	0.104	48.09
118	2019.02.08 12:45	0.086	45.94
119	2019.02.11 01:15	0.077	44.87
120	2019.02.11 04:45	0.057	42.48
121	2019.02.11 11:00	0.200	59.56
122	2019.02.11 15:30	0.128	50.96
123	2019.02.12 02:00	0.056	42.36
124	2019.02.12 02:15	0.058	42.60
125	2019.02.12 02:30	0.041	40.57
126	2019.02.12 05:30	0.165	55.38
127	2019.02.12 16:45	0.045	41.05
128	2019.02.12 17:30	0.104	48.09
129	2019.02.12 17:45	0.208	60.51
130	2019.02.12 18:00	0.182	57.41
131	2019.02.12 18:15	0.058	42.60
132	2019.02.13 05:15	0.080	45.23
133	2019.02.15 08:45	0.098	47.38
134	2019.02.15 20:45	0.088	46.18
135	2019.02.18 02:45	0.108	48.57
136	2019.02.18 12:15	0.116	49.53
137	2019.02.18 12:30	0.072	44.27
138	2019.02.19 10:15	0.264	67.20
139	2019.02.19 10:30	0.120	50.01
140	2019.02.20 02:15	0.041	40.57
141	2019.02.20 02:45	0.184	57.65
142	2019.02.20 03:00	0.148	53.35
143	2019.02.20 03:15	0.145	52.99
144	2019.02.20 03:30	0.041	40.57
145	2019.02.22 08:45	0.041	40.57
146	2019.02.22 09:00	0.021	38.18
147	2019.02.22 10:30	0.040	40.45
148	2019.02.25 01:15	0.066	43.56
149	2019.02.25 01:30	0.028	39.02
150	2019.02.25 02:15	0.139	52.27
151	2019.02.25 12:30	0.132	51.44
152	2019.02.25 18:30	0.139	52.27
153	2019.02.25 19:15	0.178	56.93
154	2019.02.25 19:30	0.092	46.66
155	2019.02.27 16:00	0.096	47.14
156	2019.02.27 16:15	0.084	45.71
157	2019.02.28 13:00	0.166	55.50
158	2019.02.28 17:30	0.181	57.29
159	2019.02.28 17:45	0.101	47.74
160	2019.02.28 18:00	0.093	46.78
161	2019.03.01 03:00	0.152	53.83
162	2019.03.01 13:15	0.074	44.51
163	2019.03.04 01:00	0.110	48.81
164	2019.03.04 01:15	0.023	38.42
165	2019.03.06 10:00	0.102	47.86
166	2019.03.06 10:15	0.042	40.69
167	2019.03.06 11:15	0.064	43.32
168	2019.03.07 08:00	0.038	40.21
169	2019.03.08 12:00	0.081	45.35
170	2019.03.08 12:15	0.103	47.97
171	2019.03.08 12:30	0.053	42.00
172	2019.03.08 12:45	0.029	39.14
173	2019.03.08 17:45	0.108	48.57
174	2019.03.08 18:00	0.098	47.38
175	2019.03.11 10:00	0.092	46.66
176	2019.03.11 10:15	0.059	42.72
177	2019.03.11 10:30	0.145	52.99
178	2019.03.12 01:00	0.330	75.08
179	2019.03.12 11:45	0.175	56.57
180	2019.03.12 12:00	0.030	39.26
181	2019.03.12 18:15	0.200	59.56
182	2019.03.12 19:15	0.174	56.45
183	2019.03.13 11:00	0.195	58.96
184	2019.03.13 11:15	0.060	42.84
185	2019.03.14 04:45	0.137	52.04
186	2019.03.14 10:15	0.050	41.65
187	2019.03.14 11:00	0.165	55.38
188	2019.03.14 11:15	0.040	40.45
189	2019.03.14 18:45	0.111	48.93
190	2019.03.14 19:00	0.046	41.17
191	2019.03.15 02:45	0.119	49.89
192	2019.03.15 10:45	0.101	47.74
193	2019.03.15 11:00	0.065	43.44
194	2019.03.18 05:15	0.068	43.80
195	2019.03.18 05:30	0.065	43.44
196	2019.03.18 05:45	0.052	41.88
197	2019.03.18 06:00	0.016	37.59
198	2019.03.18 14:45	0.072	44.27
199	2019.03.18 15:00	0.025	38.66
200	2019.03.19 15:45	0.157	54.42
201	2019.03.20 02:45	0.130	51.20
202	2019.03.20 03:00	0.092	46.66
203	2019.03.20 03:45	0.094	46.90
204	2019.03.20 04:00	0.033	39.62
205	2019.03.25 08:00	0.056	42.36
206	2019.03.25 12:00	0.212	60.99
207	2019.03.25 12:15	0.059	42.72
208	2019.03.25 12:30	0.065	43.44
209	2019.03.26 03:30	0.120	50.01
210	2019.03.26 03:45	0.115	49.41
211	2019.03.26 10:30	0.083	45.59
212	2019.03.26 12:00	0.279	68.99
