[20190327_165618 / views.py:14143]
fname_Src_CSV	44_5.1_10_rawdata.(EURJPY).(Period-M5).(NumOfUnits-8000).(Bars-ALL-20190326_110835).20190307_094255.csv
slice by	through
this file	no-44.[ups-downs-in_BB].[v-1.0].(EURJPY-M5).(20190327_165613).csv
pair	EURJPY
timeframe	M5
start	2018.05.18 04:55
end	2019.03.26 05:00
bars	58414



[20190327_165618 / views.py:14162]


[lo_UU]==============================
s.n.	e0.dateTime	e1.dateTime	e0.CP	e1.CP	e0.BB_M2S	e0.BB_M1S	e0.BB_Main	e0.BB_1S	e0.BB_2S
1	2018.05.18 04:55	2018.05.18 05:00	130.921	130.939	131.305	131.473	131.642	131.810	131.979
2	2018.05.18 05:00	2018.05.18 05:05	130.939	130.942	131.150	131.376	131.602	131.828	132.054
3	2018.05.18 05:15	2018.05.18 05:20	130.941	130.946	130.848	131.167	131.485	131.803	132.121
4	2018.05.18 05:20	2018.05.18 05:25	130.946	130.962	130.778	131.112	131.446	131.780	132.114
5	2018.05.18 05:35	2018.05.18 05:40	130.984	130.993	130.632	130.984	131.337	131.689	132.042
6	2018.05.18 06:20	2018.05.18 06:25	130.930	130.942	130.600	130.809	131.017	131.226	131.435
7	2018.05.18 06:55	2018.05.18 07:00	130.957	130.977	130.909	130.930	130.951	130.973	130.994
8	2018.05.18 07:45	2018.05.18 07:50	130.930	130.931	130.904	130.921	130.939	130.956	130.973
9	2018.05.18 07:50	2018.05.18 07:55	130.931	130.939	130.906	130.922	130.939	130.956	130.973
10	2018.05.18 07:55	2018.05.18 08:00	130.939	130.951	130.908	130.924	130.940	130.956	130.973
11	2018.05.18 08:45	2018.05.18 08:50	130.913	130.948	130.890	130.909	130.928	130.947	130.966
12	2018.05.18 09:30	2018.05.18 09:35	130.934	130.953	130.891	130.909	130.927	130.945	130.962
13	2018.05.18 09:55	2018.05.18 10:00	130.952	131.017	130.886	130.904	130.922	130.940	130.957
14	2018.05.18 10:20	2018.05.18 10:25	130.981	131.002	130.879	130.910	130.941	130.972	131.002
15	2018.05.18 10:50	2018.05.18 10:55	130.992	131.002	130.889	130.924	130.958	130.993	131.027
16	2018.05.18 10:55	2018.05.18 11:00	131.002	131.038	130.892	130.927	130.962	130.997	131.032
17	2018.05.18 13:00	2018.05.18 13:05	130.721	130.727	130.641	130.779	130.918	131.057	131.196
18	2018.05.18 13:05	2018.05.18 13:10	130.727	130.786	130.618	130.761	130.904	131.048	131.191
19	2018.05.18 13:10	2018.05.18 13:15	130.786	130.817	130.606	130.750	130.894	131.037	131.181
20	2018.05.18 14:10	2018.05.18 14:15	130.803	130.806	130.677	130.722	130.768	130.814	130.859
21	2018.05.18 14:30	2018.05.18 14:35	130.753	130.774	130.697	130.734	130.772	130.810	130.847
22	2018.05.18 15:50	2018.05.18 15:55	130.579	130.591	130.573	130.640	130.707	130.774	130.841
23	2018.05.18 15:55	2018.05.18 16:00	130.591	130.612	130.562	130.629	130.696	130.764	130.831
24	2018.05.18 16:25	2018.05.18 16:30	130.462	130.491	130.388	130.500	130.612	130.724	130.836
25	2018.05.18 17:05	2018.05.18 17:10	130.351	130.402	130.278	130.384	130.490	130.596	130.702
26	2018.05.18 17:10	2018.05.18 17:15	130.402	130.449	130.274	130.376	130.478	130.581	130.683
27	2018.05.18 17:15	2018.05.18 17:20	130.449	130.477	130.284	130.375	130.467	130.559	130.650
28	2018.05.18 17:45	2018.05.18 17:50	130.306	130.307	130.268	130.332	130.396	130.460	130.524
29	2018.05.18 18:10	2018.05.18 18:15	130.268	130.339	130.204	130.279	130.354	130.429	130.503
30	2018.05.18 18:50	2018.05.18 18:55	130.351	130.365	130.208	130.268	130.328	130.388	130.449
31	2018.05.18 18:55	2018.05.18 19:00	130.365	130.381	130.216	130.270	130.324	130.378	130.433
32	2018.05.18 19:00	2018.05.18 19:05	130.381	130.433	130.232	130.276	130.319	130.363	130.407
33	2018.05.18 20:05	2018.05.18 20:10	130.359	130.362	130.313	130.348	130.382	130.417	130.451
34	2018.05.18 20:20	2018.05.18 20:25	130.376	130.376	130.326	130.356	130.386	130.415	130.445
35	2018.05.18 20:50	2018.05.18 20:55	130.313	130.324	130.293	130.331	130.369	130.406	130.444
36	2018.05.18 20:55	2018.05.18 21:00	130.324	130.341	130.291	130.327	130.364	130.400	130.436
37	2018.05.18 21:10	2018.05.18 21:15	130.337	130.342	130.288	130.320	130.352	130.385	130.417
38	2018.05.18 21:15	2018.05.18 21:20	130.342	130.346	130.288	130.319	130.350	130.381	130.412
39	2018.05.18 21:35	2018.05.18 21:40	130.336	130.357	130.298	130.319	130.339	130.360	130.380
40	2018.05.18 21:40	2018.05.18 21:45	130.357	130.362	130.298	130.319	130.339	130.360	130.380
41	2018.05.18 22:05	2018.05.18 22:10	130.291	130.312	130.287	130.307	130.327	130.347	130.367
42	2018.05.18 22:20	2018.05.18 22:25	130.317	130.325	130.286	130.306	130.325	130.345	130.365
43	2018.05.18 23:10	2018.05.18 23:15	130.302	130.322	130.263	130.285	130.308	130.331	130.354
44	2018.05.18 23:15	2018.05.18 23:20	130.322	130.326	130.263	130.285	130.307	130.330	130.352
45	2018.05.18 23:20	2018.05.18 23:25	130.326	130.355	130.267	130.286	130.306	130.325	130.345
46	2018.05.18 23:40	2018.05.18 23:45	130.297	130.335	130.264	130.285	130.306	130.326	130.347
47	2018.05.18 23:45	2018.05.18 23:50	130.335	130.358	130.265	130.287	130.308	130.329	130.351
48	2018.05.18 23:50	2018.05.21 00:05	130.358	130.524	130.262	130.286	130.310	130.334	130.358
49	2018.05.21 00:15	2018.05.21 00:20	130.511	130.524	130.192	130.265	130.338	130.411	130.484
50	2018.05.21 01:35	2018.05.21 01:40	130.464	130.468	130.398	130.437	130.475	130.514	130.553
51	2018.05.21 01:50	2018.05.21 01:55	130.450	130.451	130.421	130.448	130.476	130.504	130.532
52	2018.05.21 02:50	2018.05.21 02:55	130.465	130.470	130.398	130.419	130.439	130.460	130.481
53	2018.05.21 02:55	2018.05.21 03:00	130.470	130.500	130.398	130.419	130.440	130.461	130.482
54	2018.05.21 04:10	2018.05.21 04:15	130.430	130.436	130.382	130.419	130.457	130.495	130.533
55	2018.05.21 04:15	2018.05.21 04:20	130.436	130.458	130.386	130.422	130.459	130.495	130.532
56	2018.05.21 04:20	2018.05.21 04:25	130.458	130.460	130.387	130.423	130.459	130.496	130.532
57	2018.05.21 04:25	2018.05.21 04:30	130.460	130.469	130.388	130.424	130.460	130.497	130.533
58	2018.05.21 06:00	2018.05.21 06:05	130.518	130.531	130.448	130.465	130.481	130.498	130.514
59	2018.05.21 06:15	2018.05.21 06:20	130.527	130.536	130.448	130.469	130.490	130.511	130.533
60	2018.05.21 06:20	2018.05.21 06:25	130.536	130.537	130.446	130.470	130.493	130.516	130.540
61	2018.05.21 06:25	2018.05.21 06:30	130.537	130.564	130.446	130.471	130.496	130.521	130.546
62	2018.05.21 06:30	2018.05.21 06:35	130.564	130.611	130.442	130.471	130.500	130.529	130.557
63	2018.05.21 06:45	2018.05.21 06:50	130.590	130.608	130.439	130.479	130.520	130.560	130.600
64	2018.05.21 07:20	2018.05.21 07:25	130.671	130.694	130.445	130.507	130.569	130.632	130.694
65	2018.05.21 07:25	2018.05.21 07:30	130.694	130.695	130.453	130.517	130.581	130.644	130.708
66	2018.05.21 07:30	2018.05.21 07:35	130.695	130.709	130.463	130.527	130.591	130.655	130.720
67	2018.05.21 07:45	2018.05.21 07:50	130.708	130.726	130.498	130.559	130.621	130.683	130.745
68	2018.05.21 08:20	2018.05.21 08:25	130.706	130.715	130.594	130.635	130.675	130.716	130.757
69	2018.05.21 08:25	2018.05.21 08:30	130.715	130.730	130.608	130.645	130.682	130.718	130.755
70	2018.05.21 08:30	2018.05.21 08:35	130.730	130.757	130.620	130.654	130.688	130.722	130.755
71	2018.05.21 08:35	2018.05.21 08:40	130.757	130.799	130.633	130.664	130.695	130.727	130.758
72	2018.05.21 08:40	2018.05.21 08:45	130.799	130.815	130.633	130.668	130.704	130.739	130.775
73	2018.05.21 09:15	2018.05.21 09:20	130.729	130.731	130.660	130.697	130.735	130.772	130.810
74	2018.05.21 10:25	2018.05.21 10:30	130.546	130.575	130.484	130.573	130.661	130.749	130.837
75	2018.05.21 10:30	2018.05.21 10:35	130.575	130.580	130.483	130.566	130.649	130.732	130.815
76	2018.05.21 10:45	2018.05.21 10:50	130.553	130.565	130.472	130.546	130.619	130.693	130.767
77	2018.05.21 10:50	2018.05.21 10:55	130.565	130.572	130.469	130.540	130.612	130.684	130.756
78	2018.05.21 11:05	2018.05.21 11:10	130.524	130.536	130.470	130.527	130.584	130.641	130.697
79	2018.05.21 11:10	2018.05.21 11:15	130.536	130.612	130.478	130.526	130.575	130.623	130.672
80	2018.05.21 11:15	2018.05.21 11:20	130.612	130.653	130.481	130.527	130.572	130.618	130.664
81	2018.05.21 11:20	2018.05.21 11:25	130.653	130.766	130.484	130.528	130.571	130.615	130.659
82	2018.05.21 11:45	2018.05.21 11:50	130.672	130.676	130.454	130.525	130.596	130.667	130.738
83	2018.05.21 11:50	2018.05.21 11:55	130.676	130.690	130.459	130.531	130.603	130.675	130.746
84	2018.05.21 12:05	2018.05.21 12:10	130.681	130.691	130.479	130.551	130.623	130.695	130.767
85	2018.05.21 12:40	2018.05.21 12:45	130.637	130.650	130.530	130.589	130.648	130.707	130.766
86	2018.05.21 12:55	2018.05.21 13:00	130.715	130.725	130.573	130.618	130.664	130.709	130.754
87	2018.05.21 13:20	2018.05.21 13:25	130.745	130.766	130.580	130.625	130.670	130.715	130.761
88	2018.05.21 13:25	2018.05.21 13:30	130.766	130.796	130.575	130.625	130.675	130.725	130.774
89	2018.05.21 13:40	2018.05.21 13:45	130.870	130.866	130.550	130.623	130.696	130.769	130.842
90	2018.05.21 14:20	2018.05.21 14:25	130.800	130.827	130.634	130.700	130.765	130.830	130.896
91	2018.05.21 14:25	2018.05.21 14:30	130.827	130.834	130.652	130.713	130.774	130.835	130.896
92	2018.05.21 14:40	2018.05.21 14:45	130.844	130.851	130.698	130.746	130.794	130.843	130.891
93	2018.05.21 14:55	2018.05.21 15:00	130.839	130.861	130.738	130.775	130.811	130.848	130.884
94	2018.05.21 15:35	2018.05.21 15:40	130.950	130.974	130.745	130.789	130.832	130.876	130.919
95	2018.05.21 15:40	2018.05.21 15:45	130.974	130.988	130.736	130.789	130.841	130.894	130.946
96	2018.05.21 16:05	2018.05.21 16:10	130.899	130.908	130.761	130.819	130.878	130.937	130.995
97	2018.05.21 16:10	2018.05.21 16:15	130.908	130.926	130.766	130.824	130.882	130.940	130.998
98	2018.05.21 16:15	2018.05.21 16:20	130.926	130.930	130.777	130.832	130.888	130.944	130.999
99	2018.05.21 17:55	2018.05.21 18:00	130.681	130.747	130.561	130.668	130.775	130.882	130.989
100	2018.05.21 18:00	2018.05.21 18:05	130.747	130.767	130.563	130.664	130.765	130.866	130.967
101	2018.05.21 18:05	2018.05.21 18:10	130.767	130.772	130.566	130.663	130.759	130.855	130.951
102	2018.05.21 18:10	2018.05.21 18:15	130.772	130.776	130.576	130.663	130.751	130.838	130.926
103	2018.05.21 18:50	2018.05.21 18:55	130.709	130.731	130.580	130.638	130.696	130.754	130.812
104	2018.05.21 19:05	2018.05.21 19:10	130.754	130.800	130.591	130.643	130.695	130.747	130.799
105	2018.05.21 20:05	2018.05.21 20:10	130.668	130.719	130.628	130.666	130.704	130.742	130.779
106	2018.05.21 20:10	2018.05.21 20:15	130.719	130.741	130.636	130.671	130.707	130.743	130.779
107	2018.05.21 20:25	2018.05.21 20:30	130.749	130.776	130.652	130.685	130.719	130.752	130.785
108	2018.05.21 21:15	2018.05.21 21:20	130.769	130.802	130.659	130.695	130.731	130.766	130.802
109	2018.05.21 21:35	2018.05.21 21:40	130.783	130.809	130.678	130.714	130.749	130.784	130.819
110	2018.05.21 22:05	2018.05.21 22:10	130.787	130.806	130.731	130.753	130.774	130.796	130.817
111	2018.05.21 22:45	2018.05.21 22:50	130.843	130.881	130.752	130.771	130.790	130.809	130.828
112	2018.05.21 23:05	2018.05.21 23:10	130.876	130.900	130.739	130.774	130.808	130.842	130.877
113	2018.05.21 23:10	2018.05.21 23:15	130.900	130.907	130.737	130.775	130.814	130.853	130.892
114	2018.05.21 23:35	2018.05.21 23:40	130.885	130.887	130.738	130.788	130.838	130.888	130.938
