[20190327_172317 / views.py:12018]==============================
fname_Src_CSV	44_5.1_10_rawdata.(EURJPY).(Period-M5).(NumOfUnits-8000).(Bars-ALL-20190326_110835).20190307_094255.csv
slice by	through
this file	(20190327_172311).(EURJPY-M5).[sec-1.A-5.BB-diff-histogram.UU-UD-DU-DD].csv 
pair	EURJPY
timeframe	M5
start	2018.05.18 04:55
end	2019.03.26 05:00
total bars	58414

[20190327_172317 / views.py:12036]
[20190327_172317 / views.py:11765]==============================
average	0.084
max	0.626
min	-0.114
variance	0.0052895
std	0.07273
median	0.067

[20190327_172317 / views.py:11787]
[BB-diff-histogram : lo_UU_Z1]==============================
s.n.	e0.dateTime	diff-total	std score
1	2018.05.21 00:15	0.052	45.61
2	2018.05.21 06:00	0.071	48.22
3	2018.05.21 06:30	0.075	48.77
4	2018.05.21 08:40	0.058	46.43
5	2018.05.21 13:40	0.078	49.18
6	2018.05.21 15:35	0.100	52.21
7	2018.05.21 15:40	0.037	43.55
8	2018.05.21 22:45	0.090	50.83
9	2018.05.21 23:10	0.031	42.72
10	2018.05.22 08:55	0.102	52.48
11	2018.05.22 10:10	0.199	65.82
12	2018.05.22 10:15	0.088	50.56
13	2018.05.22 10:20	0.139	57.57
14	2018.05.23 19:40	0.090	50.83
15	2018.05.24 02:00	0.055	46.02
16	2018.05.24 02:05	0.074	48.63
17	2018.05.24 02:10	0.058	46.43
18	2018.05.24 09:35	0.184	63.76
19	2018.05.24 09:40	0.192	64.86
20	2018.05.24 15:30	0.138	57.43
21	2018.05.24 15:35	0.088	50.56
22	2018.05.24 20:10	0.080	49.46
23	2018.05.25 02:20	0.044	44.51
24	2018.05.25 03:05	0.214	67.88
25	2018.05.25 03:10	0.158	60.18
26	2018.05.25 11:25	0.270	75.58
27	2018.05.25 11:50	0.165	61.15
28	2018.05.25 22:35	0.027	42.17
29	2018.05.25 23:00	0.058	46.43
30	2018.05.25 23:25	0.048	45.06
31	2018.05.28 00:25	0.122	55.23
32	2018.05.28 03:05	0.191	64.72
33	2018.05.28 03:20	0.040	43.96
34	2018.05.28 08:15	0.068	47.81
35	2018.05.28 08:20	0.021	41.35
36	2018.05.28 08:25	0.023	41.62
37	2018.05.28 08:45	0.132	56.61
38	2018.05.28 08:50	0.031	42.72
39	2018.05.28 17:15	0.136	57.16
40	2018.05.28 19:05	0.057	46.30
41	2018.05.29 06:40	0.133	56.75
42	2018.05.29 12:55	0.484	105.01
43	2018.05.29 14:55	0.080	49.46
44	2018.05.30 04:25	0.217	68.30
45	2018.05.30 04:30	0.245	72.15
46	2018.05.30 08:50	0.411	94.97
47	2018.05.30 08:55	0.101	52.35
48	2018.05.30 09:00	0.148	58.81
49	2018.05.30 09:15	0.153	59.50
50	2018.05.30 09:20	0.146	58.53
51	2018.05.30 10:55	0.192	64.86
52	2018.05.30 14:05	0.145	58.40
53	2018.05.30 18:25	0.533	111.75
54	2018.05.30 18:50	0.197	65.55
55	2018.05.31 06:05	0.096	51.66
56	2018.05.31 06:10	0.102	52.48
57	2018.05.31 06:15	0.101	52.35
58	2018.05.31 08:35	0.242	71.73
59	2018.05.31 10:40	0.191	64.72
60	2018.05.31 10:45	0.161	60.60
61	2018.05.31 14:35	0.035	43.27
62	2018.05.31 18:35	0.393	92.50
63	2018.05.31 22:45	0.096	51.66
64	2018.06.01 03:40	0.068	47.81
65	2018.06.01 03:45	0.046	44.78
66	2018.06.01 04:00	0.131	56.47
67	2018.06.01 09:35	0.170	61.83
68	2018.06.01 12:50	0.234	70.63
69	2018.06.01 12:55	0.238	71.18
70	2018.06.01 13:10	0.024	41.76
71	2018.06.01 16:05	0.131	56.47
72	2018.06.04 02:45	0.110	53.58
73	2018.06.04 02:50	0.091	50.97
74	2018.06.04 02:55	0.160	60.46
75	2018.06.04 08:20	0.110	53.58
76	2018.06.04 12:20	0.152	59.36
77	2018.06.04 16:55	0.024	41.76
78	2018.06.04 22:40	0.043	44.37
79	2018.06.04 22:45	0.032	42.86
