[20190327_172320 / views.py:13670]
fname_Src_CSV	44_5.1_10_rawdata.(EURJPY).(Period-M5).(NumOfUnits-8000).(Bars-ALL-20190326_110835).20190307_094255.csv
slice by	through
this file	(20190327_172311).(EURJPY-M5).[sec-1.A-6.3-seq].(20190327_172320).csv
pair	EURJPY
timeframe	M5
start	2018.05.18 04:55
end	2019.03.26 05:00
bars	58414

[20190327_172320 / views.py:13739]
[lo_UUU]==============================
s.n.	e0.date	e1.date	e2.date	e0.diff	e1.diff	e2.diff
1	2018.05.18 04:55	2018.05.18 05:00	2018.05.18 05:05	0.008	0.016	0.004
2	2018.05.18 05:15	2018.05.18 05:20	2018.05.18 05:25	0.009	0.005	0.015
3	2018.05.18 07:45	2018.05.18 07:50	2018.05.18 07:55	0.032	0.001	0.007
4	2018.05.18 07:50	2018.05.18 07:55	2018.05.18 08:00	0.001	0.007	0.012
5	2018.05.18 10:50	2018.05.18 10:55	2018.05.18 11:00	0.041	0.012	0.036
6	2018.05.18 13:00	2018.05.18 13:05	2018.05.18 13:10	0.035	0.005	0.060
7	2018.05.18 13:05	2018.05.18 13:10	2018.05.18 13:15	0.005	0.060	0.031
8	2018.05.18 15:50	2018.05.18 15:55	2018.05.18 16:00	0.044	0.014	0.024
9	2018.05.18 17:05	2018.05.18 17:10	2018.05.18 17:15	0.042	0.051	0.044
10	2018.05.18 17:10	2018.05.18 17:15	2018.05.18 17:20	0.051	0.044	0.031
11	2018.05.18 18:50	2018.05.18 18:55	2018.05.18 19:00	0.015	0.014	0.015
12	2018.05.18 18:55	2018.05.18 19:00	2018.05.18 19:05	0.014	0.015	0.052
13	2018.05.18 19:00	2018.05.18 19:05	2018.05.18 19:10	0.015	0.052	0.000
14	2018.05.18 20:50	2018.05.18 20:55	2018.05.18 21:00	0.007	0.011	0.018
15	2018.05.18 21:10	2018.05.18 21:15	2018.05.18 21:20	0.011	0.002	0.003
16	2018.05.18 21:35	2018.05.18 21:40	2018.05.18 21:45	0.005	0.020	0.005
17	2018.05.18 23:10	2018.05.18 23:15	2018.05.18 23:20	0.018	0.018	0.005
18	2018.05.18 23:15	2018.05.18 23:20	2018.05.18 23:25	0.018	0.005	0.031
19	2018.05.18 23:40	2018.05.18 23:45	2018.05.18 23:50	0.014	0.042	0.025
20	2018.05.18 23:45	2018.05.18 23:50	2018.05.21 00:05	0.042	0.025	0.030
21	2018.05.21 02:50	2018.05.21 02:55	2018.05.21 03:00	0.024	0.007	0.031
22	2018.05.21 04:10	2018.05.21 04:15	2018.05.21 04:20	0.034	0.006	0.021
23	2018.05.21 04:15	2018.05.21 04:20	2018.05.21 04:25	0.006	0.021	0.001
24	2018.05.21 04:20	2018.05.21 04:25	2018.05.21 04:30	0.021	0.001	0.011
25	2018.05.21 06:15	2018.05.21 06:20	2018.05.21 06:25	0.004	0.010	0.002
26	2018.05.21 06:20	2018.05.21 06:25	2018.05.21 06:30	0.010	0.002	0.028
27	2018.05.21 06:25	2018.05.21 06:30	2018.05.21 06:35	0.002	0.028	0.047
28	2018.05.21 07:20	2018.05.21 07:25	2018.05.21 07:30	0.019	0.023	0.002
29	2018.05.21 07:25	2018.05.21 07:30	2018.05.21 07:35	0.023	0.002	0.013
30	2018.05.21 08:20	2018.05.21 08:25	2018.05.21 08:30	0.008	0.009	0.013
31	2018.05.21 08:25	2018.05.21 08:30	2018.05.21 08:35	0.009	0.013	0.027
32	2018.05.21 08:30	2018.05.21 08:35	2018.05.21 08:40	0.013	0.027	0.042
33	2018.05.21 08:35	2018.05.21 08:40	2018.05.21 08:45	0.027	0.042	0.015
34	2018.05.21 10:25	2018.05.21 10:30	2018.05.21 10:35	0.010	0.028	0.006
35	2018.05.21 10:45	2018.05.21 10:50	2018.05.21 10:55	0.006	0.012	0.007
36	2018.05.21 11:05	2018.05.21 11:10	2018.05.21 11:15	0.004	0.012	0.077
37	2018.05.21 11:10	2018.05.21 11:15	2018.05.21 11:20	0.012	0.077	0.042
38	2018.05.21 11:15	2018.05.21 11:20	2018.05.21 11:25	0.077	0.042	0.112
39	2018.05.21 11:45	2018.05.21 11:50	2018.05.21 11:55	0.018	0.003	0.014
40	2018.05.21 13:20	2018.05.21 13:25	2018.05.21 13:30	0.032	0.020	0.028
41	2018.05.21 14:20	2018.05.21 14:25	2018.05.21 14:30	0.038	0.027	0.008
42	2018.05.21 15:35	2018.05.21 15:40	2018.05.21 15:45	0.076	0.023	0.013
43	2018.05.21 15:40	2018.05.21 15:45	2018.05.21 15:50	0.023	0.013	0.000
44	2018.05.21 16:05	2018.05.21 16:10	2018.05.21 16:15	0.031	0.012	0.019
45	2018.05.21 16:10	2018.05.21 16:15	2018.05.21 16:20	0.012	0.019	0.004
46	2018.05.21 17:55	2018.05.21 18:00	2018.05.21 18:05	0.084	0.069	0.020
47	2018.05.21 18:00	2018.05.21 18:05	2018.05.21 18:10	0.069	0.020	0.005
48	2018.05.21 18:05	2018.05.21 18:10	2018.05.21 18:15	0.020	0.005	0.004
49	2018.05.21 20:05	2018.05.21 20:10	2018.05.21 20:15	0.017	0.050	0.021
50	2018.05.21 20:10	2018.05.21 20:15	2018.05.21 20:20	0.050	0.021	0.000
51	2018.05.21 20:15	2018.05.21 20:20	2018.05.21 20:25	0.021	0.000	0.008
52	2018.05.21 20:20	2018.05.21 20:25	2018.05.21 20:30	0.000	0.008	0.027
53	2018.05.21 23:05	2018.05.21 23:10	2018.05.21 23:15	0.023	0.024	0.006
54	2018.05.21 23:35	2018.05.21 23:40	2018.05.21 23:45	0.014	0.008	0.003
55	2018.05.21 23:40	2018.05.21 23:45	2018.05.21 23:50	0.008	0.003	0.021
56	2018.05.21 23:45	2018.05.21 23:50	2018.05.21 23:55	0.003	0.021	0.008
57	2018.05.21 23:50	2018.05.21 23:55	2018.05.22 00:05	0.021	0.008	0.038
58	2018.05.22 01:15	2018.05.22 01:20	2018.05.22 01:25	0.020	0.007	0.013
59	2018.05.22 03:10	2018.05.22 03:15	2018.05.22 03:20	0.002	0.003	0.010
60	2018.05.22 03:15	2018.05.22 03:20	2018.05.22 03:25	0.003	0.010	0.005
61	2018.05.22 03:20	2018.05.22 03:25	2018.05.22 03:30	0.010	0.005	0.016
62	2018.05.22 03:40	2018.05.22 03:45	2018.05.22 03:50	0.005	0.010	0.025
63	2018.05.22 05:00	2018.05.22 05:05	2018.05.22 05:10	0.005	0.005	0.028
64	2018.05.22 05:05	2018.05.22 05:10	2018.05.22 05:15	0.005	0.028	0.036
65	2018.05.22 05:10	2018.05.22 05:15	2018.05.22 05:20	0.028	0.036	0.008
66	2018.05.22 06:00	2018.05.22 06:05	2018.05.22 06:10	0.010	0.001	0.002
