[20190316_175841 / views.py:11583]
fname_Src_CSV	44_5.1_10_rawdata.(EURUSD).(Period-D1).(NumOfUnits-2000).(Bars-ALL-20190308_092934).20190308_092826.csv
slice by	through
this file	(20190316_175840).(EURUSD-D1).[sec-1.A-5.BB-diff-histogram.UU-UD-DU-DD].csv 
pair	EURUSD
timeframe	D1
start	2012.06.30 00:00
end	2019.03.08 00:00
total bars	2000

[20190316_175841 / views.py:11601]
[BB-diff-histogram : lo_UU_Z1]==============================
s.n.	e0.dateTime	diff-total
1	2012.09.07 00:00	0.018
2	2012.09.11 00:00	0.010
3	2012.09.12 00:00	0.006
4	2012.11.23 00:00	0.010
5	2012.12.15 00:00	0.009
6	2012.12.17 00:00	0.001
7	2013.02.01 00:00	0.007
8	2013.04.30 00:00	0.009
9	2013.06.06 00:00	0.013
10	2013.06.07 00:00	0.003
11	2013.10.17 00:00	0.020
12	2013.10.22 00:00	0.011
13	2013.10.23 00:00	0.003
14	2013.12.06 00:00	0.007
15	2013.12.07 00:00	0.005
16	2013.12.09 00:00	0.007
17	2013.12.10 00:00	0.006
18	2014.03.06 00:00	0.014
19	2014.03.07 00:00	0.003
20	2015.04.29 00:00	0.022
21	2015.04.30 00:00	0.007
22	2015.08.21 00:00	0.019
23	2015.08.22 00:00	0.026
24	2015.12.03 00:00	0.036
25	2016.02.03 00:00	0.028
26	2016.05.02 00:00	0.005
27	2017.03.16 00:00	0.012
28	2017.03.21 00:00	0.006
29	2017.05.16 00:00	0.017
30	2017.05.19 00:00	0.008
31	2017.05.20 00:00	0.005
32	2017.06.27 00:00	0.019
33	2017.06.28 00:00	0.010
34	2017.07.20 00:00	0.015
35	2017.08.25 00:00	0.018
36	2017.12.28 00:00	0.010
37	2017.12.29 00:00	0.012
38	2018.01.12 00:00	0.023
