[20190316_183123 / views.py:12036]
fname_Src_CSV	44_5.1_10_rawdata.(EURUSD).(Period-D1).(NumOfUnits-2000).(Bars-ALL-20190308_092934).20190308_092826.csv
slice by	through
this file	no-44.[ups-downs-in_BB].[v-1.0].(EURUSD-D1).(20190316_183122).csv
pair	EURUSD
timeframe	D1
start	2012.06.30 00:00
end	2019.03.08 00:00
bars	2000



[20190316_183123 / views.py:12055]


[lo_UU]==============================
s.n.	e0.dateTime	e1.dateTime	e0.CP	e1.CP	e0.BB_M2S	e0.BB_M1S	e0.BB_Main	e0.BB_1S	e0.BB_2S
1	2012.07.13 00:00	2012.07.14 00:00	1.22440	1.22482	1.21368	1.22885	1.24402	1.25919	1.27436
2	2012.07.25 00:00	2012.07.26 00:00	1.21227	1.23000	1.20151	1.21375	1.22599	1.23823	1.25047
3	2012.07.26 00:00	2012.07.27 00:00	1.23000	1.23686	1.20566	1.21506	1.22446	1.23386	1.24326
4	2012.08.03 00:00	2012.08.04 00:00	1.23390	1.23863	1.20771	1.21545	1.22320	1.23094	1.23868
5	2012.08.04 00:00	2012.08.06 00:00	1.23863	1.24141	1.20752	1.21586	1.22421	1.23256	1.24090
6	2012.08.06 00:00	2012.08.07 00:00	1.24141	1.24187	1.20676	1.21591	1.22506	1.23421	1.24336
7	2012.08.27 00:00	2012.08.28 00:00	1.25161	1.25662	1.22159	1.23042	1.23924	1.24807	1.25689
8	2012.09.05 00:00	2012.09.06 00:00	1.26032	1.26330	1.22605	1.23685	1.24765	1.25844	1.26924
9	2012.09.06 00:00	2012.09.07 00:00	1.26330	1.28023	1.22776	1.23848	1.24919	1.25991	1.27062
10	2012.09.07 00:00	2012.09.08 00:00	1.28023	1.28153	1.22861	1.24020	1.25179	1.26338	1.27497
11	2012.09.11 00:00	2012.09.12 00:00	1.28450	1.28890	1.23373	1.24640	1.25907	1.27174	1.28441
12	2012.09.12 00:00	2012.09.13 00:00	1.28890	1.29065	1.23600	1.24890	1.26181	1.27471	1.28761
13	2012.09.13 00:00	2012.09.14 00:00	1.29065	1.31480	1.23608	1.25001	1.26394	1.27787	1.29180
14	2012.09.27 00:00	2012.09.28 00:00	1.28614	1.28628	1.26211	1.27682	1.29153	1.30624	1.32095
15	2012.10.01 00:00	2012.10.02 00:00	1.29046	1.29352	1.27282	1.28362	1.29442	1.30523	1.31603
16	2012.10.04 00:00	2012.10.05 00:00	1.30062	1.30599	1.27747	1.28694	1.29641	1.30588	1.31535
17	2012.10.10 00:00	2012.10.11 00:00	1.29013	1.29432	1.28081	1.28773	1.29465	1.30157	1.30849
18	2012.10.11 00:00	2012.10.12 00:00	1.29432	1.29679	1.28118	1.28763	1.29409	1.30054	1.30699
19	2012.10.16 00:00	2012.10.17 00:00	1.30240	1.31210	1.28152	1.28757	1.29362	1.29967	1.30572
20	2012.10.30 00:00	2012.10.31 00:00	1.29619	1.29707	1.28554	1.29168	1.29782	1.30396	1.31011
21	2012.11.14 00:00	2012.11.15 00:00	1.27409	1.27784	1.26401	1.27431	1.28460	1.29489	1.30519
22	2012.11.17 00:00	2012.11.19 00:00	1.27410	1.27842	1.26251	1.27195	1.28139	1.29083	1.30026
23	2012.11.19 00:00	2012.11.20 00:00	1.27842	1.28031	1.26253	1.27159	1.28065	1.28971	1.29878
24	2012.11.20 00:00	2012.11.21 00:00	1.28031	1.28243	1.26290	1.27144	1.27998	1.28852	1.29706
25	2012.11.21 00:00	2012.11.22 00:00	1.28243	1.28801	1.26314	1.27135	1.27957	1.28779	1.29601
26	2012.11.22 00:00	2012.11.23 00:00	1.28801	1.29430	1.26405	1.27161	1.27916	1.28672	1.29428
27	2012.11.23 00:00	2012.11.24 00:00	1.29430	1.29759	1.26453	1.27178	1.27903	1.28627	1.29352
28	2012.12.03 00:00	2012.12.04 00:00	1.30443	1.30880	1.26301	1.27439	1.28577	1.29715	1.30853
29	2012.12.08 00:00	2012.12.10 00:00	1.29243	1.29377	1.27205	1.28227	1.29249	1.30271	1.31293
30	2012.12.10 00:00	2012.12.11 00:00	1.29377	1.29991	1.27513	1.28433	1.29353	1.30273	1.31193
31	2012.12.11 00:00	2012.12.12 00:00	1.29991	1.30343	1.27855	1.28668	1.29482	1.30295	1.31108
32	2012.12.12 00:00	2012.12.13 00:00	1.30343	1.30742	1.28126	1.28866	1.29607	1.30347	1.31088
33	2012.12.13 00:00	2012.12.14 00:00	1.30742	1.30869	1.28371	1.29057	1.29742	1.30428	1.31114
34	2012.12.14 00:00	2012.12.15 00:00	1.30869	1.31605	1.28602	1.29238	1.29874	1.30509	1.31145
35	2012.12.15 00:00	2012.12.17 00:00	1.31605	1.31725	1.28633	1.29323	1.30014	1.30704	1.31395
36	2012.12.17 00:00	2012.12.18 00:00	1.31725	1.31782	1.28588	1.29359	1.30129	1.30899	1.31669
37	2012.12.18 00:00	2012.12.19 00:00	1.31782	1.32852	1.28541	1.29386	1.30230	1.31074	1.31918
38	2012.12.22 00:00	2012.12.24 00:00	1.31821	1.32150	1.28627	1.29705	1.30784	1.31862	1.32940
39	2012.12.26 00:00	2012.12.27 00:00	1.32488	1.32678	1.28840	1.29969	1.31097	1.32225	1.33354
40	2013.01.10 00:00	2013.01.11 00:00	1.31881	1.33405	1.30221	1.30994	1.31768	1.32541	1.33314
41	2013.01.11 00:00	2013.01.12 00:00	1.33405	1.33442	1.30155	1.30975	1.31795	1.32615	1.33435
42	2013.01.22 00:00	2013.01.23 00:00	1.33143	1.33354	1.29993	1.31124	1.32256	1.33387	1.34519
43	2013.01.23 00:00	2013.01.24 00:00	1.33354	1.33427	1.30002	1.31158	1.32314	1.33470	1.34627
44	2013.01.24 00:00	2013.01.25 00:00	1.33427	1.34734	1.30042	1.31217	1.32393	1.33569	1.34744
45	2013.01.28 00:00	2013.01.29 00:00	1.34676	1.34834	1.30317	1.31599	1.32882	1.34164	1.35447
46	2013.01.29 00:00	2013.01.30 00:00	1.34834	1.35495	1.30598	1.31844	1.33089	1.34335	1.35581
47	2013.01.30 00:00	2013.01.31 00:00	1.35495	1.35734	1.30921	1.32128	1.33336	1.34544	1.35752
48	2013.01.31 00:00	2013.02.01 00:00	1.35734	1.35968	1.31234	1.32408	1.33581	1.34754	1.35927
49	2013.02.01 00:00	2013.02.02 00:00	1.35968	1.36407	1.31759	1.32808	1.33856	1.34904	1.35953
50	2013.02.11 00:00	2013.02.12 00:00	1.33656	1.34181	1.32456	1.33486	1.34515	1.35544	1.36574
51	2013.02.12 00:00	2013.02.13 00:00	1.34181	1.34792	1.32600	1.33584	1.34567	1.35551	1.36534
52	2013.02.15 00:00	2013.02.16 00:00	1.33486	1.33613	1.32884	1.33778	1.34672	1.35567	1.36461
53	2013.02.19 00:00	2013.02.20 00:00	1.33653	1.33711	1.32678	1.33626	1.34573	1.35520	1.36467
54	2013.02.23 00:00	2013.02.25 00:00	1.31839	1.32862	1.31419	1.32704	1.33989	1.35274	1.36559
55	2013.03.09 00:00	2013.03.11 00:00	1.29972	1.30042	1.28713	1.30120	1.31528	1.32935	1.34342
56	2013.03.11 00:00	2013.03.12 00:00	1.30042	1.30425	1.28621	1.29988	1.31356	1.32723	1.34090
57	2013.03.14 00:00	2013.03.15 00:00	1.29585	1.30576	1.28589	1.29690	1.30791	1.31892	1.32993
58	2013.03.15 00:00	2013.03.16 00:00	1.30576	1.30740	1.28886	1.29760	1.30634	1.31508	1.32382
59	2013.03.16 00:00	2013.03.18 00:00	1.30740	1.29518	1.28932	1.29753	1.30573	1.31394	1.32214
60	2013.03.22 00:00	2013.03.23 00:00	1.29770	1.29904	1.28948	1.29484	1.30020	1.30557	1.31093
61	2013.04.03 00:00	2013.04.04 00:00	1.28476	1.28537	1.27465	1.28309	1.29152	1.29996	1.30840
62	2013.04.04 00:00	2013.04.05 00:00	1.28537	1.30226	1.27457	1.28257	1.29058	1.29859	1.30659
63	2013.04.08 00:00	2013.04.09 00:00	1.30173	1.30583	1.27450	1.28276	1.29102	1.29928	1.30754
64	2013.04.09 00:00	2013.04.10 00:00	1.30583	1.30851	1.27472	1.28283	1.29094	1.29905	1.30716
65	2013.04.10 00:00	2013.04.11 00:00	1.30851	1.31262	1.27374	1.28267	1.29161	1.30055	1.30948
66	2013.04.25 00:00	2013.04.26 00:00	1.30053	1.30265	1.28888	1.29627	1.30366	1.31105	1.31843
67	2013.04.26 00:00	2013.04.27 00:00	1.30265	1.30281	1.29256	1.29856	1.30455	1.31055	1.31655
68	2013.04.27 00:00	2013.04.29 00:00	1.30281	1.31003	1.29719	1.30131	1.30543	1.30954	1.31366
69	2013.04.29 00:00	2013.04.30 00:00	1.31003	1.31849	1.29748	1.30165	1.30581	1.30998	1.31415
70	2013.04.30 00:00	2013.05.01 00:00	1.31849	1.31927	1.29712	1.30192	1.30672	1.31152	1.31632
71	2013.05.03 00:00	2013.05.04 00:00	1.31242	1.31181	1.29693	1.30239	1.30785	1.31331	1.31877
72	2013.05.07 00:00	2013.05.08 00:00	1.30850	1.31734	1.29673	1.30211	1.30749	1.31286	1.31824
73	2013.05.11 00:00	2013.05.13 00:00	1.29883	1.29840	1.29417	1.30056	1.30694	1.31332	1.31970
74	2013.05.18 00:00	2013.05.20 00:00	1.28346	1.28551	1.28135	1.29220	1.30305	1.31390	1.32475
75	2013.05.20 00:00	2013.05.21 00:00	1.28551	1.28724	1.27918	1.29069	1.30219	1.31370	1.32520
76	2013.05.21 00:00	2013.05.22 00:00	1.28724	1.28760	1.27751	1.28946	1.30141	1.31337	1.32532
77	2013.05.22 00:00	2013.05.23 00:00	1.28760	1.29015	1.27600	1.28815	1.30029	1.31244	1.32458
78	2013.05.23 00:00	2013.05.24 00:00	1.29015	1.29316	1.27572	1.28730	1.29888	1.31045	1.32203
79	2013.05.24 00:00	2013.05.25 00:00	1.29316	1.29338	1.27629	1.28693	1.29757	1.30821	1.31885
80	2013.05.25 00:00	2013.05.27 00:00	1.29338	1.29377	1.27599	1.28644	1.29689	1.30734	1.31779
81	2013.05.29 00:00	2013.05.30 00:00	1.29665	1.30542	1.27611	1.28515	1.29419	1.30324	1.31228
82	2013.06.01 00:00	2013.06.03 00:00	1.29951	1.30287	1.28017	1.28632	1.29247	1.29861	1.30476
83	2013.06.03 00:00	2013.06.04 00:00	1.30287	1.30721	1.27979	1.28627	1.29276	1.29924	1.30573
84	2013.06.04 00:00	2013.06.05 00:00	1.30721	1.30858	1.27896	1.28607	1.29317	1.30028	1.30738
85	2013.06.05 00:00	2013.06.06 00:00	1.30858	1.31954	1.27810	1.28589	1.29368	1.30148	1.30927
86	2013.06.06 00:00	2013.06.07 00:00	1.31954	1.32202	1.27557	1.28517	1.29477	1.30436	1.31396
87	2013.06.07 00:00	2013.06.08 00:00	1.32202	1.32220	1.27444	1.28550	1.29656	1.30762	1.31868
88	2013.06.08 00:00	2013.06.10 00:00	1.32220	1.31944	1.27349	1.28579	1.29810	1.31041	1.32271
89	2013.06.10 00:00	2013.06.11 00:00	1.31944	1.32735	1.27480	1.28738	1.29996	1.31254	1.32512
90	2013.06.11 00:00	2013.06.12 00:00	1.32735	1.33369	1.27553	1.28884	1.30215	1.31547	1.32878
91	2013.06.14 00:00	2013.06.15 00:00	1.33391	1.33430	1.27846	1.29374	1.30901	1.32429	1.33956
92	2013.06.15 00:00	2013.06.17 00:00	1.33430	1.33480	1.28007	1.29564	1.31122	1.32680	1.34237
93	2013.06.17 00:00	2013.06.18 00:00	1.33480	1.33934	1.28169	1.29750	1.31330	1.32911	1.34491
94	2013.06.18 00:00	2013.06.19 00:00	1.33934	1.34026	1.28344	1.29952	1.31560	1.33168	1.34776
95	2013.06.29 00:00	2013.07.01 00:00	1.30099	1.30353	1.29279	1.30636	1.31993	1.33350	1.34707
96	2013.07.10 00:00	2013.07.11 00:00	1.28569	1.30415	1.27006	1.28637	1.30268	1.31899	1.33530
97	2013.07.11 00:00	2013.07.12 00:00	1.30415	1.30525	1.27293	1.28693	1.30092	1.31492	1.32891
98	2013.07.12 00:00	2013.07.13 00:00	1.30525	1.30675	1.27760	1.28838	1.29917	1.30996	1.32075
99	2013.07.19 00:00	2013.07.20 00:00	1.31380	1.31390	1.27826	1.28865	1.29903	1.30942	1.31980
100	2013.07.20 00:00	2013.07.22 00:00	1.31390	1.31922	1.27796	1.28884	1.29972	1.31060	1.32148
101	2013.07.22 00:00	2013.07.23 00:00	1.31922	1.32175	1.27733	1.28901	1.30069	1.31237	1.32405
102	2013.07.23 00:00	2013.07.24 00:00	1.32175	1.32354	1.27662	1.28917	1.30173	1.31428	1.32683
103	2013.07.24 00:00	2013.07.25 00:00	1.32354	1.32353	1.27588	1.28930	1.30273	1.31615	1.32957
104	2013.07.25 00:00	2013.07.26 00:00	1.32353	1.32649	1.27539	1.28956	1.30373	1.31790	1.33207
105	2013.07.26 00:00	2013.07.27 00:00	1.32649	1.32789	1.27538	1.29029	1.30520	1.32011	1.33502
106	2013.08.06 00:00	2013.08.07 00:00	1.33088	1.33196	1.30624	1.31362	1.32099	1.32837	1.33574
107	2013.08.07 00:00	2013.08.08 00:00	1.33196	1.33857	1.30892	1.31564	1.32236	1.32908	1.33580
108	2013.08.19 00:00	2013.08.20 00:00	1.33497	1.34265	1.32065	1.32497	1.32929	1.33361	1.33793
109	2013.09.06 00:00	2013.09.07 00:00	1.31578	1.31811	1.30967	1.31919	1.32871	1.33823	1.34775
110	2013.09.07 00:00	2013.09.09 00:00	1.31811	1.32529	1.30882	1.31859	1.32836	1.33813	1.34790
111	2013.09.09 00:00	2013.09.10 00:00	1.32529	1.32653	1.30851	1.31824	1.32797	1.33770	1.34743
112	2013.09.10 00:00	2013.09.11 00:00	1.32653	1.33011	1.30832	1.31799	1.32766	1.33734	1.34701
113	2013.09.11 00:00	2013.09.12 00:00	1.33011	1.33085	1.30833	1.31787	1.32742	1.33697	1.34651
114	2013.09.24 00:00	2013.09.25 00:00	1.34938	1.35067	1.30520	1.31833	1.33145	1.34458	1.35771
115	2013.10.02 00:00	2013.10.03 00:00	1.35906	1.36216	1.32203	1.33286	1.34369	1.35452	1.36535
116	2013.10.07 00:00	2013.10.08 00:00	1.35712	1.35965	1.33202	1.34087	1.34973	1.35859	1.36744
117	2013.10.10 00:00	2013.10.11 00:00	1.35227	1.35618	1.34168	1.34730	1.35293	1.35856	1.36418
118	2013.10.17 00:00	2013.10.18 00:00	1.36639	1.36951	1.34597	1.35055	1.35513	1.35971	1.36429
