[20190317_103054 / views.py:11855]==============================
fname_Src_CSV	44_5.1_10_rawdata.(EURUSD).(Period-H1).(NumOfUnits-6000).(Bars-ALL-20190308_092423).20190308_092230.csv
slice by	through
this file	(20190317_103053).(EURUSD-H1).[sec-1.A-5.BB-diff-histogram.UU-UD-DU-DD].csv 
pair	EURUSD
timeframe	H1
start	2018.03.19 07:00
end	2019.03.08 02:00
total bars	6000

[20190317_103054 / views.py:11873]
[20190317_103054 / views.py:11613]==============================
average	0.00233
max	0.00896
min	0.00047
variance	0.000001847
std	0.0013590
median	0.00203

[20190317_103054 / views.py:11635]
[BB-diff-histogram : lo_UU_Z1]==============================
s.n.	e0.dateTime	diff-total
1	2018.03.19 15:00	0.00285
2	2018.03.19 16:00	0.00209
3	2018.03.19 17:00	0.00138
4	2018.03.19 18:00	0.00097
5	2018.03.19 19:00	0.00201
6	2018.03.19 20:00	0.00252
7	2018.03.21 21:00	0.00676
8	2018.03.23 18:00	0.00250
9	2018.03.26 11:00	0.00230
10	2018.03.26 16:00	0.00415
11	2018.04.06 18:00	0.00137
12	2018.04.06 19:00	0.00080
13	2018.04.06 20:00	0.00095
14	2018.04.09 15:00	0.00399
15	2018.04.11 09:00	0.00118
16	2018.04.16 10:00	0.00374
17	2018.04.16 14:00	0.00167
18	2018.04.16 15:00	0.00198
19	2018.04.17 09:00	0.00136
20	2018.04.24 18:00	0.00257
21	2018.04.24 19:00	0.00143
22	2018.05.11 15:00	0.00261
23	2018.05.14 10:00	0.00287
24	2018.05.18 08:00	0.00114
25	2018.05.21 22:00	0.00192
26	2018.05.21 23:00	0.00073
27	2018.05.24 10:00	0.00204
28	2018.05.30 09:00	0.00486
29	2018.05.30 10:00	0.00260
30	2018.05.30 11:00	0.00125
31	2018.05.30 12:00	0.00170
32	2018.05.30 13:00	0.00215
33	2018.05.31 10:00	0.00355
34	2018.06.01 12:00	0.00279
35	2018.06.04 11:00	0.00330
36	2018.06.07 08:00	0.00166
37	2018.06.07 09:00	0.00225
38	2018.06.13 17:00	0.00149
39	2018.06.13 18:00	0.00187
40	2018.06.22 10:00	0.00333
41	2018.07.05 08:00	0.00402
42	2018.07.05 14:00	0.00278
43	2018.07.06 15:00	0.00439
44	2018.07.16 12:00	0.00197
45	2018.07.20 15:00	0.00522
46	2018.07.30 10:00	0.00208
47	2018.07.30 11:00	0.00163
48	2018.07.30 15:00	0.00286
49	2018.07.30 16:00	0.00157
50	2018.07.30 17:00	0.00073
51	2018.07.31 13:00	0.00123
