[20190318_095811 / views.py:11895]==============================
fname_Src_CSV	44_5.1_10_rawdata.(USDJPY).(Period-D1).(NumOfUnits-2000).(Bars-ALL-20190318_092701).20190318_092307.csv
slice by	through
this file	(20190318_095810).(USDJPY-D1).[sec-1.A-5.BB-diff-histogram.UU-UD-DU-DD].csv 
pair	USDJPY
timeframe	D1
start	2012.06.01 00:00
end	2019.03.18 00:00
total bars	2031

[20190318_095811 / views.py:11913]
[20190318_095811 / views.py:11653]==============================
average	0.964
max	3.359
min	0.099
variance	0.3047450
std	0.55204
median	0.825

[20190318_095811 / views.py:11675]
[BB-diff-histogram : lo_UU_Z1]==============================
s.n.	e0.dateTime	diff-total
1	2012.06.21 00:00	1.131
2	2012.08.14 00:00	0.557
3	2012.08.15 00:00	0.465
4	2012.08.16 00:00	0.648
5	2012.08.17 00:00	0.291
6	2012.10.18 00:00	0.650
7	2012.12.12 00:00	1.113
8	2012.12.18 00:00	0.790
9	2013.02.01 00:00	1.558
10	2013.02.02 00:00	0.729
11	2013.02.05 00:00	0.674
12	2013.04.05 00:00	1.149
13	2013.04.06 00:00	1.728
14	2013.04.08 00:00	0.822
15	2013.04.09 00:00	0.613
16	2013.04.10 00:00	0.552
17	2013.09.02 00:00	1.365
18	2013.11.21 00:00	1.186
19	2013.11.22 00:00	0.243
20	2013.12.19 00:00	1.379
21	2014.03.06 00:00	1.022
22	2014.06.03 00:00	0.470
23	2014.07.29 00:00	1.027
24	2014.07.30 00:00	0.689
25	2014.08.20 00:00	0.971
26	2014.08.21 00:00	0.775
27	2014.09.09 00:00	1.299
28	2014.09.10 00:00	0.596
29	2014.09.11 00:00	0.682
30	2014.10.31 00:00	3.359
31	2014.11.01 00:00	1.513
32	2015.02.06 00:00	1.579
33	2015.02.10 00:00	1.563
34	2015.03.09 00:00	0.291
35	2015.05.19 00:00	1.353
36	2015.05.22 00:00	0.391
37	2015.05.26 00:00	2.288
38	2015.05.27 00:00	1.183
39	2015.10.23 00:00	1.101
40	2015.11.06 00:00	1.351
41	2015.11.07 00:00	0.549
42	2015.11.09 00:00	0.099
43	2016.08.30 00:00	1.345
44	2016.10.05 00:00	1.057
45	2016.10.27 00:00	0.954
46	2016.11.14 00:00	1.991
47	2016.11.15 00:00	0.829
48	2016.11.16 00:00	0.673
49	2016.11.18 00:00	1.393
50	2017.09.18 00:00	0.548
51	2017.09.20 00:00	0.926
52	2018.04.23 00:00	1.051
53	2018.04.24 00:00	0.712
54	2018.05.17 00:00	0.404
55	2018.05.18 00:00	0.289
56	2018.07.11 00:00	1.565
57	2018.09.28 00:00	0.601
58	2018.11.06 00:00	0.367
59	2019.02.11 00:00	0.730
60	2019.02.12 00:00	0.630
