[20190325_083512 / views.py:12018]==============================
fname_Src_CSV	44_5.1_10_rawdata.(USDJPY).(Period-D1).(NumOfUnits-2000).(Bars-ALL-20190325_082029).20190318_092307.csv
slice by	through
this file	(20190325_083511).(USDJPY-D1).[sec-1.A-5.BB-diff-histogram.UU-UD-DU-DD].csv 
pair	USDJPY
timeframe	D1
start	2012.06.01 00:00
end	2019.03.25 00:00
total bars	2036

[20190325_083512 / views.py:12036]
[20190325_083512 / views.py:11765]==============================
average	0.964
max	3.359
min	0.099
variance	0.3047450
std	0.55204
median	0.825

[20190325_083512 / views.py:11787]
[BB-diff-histogram : lo_UU_Z1]==============================
s.n.	e0.dateTime	diff-total	std score
1	2012.06.21 00:00	1.131	53.02
2	2012.08.14 00:00	0.557	42.62
3	2012.08.15 00:00	0.465	40.96
4	2012.08.16 00:00	0.648	44.27
5	2012.08.17 00:00	0.291	37.80
6	2012.10.18 00:00	0.650	44.31
7	2012.12.12 00:00	1.113	52.69
8	2012.12.18 00:00	0.790	46.84
9	2013.02.01 00:00	1.558	60.75
10	2013.02.02 00:00	0.729	45.74
11	2013.02.05 00:00	0.674	44.74
12	2013.04.05 00:00	1.149	53.35
13	2013.04.06 00:00	1.728	63.83
14	2013.04.08 00:00	0.822	47.42
15	2013.04.09 00:00	0.613	43.64
16	2013.04.10 00:00	0.552	42.53
17	2013.09.02 00:00	1.365	57.26
18	2013.11.21 00:00	1.186	54.02
19	2013.11.22 00:00	0.243	36.93
20	2013.12.19 00:00	1.379	57.51
21	2014.03.06 00:00	1.022	51.04
22	2014.06.03 00:00	0.470	41.05
23	2014.07.29 00:00	1.027	51.14
24	2014.07.30 00:00	0.689	45.01
25	2014.08.20 00:00	0.971	50.12
26	2014.08.21 00:00	0.775	46.57
27	2014.09.09 00:00	1.299	56.06
28	2014.09.10 00:00	0.596	43.33
29	2014.09.11 00:00	0.682	44.89
30	2014.10.31 00:00	3.359	93.38
31	2014.11.01 00:00	1.513	59.94
32	2015.02.06 00:00	1.579	61.13
33	2015.02.10 00:00	1.563	60.84
34	2015.03.09 00:00	0.291	37.80
35	2015.05.19 00:00	1.353	57.04
36	2015.05.22 00:00	0.391	39.61
37	2015.05.26 00:00	2.288	73.98
38	2015.05.27 00:00	1.183	53.96
39	2015.10.23 00:00	1.101	52.48
40	2015.11.06 00:00	1.351	57.00
41	2015.11.07 00:00	0.549	42.48
42	2015.11.09 00:00	0.099	34.33
43	2016.08.30 00:00	1.345	56.90
44	2016.10.05 00:00	1.057	51.68
45	2016.10.27 00:00	0.954	49.81
46	2016.11.14 00:00	1.991	68.60
47	2016.11.15 00:00	0.829	47.55
48	2016.11.16 00:00	0.673	44.72
49	2016.11.18 00:00	1.393	57.77
50	2017.09.18 00:00	0.548	42.46
51	2017.09.20 00:00	0.926	49.31
52	2018.04.23 00:00	1.051	51.57
53	2018.04.24 00:00	0.712	45.43
54	2018.05.17 00:00	0.404	39.85
55	2018.05.18 00:00	0.289	37.77
56	2018.07.11 00:00	1.565	60.88
57	2018.09.28 00:00	0.601	43.42
58	2018.11.06 00:00	0.367	39.18
59	2019.02.11 00:00	0.730	45.76
60	2019.02.12 00:00	0.630	43.94
