[20190325_083514 / views.py:12748]
fname_Src_CSV	44_5.1_10_rawdata.(USDJPY).(Period-D1).(NumOfUnits-2000).(Bars-ALL-20190325_082029).20190318_092307.csv
slice by	through
this file	(20190325_083511).(USDJPY-D1).[sec-1.A-6.3-seq].(20190325_083514).csv
pair	USDJPY
timeframe	D1
start	2012.06.01 00:00
end	2019.03.25 00:00
bars	2036

[20190325_083514 / views.py:12816]
[lo_UUU]==============================
s.n.	e0.date	e1.date	e2.date	e0.diff	e1.diff	e2.diff
1	2012.06.04 00:00	2012.06.05 00:00	2012.06.06 00:00	0.198	0.398	0.421
2	2012.06.05 00:00	2012.06.06 00:00	2012.06.07 00:00	0.398	0.421	0.490
3	2012.06.06 00:00	2012.06.07 00:00	2012.06.08 00:00	0.421	0.490	0.038
4	2012.06.18 00:00	2012.06.19 00:00	2012.06.20 00:00	0.120	0.115	0.335
5	2012.06.19 00:00	2012.06.20 00:00	2012.06.21 00:00	0.115	0.335	0.914
6	2012.06.20 00:00	2012.06.21 00:00	2012.06.22 00:00	0.335	0.914	0.217
7	2012.07.25 00:00	2012.07.26 00:00	2012.07.27 00:00	0.008	0.022	0.395
8	2012.08.11 00:00	2012.08.13 00:00	2012.08.14 00:00	0.066	0.090	0.488
9	2012.08.13 00:00	2012.08.14 00:00	2012.08.15 00:00	0.090	0.488	0.068
10	2012.08.14 00:00	2012.08.15 00:00	2012.08.16 00:00	0.488	0.068	0.396
11	2012.08.15 00:00	2012.08.16 00:00	2012.08.17 00:00	0.068	0.396	0.253
12	2012.08.16 00:00	2012.08.17 00:00	2012.08.18 00:00	0.396	0.253	0.038
13	2012.09.14 00:00	2012.09.15 00:00	2012.09.17 00:00	0.887	0.053	0.466
14	2012.09.28 00:00	2012.09.29 00:00	2012.10.01 00:00	0.098	0.090	0.101
15	2012.10.09 00:00	2012.10.10 00:00	2012.10.11 00:00	0.042	0.131	0.184
16	2012.10.13 00:00	2012.10.15 00:00	2012.10.16 00:00	0.074	0.327	0.137
17	2012.10.31 00:00	2012.11.01 00:00	2012.11.02 00:00	0.203	0.270	0.424
18	2012.11.13 00:00	2012.11.14 00:00	2012.11.15 00:00	0.088	0.802	0.891
