[20190318_090305 / views.py:11855]==============================
fname_Src_CSV	44_5.1_10_rawdata.(USDJPY).(Period-H1).(NumOfUnits-3000).(Bars-ALL-20190318_090156).20190318_085834.csv
slice by	through
this file	(20190318_090303).(USDJPY-H1).[sec-1.A-5.BB-diff-histogram.UU-UD-DU-DD].csv 
pair	USDJPY
timeframe	H1
start	2017.08.18 14:00
end	2019.03.18 02:00
total bars	9723

[20190318_090305 / views.py:11873]
[20190318_090305 / views.py:11613]==============================
average	0.196
max	0.610
min	0.006
variance	0.0141829
std	0.11909
median	0.174

[20190318_090305 / views.py:11635]
[BB-diff-histogram : lo_UU_Z1]==============================
s.n.	e0.dateTime	diff-total
1	2017.08.22 04:00	0.150
2	2017.08.22 22:00	0.061
3	2017.08.23 01:00	0.148
4	2017.08.29 19:00	0.202
5	2017.08.29 20:00	0.545
6	2017.08.29 21:00	0.530
7	2017.08.30 15:00	0.215
8	2017.09.01 19:00	0.192
9	2017.09.06 19:00	0.549
10	2017.09.06 20:00	0.194
11	2017.09.11 03:00	0.189
12	2017.09.11 18:00	0.195
13	2017.09.11 19:00	0.333
14	2017.09.12 13:00	0.151
15	2017.09.12 14:00	0.145
16	2017.09.12 15:00	0.187
17	2017.09.13 16:00	0.464
18	2017.09.15 12:00	0.515
19	2017.09.15 13:00	0.027
20	2017.09.21 00:00	0.135
21	2017.09.25 01:00	0.274
22	2017.09.25 02:00	0.118
23	2017.09.26 14:00	0.359
24	2017.09.26 15:00	0.233
25	2017.09.26 16:00	0.146
26	2017.09.27 09:00	0.231
27	2017.09.27 10:00	0.255
28	2017.10.02 03:00	0.215
29	2017.10.03 06:00	0.068
30	2017.10.06 15:00	0.448
31	2017.10.18 10:00	0.252
32	2017.10.18 11:00	0.238
33	2017.10.18 12:00	0.113
34	2017.10.18 13:00	0.075
35	2017.10.18 14:00	0.092
36	2017.10.20 04:00	0.491
37	2017.10.23 01:00	0.225
38	2017.10.25 11:00	0.314
39	2017.10.26 20:00	0.246
40	2017.10.31 15:00	0.104
41	2017.10.31 16:00	0.027
42	2017.10.31 18:00	0.261
43	2017.11.01 15:00	0.191
44	2017.11.06 02:00	0.438
45	2017.11.20 15:00	0.190
46	2017.11.20 16:00	0.148
47	2017.11.20 17:00	0.171
48	2017.11.20 18:00	0.179
49	2017.11.20 19:00	0.128
50	2017.11.20 20:00	0.101
51	2017.11.24 05:00	0.129
52	2017.11.24 06:00	0.046
53	2017.11.24 07:00	0.056
54	2017.11.29 15:00	0.446
55	2017.11.30 09:00	0.218
56	2017.12.05 16:00	0.173
57	2017.12.12 16:00	0.185
58	2017.12.15 17:00	0.230
59	2017.12.15 18:00	0.038
