[20190325_081019 / views.py:12006]==============================
fname_Src_CSV	44_5.1_10_rawdata.(USDJPY).(Period-H1).(NumOfUnits-3000).(Bars-ALL-20190325_080819).20190318_085834.csv
slice by	through
this file	(20190325_081017).(USDJPY-H1).[sec-1.A-5.BB-diff-histogram.UU-UD-DU-DD].csv 
pair	USDJPY
timeframe	H1
start	2017.08.10 01:00
end	2019.03.25 02:00
total bars	10000

[20190325_081019 / views.py:12024]
[20190325_081018 / views.py:11753]==============================
average	0.195
max	0.610
min	0.006
variance	0.0142514
std	0.11938
median	0.173

[20190325_081018 / views.py:11775]
[BB-diff-histogram : lo_UU_Z1]==============================
s.n.	e0.dateTime	diff-total	std score
1	2017.08.14 02:00	0.238	53.57
2	2017.08.14 05:00	0.161	47.12
3	2017.08.14 06:00	0.154	46.54
4	2017.08.14 07:00	0.037	36.74
5	2017.08.15 02:00	0.431	69.74
6	2017.08.15 05:00	0.030	36.15
7	2017.08.16 10:00	0.114	43.19
8	2017.08.22 04:00	0.150	46.20
9	2017.08.22 22:00	0.061	38.75
10	2017.08.23 01:00	0.148	46.04
11	2017.08.29 19:00	0.202	50.56
12	2017.08.29 20:00	0.545	79.29
13	2017.08.29 21:00	0.530	78.03
14	2017.08.30 15:00	0.215	51.65
15	2017.09.01 19:00	0.192	49.72
16	2017.09.06 19:00	0.549	79.63
17	2017.09.06 20:00	0.194	49.89
18	2017.09.11 03:00	0.189	49.47
19	2017.09.11 18:00	0.195	49.97
20	2017.09.11 19:00	0.333	61.53
21	2017.09.12 13:00	0.151	46.29
22	2017.09.12 14:00	0.145	45.78
23	2017.09.12 15:00	0.187	49.30
24	2017.09.13 16:00	0.464	72.51
25	2017.09.15 12:00	0.515	76.78
26	2017.09.15 13:00	0.027	35.90
27	2017.09.21 00:00	0.135	44.95
28	2017.09.25 01:00	0.274	56.59
29	2017.09.25 02:00	0.118	43.52
30	2017.09.26 14:00	0.359	63.71
31	2017.09.26 15:00	0.233	53.16
32	2017.09.26 16:00	0.146	45.87
33	2017.09.27 09:00	0.231	52.99
34	2017.09.27 10:00	0.255	55.00
35	2017.10.02 03:00	0.215	51.65
36	2017.10.03 06:00	0.068	39.33
37	2017.10.06 15:00	0.448	71.17
38	2017.10.18 10:00	0.252	54.75
39	2017.10.18 11:00	0.238	53.57
40	2017.10.18 12:00	0.113	43.10
41	2017.10.18 13:00	0.075	39.92
42	2017.10.18 14:00	0.092	41.34
43	2017.10.20 04:00	0.491	74.77
44	2017.10.23 01:00	0.225	52.49
45	2017.10.25 11:00	0.314	59.94
46	2017.10.26 20:00	0.246	54.24
47	2017.10.31 15:00	0.104	42.35
48	2017.10.31 16:00	0.027	35.90
49	2017.10.31 18:00	0.261	55.50
50	2017.11.01 15:00	0.191	49.64
51	2017.11.06 02:00	0.438	70.33
52	2017.11.20 15:00	0.190	49.55
53	2017.11.20 16:00	0.148	46.04
54	2017.11.20 17:00	0.171	47.96
55	2017.11.20 18:00	0.179	48.63
56	2017.11.20 19:00	0.128	44.36
57	2017.11.20 20:00	0.101	42.10
58	2017.11.24 05:00	0.129	44.44
59	2017.11.24 06:00	0.046	37.49
60	2017.11.24 07:00	0.056	38.33
61	2017.11.29 15:00	0.446	71.00
62	2017.11.30 09:00	0.218	51.90
63	2017.12.05 16:00	0.173	48.13
64	2017.12.12 16:00	0.185	49.13
65	2017.12.15 17:00	0.230	52.90
66	2017.12.15 18:00	0.038	36.82
67	2017.12.15 19:00	0.041	37.07
68	2017.12.19 15:00	0.169	47.79
69	2017.12.19 16:00	0.198	50.22
70	2017.12.20 11:00	0.046	37.49
71	2018.01.03 23:00	0.082	40.51
72	2018.01.04 00:00	0.137	45.11
73	2018.01.04 01:00	0.141	45.45
74	2018.01.04 02:00	0.118	43.52
75	2018.01.05 07:00	0.203	50.64
76	2018.01.05 08:00	0.149	46.12
77	2018.01.05 09:00	0.129	44.44
78	2018.01.05 10:00	0.077	40.09
79	2018.01.05 11:00	0.022	35.48
80	2018.01.11 06:00	0.118	43.52
81	2018.01.11 07:00	0.064	39.00
82	2018.01.16 04:00	0.151	46.29
83	2018.01.17 21:00	0.501	75.60
84	2018.01.17 22:00	0.193	49.80
85	2018.01.17 23:00	0.219	51.98
86	2018.01.18 00:00	0.047	37.57
87	2018.01.26 00:00	0.258	55.25
88	2018.01.26 01:00	0.019	35.23
89	2018.01.29 17:00	0.292	58.10
90	2018.01.31 17:00	0.395	66.73
91	2018.01.31 18:00	0.190	49.55
92	2018.02.02 11:00	0.150	46.20
93	2018.02.02 15:00	0.547	79.46
94	2018.02.19 07:00	0.136	45.03
95	2018.02.19 08:00	0.061	38.75
96	2018.02.19 09:00	0.083	40.59
97	2018.02.20 08:00	0.134	44.86
98	2018.02.20 09:00	0.204	50.73
99	2018.02.20 10:00	0.212	51.40
100	2018.02.21 02:00	0.233	53.16
101	2018.02.21 03:00	0.291	58.01
102	2018.02.27 16:00	0.468	72.84
103	2018.03.05 16:00	0.173	48.13
104	2018.03.05 17:00	0.179	48.63
105	2018.03.05 18:00	0.330	61.28
106	2018.03.07 21:00	0.116	43.35
107	2018.03.08 21:00	0.117	43.44
108	2018.03.09 00:00	0.248	54.41
109	2018.03.09 01:00	0.364	64.13
110	2018.03.09 02:00	0.450	71.33
111	2018.03.13 07:00	0.226	52.57
112	2018.03.13 08:00	0.101	42.10
113	2018.03.13 09:00	0.192	49.72
114	2018.03.13 12:00	0.271	56.34
115	2018.03.15 21:00	0.273	56.51
116	2018.03.15 22:00	0.105	42.43
117	2018.03.27 02:00	0.139	45.28
118	2018.03.27 03:00	0.162	47.21
119	2018.03.28 13:00	0.343	62.37
120	2018.03.28 14:00	0.203	50.64
121	2018.03.28 15:00	0.219	51.98
122	2018.03.28 19:00	0.536	78.54
123	2018.03.28 20:00	0.447	71.08
124	2018.03.28 21:00	0.134	44.86
125	2018.04.03 14:00	0.093	41.43
126	2018.04.03 15:00	0.214	51.56
