[20190325_081023 / views.py:12736]
fname_Src_CSV	44_5.1_10_rawdata.(USDJPY).(Period-H1).(NumOfUnits-3000).(Bars-ALL-20190325_080819).20190318_085834.csv
slice by	through
this file	(20190325_081017).(USDJPY-H1).[sec-1.A-6.3-seq].(20190325_081023).csv
pair	USDJPY
timeframe	H1
start	2017.08.10 01:00
end	2019.03.25 02:00
bars	10000

[20190325_081023 / views.py:12804]
[lo_UUU]==============================
s.n.	e0.date	e1.date	e2.date	e0.diff	e1.diff	e2.diff
1	2017.08.10 01:00	2017.08.10 02:00	2017.08.10 03:00	0.015	0.095	0.067
2	2017.08.11 21:00	2017.08.11 22:00	2017.08.11 23:00	0.011	0.093	0.057
3	2017.08.14 01:00	2017.08.14 02:00	2017.08.14 03:00	0.055	0.118	0.120
4	2017.08.14 05:00	2017.08.14 06:00	2017.08.14 07:00	0.011	0.149	0.006
5	2017.08.14 06:00	2017.08.14 07:00	2017.08.14 08:00	0.149	0.006	0.029
6	2017.08.15 01:00	2017.08.15 02:00	2017.08.15 03:00	0.134	0.192	0.235
7	2017.08.15 02:00	2017.08.15 03:00	2017.08.15 04:00	0.192	0.235	0.000
8	2017.08.15 03:00	2017.08.15 04:00	2017.08.15 05:00	0.235	0.000	0.011
9	2017.08.15 04:00	2017.08.15 05:00	2017.08.15 06:00	0.000	0.011	0.018
10	2017.08.15 05:00	2017.08.15 06:00	2017.08.15 07:00	0.011	0.018	0.061
11	2017.08.15 06:00	2017.08.15 07:00	2017.08.15 08:00	0.018	0.061	0.131
12	2017.08.15 13:00	2017.08.15 14:00	2017.08.15 15:00	0.004	0.042	0.395
13	2017.08.15 19:00	2017.08.15 20:00	2017.08.15 21:00	0.031	0.023	0.098
14	2017.08.16 09:00	2017.08.16 10:00	2017.08.16 11:00	0.146	0.090	0.026
15	2017.08.17 11:00	2017.08.17 12:00	2017.08.17 13:00	0.104	0.069	0.056
16	2017.08.17 12:00	2017.08.17 13:00	2017.08.17 14:00	0.069	0.056	0.013
17	2017.08.17 13:00	2017.08.17 14:00	2017.08.17 15:00	0.056	0.013	0.084
18	2017.08.18 17:00	2017.08.18 18:00	2017.08.18 19:00	0.121	0.511	0.140
19	2017.08.21 21:00	2017.08.21 22:00	2017.08.21 23:00	0.135	0.059	0.065
20	2017.08.22 03:00	2017.08.22 04:00	2017.08.22 05:00	0.139	0.113	0.039
21	2017.08.22 07:00	2017.08.22 08:00	2017.08.22 09:00	0.007	0.013	0.111
22	2017.08.22 21:00	2017.08.22 22:00	2017.08.22 23:00	0.046	0.049	0.011
23	2017.08.22 22:00	2017.08.22 23:00	2017.08.23 00:00	0.049	0.011	0.017
24	2017.08.22 23:00	2017.08.23 00:00	2017.08.23 01:00	0.011	0.017	0.100
25	2017.08.23 00:00	2017.08.23 01:00	2017.08.23 02:00	0.017	0.100	0.046
26	2017.08.24 20:00	2017.08.24 21:00	2017.08.24 22:00	0.059	0.131	0.077
27	2017.08.25 07:00	2017.08.25 08:00	2017.08.25 09:00	0.008	0.017	0.073
28	2017.08.25 08:00	2017.08.25 09:00	2017.08.25 10:00	0.017	0.073	0.003
29	2017.08.25 13:00	2017.08.25 14:00	2017.08.25 15:00	0.099	0.026	0.057
30	2017.08.25 14:00	2017.08.25 15:00	2017.08.25 16:00	0.026	0.057	0.044
31	2017.08.25 21:00	2017.08.25 22:00	2017.08.25 23:00	0.063	0.017	0.043
32	2017.08.25 22:00	2017.08.25 23:00	2017.08.28 00:00	0.017	0.043	0.055
33	2017.08.25 23:00	2017.08.28 00:00	2017.08.28 01:00	0.043	0.055	0.017
34	2017.08.28 00:00	2017.08.28 01:00	2017.08.28 02:00	0.055	0.017	0.073
35	2017.08.28 10:00	2017.08.28 11:00	2017.08.28 12:00	0.084	0.033	0.036
36	2017.08.29 16:00	2017.08.29 17:00	2017.08.29 18:00	0.108	0.090	0.293
37	2017.08.29 17:00	2017.08.29 18:00	2017.08.29 19:00	0.090	0.293	0.125
38	2017.08.29 18:00	2017.08.29 19:00	2017.08.29 20:00	0.293	0.125	0.076
