[20190325_081018 / views.py:13206]
fname_Src_CSV	44_5.1_10_rawdata.(USDJPY).(Period-H1).(NumOfUnits-3000).(Bars-ALL-20190325_080819).20190318_085834.csv
slice by	through
this file	no-44.[ups-downs-in_BB].[v-1.0].(USDJPY-H1).(20190325_081017).csv
pair	USDJPY
timeframe	H1
start	2017.08.10 01:00
end	2019.03.25 02:00
bars	10000



[20190325_081018 / views.py:13225]


[lo_UU]==============================
s.n.	e0.dateTime	e1.dateTime	e0.CP	e1.CP	e0.BB_M2S	e0.BB_M1S	e0.BB_Main	e0.BB_1S	e0.BB_2S
1	2017.08.10 01:00	2017.08.10 02:00	109.941	110.038	109.677	109.790	109.903	110.016	110.129
2	2017.08.10 02:00	2017.08.10 03:00	110.038	110.104	109.684	109.799	109.914	110.029	110.144
3	2017.08.11 08:00	2017.08.11 09:00	109.150	109.222	108.753	109.012	109.271	109.531	109.790
4	2017.08.11 16:00	2017.08.11 17:00	109.099	109.143	108.929	109.014	109.099	109.184	109.269
5	2017.08.11 21:00	2017.08.11 22:00	108.992	109.083	108.923	108.992	109.060	109.129	109.198
6	2017.08.11 22:00	2017.08.11 23:00	109.083	109.141	108.923	108.991	109.060	109.128	109.196
7	2017.08.14 01:00	2017.08.14 02:00	109.139	109.256	108.933	109.003	109.073	109.142	109.212
8	2017.08.14 02:00	2017.08.14 03:00	109.256	109.376	108.933	109.010	109.086	109.163	109.240
9	2017.08.14 05:00	2017.08.14 06:00	109.371	109.521	108.883	109.004	109.125	109.246	109.367
10	2017.08.14 06:00	2017.08.14 07:00	109.521	109.526	108.848	108.996	109.145	109.294	109.442
11	2017.08.14 07:00	2017.08.14 08:00	109.526	109.557	108.842	109.007	109.172	109.337	109.502
12	2017.08.15 01:00	2017.08.15 02:00	109.742	109.932	109.428	109.522	109.616	109.710	109.805
13	2017.08.15 02:00	2017.08.15 03:00	109.932	110.171	109.409	109.523	109.637	109.751	109.865
14	2017.08.15 05:00	2017.08.15 06:00	110.180	110.199	109.303	109.517	109.731	109.946	110.160
15	2017.08.15 06:00	2017.08.15 07:00	110.199	110.261	109.280	109.517	109.754	109.991	110.229
16	2017.08.15 07:00	2017.08.15 08:00	110.261	110.396	109.258	109.520	109.781	110.043	110.304
17	2017.08.15 10:00	2017.08.15 11:00	110.333	110.383	109.229	109.555	109.881	110.206	110.532
18	2017.08.15 13:00	2017.08.15 14:00	110.386	110.428	109.330	109.667	110.003	110.340	110.676
19	2017.08.15 14:00	2017.08.15 15:00	110.428	110.824	109.398	109.724	110.050	110.377	110.703
20	2017.08.15 19:00	2017.08.15 20:00	110.461	110.486	109.728	110.012	110.295	110.579	110.862
21	2017.08.15 20:00	2017.08.15 21:00	110.486	110.583	109.862	110.101	110.339	110.577	110.816
22	2017.08.16 09:00	2017.08.16 10:00	110.787	110.874	110.397	110.507	110.616	110.726	110.835
23	2017.08.16 10:00	2017.08.16 11:00	110.874	110.898	110.410	110.524	110.638	110.753	110.867
24	2017.08.17 05:00	2017.08.17 06:00	109.843	109.885	109.634	110.038	110.442	110.846	111.250
25	2017.08.17 11:00	2017.08.17 12:00	110.027	110.095	109.462	109.813	110.164	110.514	110.865
26	2017.08.17 12:00	2017.08.17 13:00	110.095	110.151	109.487	109.808	110.130	110.451	110.773
27	2017.08.17 13:00	2017.08.17 14:00	110.151	110.163	109.532	109.815	110.097	110.380	110.662
28	2017.08.17 14:00	2017.08.17 15:00	110.163	110.250	109.599	109.832	110.065	110.299	110.532
29	2017.08.18 03:00	2017.08.18 04:00	109.429	109.450	109.269	109.536	109.803	110.070	110.337
30	2017.08.18 17:00	2017.08.18 18:00	108.795	109.305	108.716	108.968	109.220	109.473	109.725
