[20190304_165351 / views.py:10876]
fname_Src_CSV	44_5.1_10_rawdata.(USDJPY).(Period-M15).(NumOfUnits-4500).(Bars-ALL).20190214_094828.csv
slice by	day
this file	no-44.[ups-downs-in_BB].[v-1.0].(USDJPY-M15).(20190304_165350).csv
pair	USDJPY
timeframe	M15

[ups/downs]==============================
s.n.	start	end	total	UU	UD	DU	DD	%UU	%UD	%DU	%DD
[20190304_165351 / views.py:10967]
1	2019.02.25 00:00	2019.02.25 06:00	25	6	7	7	4	0.240	0.280	0.280	0.160
2	2019.02.22 00:00	2019.02.22 23:45	96	19	27	28	19	0.198	0.281	0.292	0.198
3	2019.02.21 00:00	2019.02.21 23:45	96	19	27	27	18	0.198	0.281	0.281	0.188
4	2019.02.20 00:00	2019.02.20 23:45	96	21	23	23	28	0.219	0.240	0.240	0.292
5	2019.02.19 00:00	2019.02.19 23:45	96	21	23	22	25	0.219	0.240	0.229	0.260
6	2019.02.18 00:00	2019.02.18 23:45	96	17	25	23	28	0.177	0.260	0.240	0.292
7	2019.02.15 00:00	2019.02.15 23:45	96	25	22	23	23	0.260	0.229	0.240	0.240
8	2019.02.14 00:00	2019.02.14 23:45	96	17	22	22	28	0.177	0.229	0.229	0.292
9	2019.02.13 00:00	2019.02.13 23:45	96	35	23	24	13	0.365	0.240	0.250	0.135
10	2019.02.12 00:00	2019.02.12 23:45	96	23	24	24	24	0.240	0.250	0.250	0.250
11	2019.02.11 00:00	2019.02.11 23:45	96	31	23	23	14	0.323	0.240	0.240	0.146
12	2019.02.08 00:00	2019.02.08 23:45	96	23	23	22	25	0.240	0.240	0.229	0.260
13	2019.02.07 00:00	2019.02.07 23:45	96	20	24	23	28	0.208	0.250	0.240	0.292
14	2019.02.06 00:00	2019.02.06 23:45	96	18	26	26	20	0.188	0.271	0.271	0.208
15	2019.02.05 00:00	2019.02.05 23:45	96	23	23	22	25	0.240	0.240	0.229	0.260
16	2019.02.04 00:00	2019.02.04 23:45	96	28	24	22	19	0.292	0.250	0.229	0.198
17	2019.02.01 00:00	2019.02.01 23:45	96	22	27	27	15	0.229	0.281	0.281	0.156
18	2019.01.31 00:00	2019.01.31 23:45	96	23	23	23	26	0.240	0.240	0.240	0.271
19	2019.01.30 00:00	2019.01.30 23:45	96	15	23	23	27	0.156	0.240	0.240	0.281
20	2019.01.29 00:00	2019.01.29 23:45	96	32	19	21	19	0.333	0.198	0.219	0.198
21	2019.01.28 00:00	2019.01.28 23:45	96	22	19	22	24	0.229	0.198	0.229	0.250
22	2019.01.25 00:00	2019.01.25 23:45	96	23	19	19	26	0.240	0.198	0.198	0.271
23	2019.01.24 00:00	2019.01.24 23:45	96	24	25	25	21	0.250	0.260	0.260	0.219
24	2019.01.23 00:00	2019.01.23 23:45	96	25	23	23	24	0.260	0.240	0.240	0.250
25	2019.01.22 00:00	2019.01.22 23:45	96	18	25	24	28	0.188	0.260	0.250	0.292
26	2019.01.21 00:00	2019.01.21 23:45	96	20	24	23	28	0.208	0.250	0.240	0.292
27	2019.01.18 00:00	2019.01.18 23:45	96	21	23	22	25	0.219	0.240	0.229	0.260
28	2019.01.17 00:00	2019.01.17 23:45	96	15	27	28	25	0.156	0.281	0.292	0.260
29	2019.01.16 00:00	2019.01.16 23:45	96	24	23	23	19	0.250	0.240	0.240	0.198
30	2019.01.15 00:00	2019.01.15 23:45	96	30	24	23	16	0.312	0.250	0.240	0.167
31	2019.01.14 00:00	2019.01.14 23:45	96	14	27	28	21	0.146	0.281	0.292	0.219
32	2019.01.11 00:00	2019.01.11 23:45	96	28	24	24	19	0.292	0.250	0.250	0.198
33	2019.01.10 00:00	2019.01.10 23:45	96	32	23	23	17	0.333	0.240	0.240	0.177
34	2019.01.09 00:00	2019.01.09 23:45	96	17	25	25	26	0.177	0.260	0.260	0.271
35	2019.01.08 00:00	2019.01.08 23:45	96	25	22	22	24	0.260	0.229	0.229	0.250
36	2019.01.07 00:00	2019.01.07 23:45	96	23	23	23	26	0.240	0.240	0.240	0.271
37	2019.01.04 00:00	2019.01.04 23:45	96	32	23	23	15	0.333	0.240	0.240	0.156
38	2019.01.03 00:00	2019.01.03 23:45	96	25	20	21	29	0.260	0.208	0.219	0.302
39	2018.12.28 00:00	2018.12.28 23:45	96	20	23	24	28	0.208	0.240	0.250	0.292
40	2018.12.27 00:00	2018.12.27 23:45	96	21	20	20	32	0.219	0.208	0.208	0.333
41	2018.12.26 00:15	2018.12.26 23:45	95	31	20	21	21	0.326	0.211	0.221	0.221
42	2018.12.25 00:00	2018.12.25 07:45	24	3	6	5	9	0.125	0.250	0.208	0.375
43	2018.12.24 00:00	2018.12.24 23:45	96	20	25	25	23	0.208	0.260	0.260	0.240
44	2018.12.21 00:00	2018.12.21 23:45	96	20	25	25	25	0.208	0.260	0.260	0.260
45	2018.12.20 00:00	2018.12.20 23:45	96	14	22	22	33	0.146	0.229	0.229	0.344
46	2018.12.19 00:00	2018.12.19 23:45	96	16	27	26	24	0.167	0.281	0.271	0.250
47	2018.12.18 00:00	2018.12.18 23:45	96	21	20	19	33	0.219	0.208	0.198	0.344
48	2018.12.17 00:00	2018.12.17 23:45	96	17	26	24	24	0.177	0.271	0.250	0.250
49	2018.12.14 00:00	2018.12.14 23:45	96	23	26	25	19	0.240	0.271	0.260	0.198
50	2018.12.13 00:00	2018.12.13 23:45	96	29	26	26	14	0.302	0.271	0.271	0.146
51	2018.12.12 00:00	2018.12.12 23:45	96	21	24	24	24	0.219	0.250	0.250	0.250
52	2018.12.11 00:00	2018.12.11 23:45	96	20	25	25	25	0.208	0.260	0.260	0.260
53	2018.12.10 02:00	2018.12.10 23:45	88	27	23	23	12	0.307	0.261	0.261	0.136
54	2018.12.07 00:00	2018.12.07 23:45	96	28	21	20	24	0.292	0.219	0.208	0.250
55	2018.12.06 00:00	2018.12.06 23:45	96	22	22	22	29	0.229	0.229	0.229	0.302
56	2018.12.05 09:45	2018.12.05 23:45	57	17	15	14	8	0.298	0.263	0.246	0.140


