[20190325_180708 / views.py:13410]
fname_Src_CSV	44_5.1_10_rawdata.(USDJPY).(Period-M5).(NumOfUnits-50000).(Bars-ALL-20190322_165334).20190322_165012.csv
slice by	through
this file	(20190325_180701).(USDJPY-M5).[sec-1.A-6.3-seq].(20190325_180708).csv
pair	USDJPY
timeframe	M5
start	2018.06.19 20:55
end	2019.03.22 10:50
bars	50000

[20190325_180709 / views.py:13479]
[lo_UUU]==============================
s.n.	e0.date	e1.date	e2.date	e0.diff	e1.diff	e2.diff
1	2018.06.19 21:20	2018.06.19 21:25	2018.06.19 21:30	0.009	0.004	0.014
2	2018.06.19 21:25	2018.06.19 21:30	2018.06.19 21:35	0.004	0.014	0.021
3	2018.06.19 21:30	2018.06.19 21:35	2018.06.19 21:40	0.014	0.021	0.004
4	2018.06.19 21:35	2018.06.19 21:40	2018.06.19 21:45	0.021	0.004	0.015
5	2018.06.19 21:40	2018.06.19 21:45	2018.06.19 21:50	0.004	0.015	0.022
6	2018.06.19 23:20	2018.06.19 23:25	2018.06.19 23:30	0.018	0.023	0.035
7	2018.06.20 01:00	2018.06.20 01:05	2018.06.20 01:10	0.003	0.002	0.014
8	2018.06.20 04:50	2018.06.20 04:55	2018.06.20 05:00	0.011	0.013	0.092
9	2018.06.20 06:10	2018.06.20 06:15	2018.06.20 06:20	0.010	0.008	0.010
10	2018.06.20 07:30	2018.06.20 07:35	2018.06.20 07:40	0.003	0.027	0.000
11	2018.06.20 08:05	2018.06.20 08:10	2018.06.20 08:15	0.017	0.050	0.026
12	2018.06.20 09:35	2018.06.20 09:40	2018.06.20 09:45	0.016	0.024	0.003
13	2018.06.20 13:15	2018.06.20 13:20	2018.06.20 13:25	0.030	0.003	0.019
14	2018.06.20 14:15	2018.06.20 14:20	2018.06.20 14:25	0.003	0.007	0.036
15	2018.06.20 16:00	2018.06.20 16:05	2018.06.20 16:10	0.017	0.004	0.055
16	2018.06.20 16:30	2018.06.20 16:35	2018.06.20 16:40	0.081	0.007	0.068
17	2018.06.20 16:35	2018.06.20 16:40	2018.06.20 16:45	0.007	0.068	0.015
18	2018.06.20 16:40	2018.06.20 16:45	2018.06.20 16:50	0.068	0.015	0.038
19	2018.06.20 17:25	2018.06.20 17:30	2018.06.20 17:35	0.009	0.033	0.016
20	2018.06.20 18:10	2018.06.20 18:15	2018.06.20 18:20	0.019	0.009	0.031
21	2018.06.20 18:15	2018.06.20 18:20	2018.06.20 18:25	0.009	0.031	0.008
