[20190326_131944 / views.py:12018]==============================
fname_Src_CSV	44_5.1_10_rawdata.(USDJPY).(Period-M5).(NumOfUnits-50000).(Bars-ALL-20190322_165334).20190322_165012.csv
slice by	through
this file	(20190326_131939).(USDJPY-M5).[sec-1.A-5.BB-diff-histogram.UU-UD-DU-DD].csv 
pair	USDJPY
timeframe	M5
start	2018.06.19 20:55
end	2019.03.22 10:50
total bars	50000

[20190326_131944 / views.py:12036]
[20190326_131944 / views.py:11765]==============================
average	0.055
max	0.441
min	-0.030
variance	0.0018785
std	0.04334
median	0.043

[20190326_131944 / views.py:11787]
[BB-diff-histogram : lo_UU_Z1]==============================
s.n.	e0.dateTime	diff-total	std score
1	2018.06.20 02:25	0.029	44.10
2	2018.06.20 08:10	0.076	54.94
3	2018.06.20 16:40	0.086	57.25
4	2018.06.20 16:45	0.054	49.87
5	2018.06.20 21:00	0.089	57.94
6	2018.06.20 21:05	0.054	49.87
7	2018.06.20 21:10	0.018	41.56
8	2018.06.21 01:25	0.034	45.25
9	2018.06.21 01:30	0.025	43.17
10	2018.06.21 01:35	0.048	48.48
11	2018.06.21 04:25	0.090	58.17
12	2018.06.21 04:30	0.039	46.40
13	2018.06.21 04:50	0.144	70.63
14	2018.06.21 08:05	0.111	63.02
15	2018.06.21 13:50	0.134	68.32
16	2018.06.21 13:55	0.100	60.48
17	2018.06.21 22:20	0.090	58.17
18	2018.06.22 02:45	0.011	39.94
19	2018.06.22 03:05	0.057	50.56
20	2018.06.22 10:05	0.149	71.78
21	2018.06.22 13:30	0.033	45.02
22	2018.06.22 22:55	0.031	44.56
23	2018.06.25 14:05	0.106	61.86
24	2018.06.26 06:45	0.032	44.79
25	2018.06.26 08:05	0.092	58.63
26	2018.06.26 08:10	0.041	46.87
27	2018.06.26 08:15	0.010	39.71
28	2018.06.26 17:10	0.138	69.25
29	2018.06.26 17:15	0.114	63.71
30	2018.06.26 20:05	0.129	67.17
31	2018.06.26 20:10	0.135	68.55
32	2018.06.26 20:15	0.039	46.40
33	2018.06.27 02:20	0.030	44.33
34	2018.06.27 02:25	0.013	40.41
35	2018.06.27 14:05	0.048	48.48
36	2018.06.27 14:10	0.034	45.25
37	2018.06.27 22:35	0.026	43.41
38	2018.06.28 07:10	0.057	50.56
39	2018.06.28 09:35	0.045	47.79
40	2018.06.28 21:25	0.060	51.25
41	2018.06.28 21:30	0.042	47.10
42	2018.06.28 21:35	0.041	46.87
43	2018.06.28 21:40	0.041	46.87
44	2018.06.28 21:45	0.011	39.94
45	2018.06.28 21:55	0.044	47.56
46	2018.06.29 05:45	0.107	62.09
47	2018.06.29 05:50	0.075	54.71
48	2018.06.29 05:55	0.091	58.40
49	2018.06.29 11:10	0.028	43.87
50	2018.06.29 11:15	0.033	45.02
51	2018.06.29 16:30	0.060	51.25
52	2018.06.29 18:10	0.072	54.02
53	2018.06.29 20:05	0.035	45.48
54	2018.06.29 20:10	0.017	41.33
55	2018.06.29 20:15	0.010	39.71
56	2018.07.02 03:50	0.033	45.02
57	2018.07.02 03:55	0.016	41.10
58	2018.07.02 15:55	0.063	51.94
59	2018.07.02 16:00	0.062	51.71
60	2018.07.02 16:05	0.053	49.63
61	2018.07.03 04:00	0.149	71.78
62	2018.07.03 08:25	0.096	59.56
63	2018.07.03 08:30	0.070	53.56
64	2018.07.03 08:35	0.012	40.17
65	2018.07.03 08:40	0.024	42.94
66	2018.07.03 08:45	0.022	42.48
67	2018.07.04 07:10	0.016	41.10
68	2018.07.04 10:50	0.051	49.17
69	2018.07.04 10:55	0.030	44.33
70	2018.07.04 11:10	0.046	48.02
71	2018.07.04 23:55	-0.030	30.48
72	2018.07.05 02:55	0.055	50.10
73	2018.07.05 03:00	0.085	57.02
74	2018.07.05 08:10	0.039	46.40
75	2018.07.05 08:15	0.022	42.48
76	2018.07.05 08:20	0.034	45.25
77	2018.07.05 08:25	0.037	45.94
78	2018.07.05 08:30	0.055	50.10
79	2018.07.05 08:35	0.119	64.86
80	2018.07.05 08:40	0.136	68.78
81	2018.07.05 08:45	0.087	57.48
82	2018.07.05 12:35	0.022	42.48
83	2018.07.05 14:50	0.028	43.87
84	2018.07.05 14:55	0.016	41.10
85	2018.07.05 17:00	0.060	51.25
86	2018.07.05 21:30	0.033	45.02
87	2018.07.06 03:50	0.081	56.09
88	2018.07.06 13:05	0.020	42.02
89	2018.07.06 13:10	0.017	41.33
90	2018.07.06 18:40	0.037	45.94
91	2018.07.06 23:50	0.019	41.79
92	2018.07.09 03:15	0.018	41.56
93	2018.07.09 15:35	0.024	42.94
94	2018.07.09 15:55	0.048	48.48
95	2018.07.09 16:00	0.069	53.33
96	2018.07.09 19:35	0.038	46.17
97	2018.07.09 19:40	0.028	43.87
98	2018.07.09 19:45	0.020	42.02
99	2018.07.10 00:55	0.010	39.71
100	2018.07.10 01:05	0.026	43.41
101	2018.07.10 02:20	0.034	45.25
102	2018.07.10 02:25	0.020	42.02
103	2018.07.10 02:30	0.021	42.25
104	2018.07.10 02:35	0.041	46.87
105	2018.07.10 06:40	0.034	45.25
106	2018.07.10 06:45	0.027	43.64
107	2018.07.10 06:50	0.007	39.02
108	2018.07.10 11:35	0.031	44.56
109	2018.07.10 12:50	0.045	47.79
110	2018.07.10 16:55	0.075	54.71
111	2018.07.11 04:55	0.083	56.56
112	2018.07.11 05:30	0.044	47.56
113	2018.07.11 11:45	0.044	47.56
114	2018.07.11 11:50	0.048	48.48
115	2018.07.11 11:55	0.067	52.86
116	2018.07.11 12:00	0.053	49.63
117	2018.07.11 12:05	0.041	46.87
118	2018.07.11 13:50	0.017	41.33
119	2018.07.11 18:10	0.224	89.09
120	2018.07.11 18:15	0.247	94.39
121	2018.07.11 19:30	0.087	57.48
122	2018.07.11 19:45	0.121	65.32
123	2018.07.12 02:55	0.115	63.94
124	2018.07.12 03:00	0.081	56.09
125	2018.07.12 03:05	0.019	41.79
126	2018.07.12 06:10	0.076	54.94
127	2018.07.12 10:00	0.060	51.25
128	2018.07.12 10:05	0.074	54.48
129	2018.07.12 12:10	0.023	42.71
130	2018.07.12 13:25	0.047	48.25
131	2018.07.12 13:30	0.048	48.48
132	2018.07.12 13:35	0.054	49.87
133	2018.07.12 13:55	0.047	48.25
134	2018.07.12 20:10	0.099	60.25
135	2018.07.12 23:15	0.011	39.94
136	2018.07.13 01:35	0.043	47.33
137	2018.07.13 01:40	0.081	56.09
138	2018.07.13 10:10	0.051	49.17
139	2018.07.13 10:15	0.033	45.02
140	2018.07.13 10:30	0.048	48.48
141	2018.07.16 10:15	0.095	59.32
142	2018.07.17 01:05	0.032	44.79
143	2018.07.17 02:35	0.032	44.79
144	2018.07.17 02:45	0.030	44.33
145	2018.07.17 04:10	0.110	62.79
146	2018.07.17 08:20	0.025	43.17
147	2018.07.17 13:20	0.034	45.25
148	2018.07.17 13:25	0.022	42.48
149	2018.07.17 13:30	0.056	50.33
150	2018.07.17 16:45	0.067	52.86
151	2018.07.17 17:25	0.136	68.78
152	2018.07.17 17:30	0.104	61.40
153	2018.07.18 01:05	0.032	44.79
154	2018.07.18 01:10	0.019	41.79
155	2018.07.18 01:15	0.016	41.10
156	2018.07.18 01:20	0.013	40.41
157	2018.07.18 02:05	0.091	58.40
158	2018.07.18 02:10	0.066	52.63
159	2018.07.18 08:10	0.028	43.87
160	2018.07.18 09:30	0.074	54.48
161	2018.07.19 08:30	0.062	51.71
162	2018.07.19 09:05	0.050	48.94
163	2018.07.19 10:05	0.094	59.09
164	2018.07.19 10:10	0.066	52.63
165	2018.07.23 08:40	0.032	44.79
166	2018.07.23 09:55	0.048	48.48
167	2018.07.23 10:00	0.062	51.71
168	2018.07.23 11:50	0.076	54.94
169	2018.07.23 15:25	0.033	45.02
170	2018.07.23 15:30	0.042	47.10
171	2018.07.23 15:35	0.048	48.48
172	2018.07.23 15:40	0.039	46.40
173	2018.07.23 15:55	0.071	53.79
174	2018.07.23 16:05	0.034	45.25
175	2018.07.23 17:45	0.106	61.86
176	2018.07.23 19:20	0.100	60.48
177	2018.07.24 02:00	0.052	49.40
178	2018.07.24 02:05	0.031	44.56
179	2018.07.24 02:10	0.027	43.64
180	2018.07.24 02:15	0.023	42.71
181	2018.07.24 02:20	0.019	41.79
182	2018.07.24 06:25	0.083	56.56
183	2018.07.24 09:20	0.021	42.25
184	2018.07.24 09:30	0.050	48.94
185	2018.07.24 15:25	0.041	46.87
186	2018.07.24 15:30	0.058	50.79
187	2018.07.24 15:35	0.049	48.71
188	2018.07.24 18:15	0.066	52.63
189	2018.07.24 18:20	0.064	52.17
190	2018.07.24 18:40	0.036	45.71
191	2018.07.25 02:55	0.059	51.02
192	2018.07.25 03:10	0.067	52.86
193	2018.07.25 22:35	0.180	78.94
194	2018.07.26 12:05	0.024	42.94
195	2018.07.26 12:10	0.026	43.41
196	2018.07.26 12:30	0.124	66.02
197	2018.07.26 15:05	0.047	48.25
198	2018.07.26 15:50	0.096	59.56
199	2018.07.26 15:55	0.069	53.33
200	2018.07.26 16:25	0.104	61.40
201	2018.07.27 07:30	0.069	53.33
202	2018.07.27 07:35	0.048	48.48
203	2018.07.27 08:05	0.038	46.17
204	2018.07.27 17:30	0.062	51.71
205	2018.07.30 09:55	0.026	43.41
206	2018.07.30 15:20	0.022	42.48
207	2018.07.30 22:05	0.024	42.94
208	2018.07.31 04:25	0.020	42.02
209	2018.07.31 07:05	0.361	120.70
210	2018.07.31 09:00	0.067	52.86
211	2018.07.31 13:45	0.032	44.79
212	2018.07.31 16:00	0.211	86.09
213	2018.07.31 16:05	0.162	74.78
214	2018.08.01 01:05	0.034	45.25
215	2018.08.01 09:00	0.053	49.63
216	2018.08.01 09:15	0.029	44.10
217	2018.08.01 16:15	0.065	52.40
218	2018.08.01 23:30	0.132	67.86
219	2018.08.02 17:00	0.040	46.64
220	2018.08.02 19:35	0.109	62.56
221	2018.08.02 19:40	0.095	59.32
222	2018.08.02 21:35	0.013	40.41
223	2018.08.03 02:25	0.025	43.17
224	2018.08.03 02:30	0.025	43.17
225	2018.08.03 02:35	0.020	42.02
226	2018.08.03 02:50	0.024	42.94
227	2018.08.03 03:10	0.065	52.40
228	2018.08.03 09:30	0.029	44.10
229	2018.08.03 19:20	0.041	46.87
230	2018.08.03 19:25	0.007	39.02
231	2018.08.03 19:30	0.013	40.41
232	2018.08.03 19:35	0.021	42.25
233	2018.08.03 23:20	0.032	44.79
234	2018.08.06 05:00	0.094	59.09
235	2018.08.06 13:05	0.045	47.79
236	2018.08.06 13:10	0.075	54.71
237	2018.08.06 13:15	0.062	51.71
238	2018.08.06 13:20	0.026	43.41
239	2018.08.07 06:40	0.007	39.02
240	2018.08.07 16:30	0.056	50.33
241	2018.08.07 19:30	0.019	41.79
242	2018.08.07 21:15	0.073	54.25
243	2018.08.07 21:20	0.043	47.33
244	2018.08.08 13:50	0.042	47.10
245	2018.08.08 13:55	0.013	40.41
246	2018.08.08 14:50	0.060	51.25
247	2018.08.08 19:40	0.039	46.40
248	2018.08.09 07:55	0.152	72.48
249	2018.08.09 13:05	0.037	45.94
250	2018.08.09 15:00	0.016	41.10
251	2018.08.09 19:50	0.056	50.33
252	2018.08.09 19:55	0.057	50.56
253	2018.08.09 20:00	0.033	45.02
254	2018.08.09 21:55	0.033	45.02
255	2018.08.09 22:00	0.063	51.94
256	2018.08.10 01:35	0.028	43.87
257	2018.08.10 15:35	0.114	63.71
258	2018.08.13 08:10	0.092	58.63
259	2018.08.13 08:15	0.028	43.87
260	2018.08.13 14:50	0.228	90.01
261	2018.08.13 15:10	0.096	59.56
262	2018.08.13 15:15	0.026	43.41
263	2018.08.14 00:30	0.045	47.79
264	2018.08.14 06:30	0.065	52.40
265	2018.08.14 06:45	0.047	48.25
266	2018.08.14 09:05	0.070	53.56
267	2018.08.14 09:10	0.080	55.86
268	2018.08.14 09:55	0.091	58.40
269	2018.08.14 10:00	0.056	50.33
270	2018.08.14 19:10	0.074	54.48
271	2018.08.14 19:25	0.062	51.71
272	2018.08.14 20:00	0.189	81.01
273	2018.08.15 10:15	0.071	53.79
274	2018.08.16 04:25	0.313	109.62
275	2018.08.16 04:30	0.134	68.32
276	2018.08.16 04:35	0.014	40.64
277	2018.08.16 08:40	0.060	51.25
278	2018.08.16 13:10	0.061	51.48
279	2018.08.16 18:40	0.074	54.48
280	2018.08.16 18:45	0.036	45.71
281	2018.08.16 18:50	0.052	49.40
282	2018.08.16 18:55	0.088	57.71
283	2018.08.16 19:00	0.147	71.32
284	2018.08.16 19:05	0.094	59.09
285	2018.08.16 19:10	0.063	51.94
286	2018.08.17 21:00	0.137	69.02
287	2018.08.17 21:30	0.096	59.56
288	2018.08.21 04:45	0.053	49.63
289	2018.08.21 06:50	0.032	44.79
290	2018.08.21 10:45	0.057	50.56
291	2018.08.21 10:50	0.050	48.94
292	2018.08.21 12:25	0.013	40.41
293	2018.08.21 12:30	0.023	42.71
294	2018.08.21 14:55	0.140	69.71
295	2018.08.21 15:00	0.080	55.86
296	2018.08.21 15:05	0.024	42.94
