[20190225_133053 / views.py:10103]
fname_Src_CSV	44_5.1_10_rawdata.(EURJPY).(Period-M15).(NumOfUnits-5000).(Bars-ALL).20190203_105501.csv
slice by	day
this file	no-44.[ups-downs-in_BB].[v-1.0].20190225_133051.csv
pair	EURJPY
timeframe	M15

[ups/downs]==============================
s.n.	start	end	total	UU	UD	DU	DD	%UU	%UD	%DU	%DD
[20190225_133053 / views.py:10219]
1	2019.02.22 00:00	2019.02.22 23:45	96	25	24	24	22	0.260	0.250	0.250	0.229
2	2019.02.21 00:00	2019.02.21 23:45	96	22	23	22	28	0.229	0.240	0.229	0.292
3	2019.02.20 00:00	2019.02.20 23:45	96	23	27	27	16	0.240	0.281	0.281	0.167
4	2019.02.19 00:00	2019.02.19 23:45	96	26	25	25	19	0.271	0.260	0.260	0.198
5	2019.02.18 00:00	2019.02.18 23:45	96	23	23	22	21	0.240	0.240	0.229	0.219
6	2019.02.15 00:00	2019.02.15 23:45	96	30	20	20	19	0.312	0.208	0.208	0.198
7	2019.02.14 00:00	2019.02.14 23:45	96	28	22	21	24	0.292	0.229	0.219	0.250
8	2019.02.13 00:00	2019.02.13 23:45	96	25	20	18	30	0.260	0.208	0.188	0.312
9	2019.02.12 00:00	2019.02.12 23:45	96	24	27	27	17	0.250	0.281	0.281	0.177
10	2019.02.11 00:00	2019.02.11 23:45	96	20	27	27	19	0.208	0.281	0.281	0.198
11	2019.02.08 00:00	2019.02.08 23:45	96	21	25	24	25	0.219	0.260	0.250	0.260
12	2019.02.07 00:00	2019.02.07 23:45	96	17	24	21	29	0.177	0.250	0.219	0.302
13	2019.02.06 00:00	2019.02.06 23:45	96	24	24	24	21	0.250	0.250	0.250	0.219
14	2019.02.05 00:00	2019.02.05 23:45	96	20	26	27	20	0.208	0.271	0.281	0.208
15	2019.02.04 00:00	2019.02.04 23:45	96	22	27	26	18	0.229	0.281	0.271	0.188
16	2019.02.01 00:00	2019.02.01 23:45	96	31	24	24	16	0.323	0.250	0.250	0.167
17	2019.01.31 00:00	2019.01.31 23:45	96	26	22	21	26	0.271	0.229	0.219	0.271
18	2019.01.30 00:00	2019.01.30 23:45	96	18	27	27	19	0.188	0.281	0.281	0.198
19	2019.01.29 00:00	2019.01.29 23:45	96	23	27	28	17	0.240	0.281	0.292	0.177
20	2019.01.28 00:00	2019.01.28 23:45	96	27	18	18	30	0.281	0.188	0.188	0.312
21	2019.01.25 00:00	2019.01.25 23:45	96	32	21	20	18	0.333	0.219	0.208	0.188
22	2019.01.24 00:00	2019.01.24 23:45	96	22	23	23	25	0.229	0.240	0.240	0.260
23	2019.01.23 00:00	2019.01.23 23:45	96	21	28	27	17	0.219	0.292	0.281	0.177
24	2019.01.22 00:00	2019.01.22 23:45	96	21	26	26	18	0.219	0.271	0.271	0.188
25	2019.01.21 00:00	2019.01.21 23:45	96	22	28	26	17	0.229	0.292	0.271	0.177
26	2019.01.18 00:00	2019.01.18 23:45	96	23	26	24	20	0.240	0.271	0.250	0.208
27	2019.01.17 00:00	2019.01.17 23:45	96	19	22	23	25	0.198	0.229	0.240	0.260
28	2019.01.16 00:00	2019.01.16 23:45	96	26	24	24	21	0.271	0.250	0.250	0.219
29	2019.01.15 00:00	2019.01.15 23:45	96	25	24	23	23	0.260	0.250	0.240	0.240
30	2019.01.14 00:00	2019.01.14 23:45	96	18	26	25	24	0.188	0.271	0.260	0.250
31	2019.01.11 00:00	2019.01.11 23:45	96	17	28	27	21	0.177	0.292	0.281	0.219
32	2019.01.10 00:00	2019.01.10 23:45	96	31	25	23	14	0.323	0.260	0.240	0.146
33	2019.01.09 00:00	2019.01.09 23:45	96	22	24	24	23	0.229	0.250	0.250	0.240
34	2019.01.08 00:00	2019.01.08 23:45	96	16	25	25	29	0.167	0.260	0.260	0.302
35	2019.01.07 00:00	2019.01.07 23:45	96	25	24	22	22	0.260	0.250	0.229	0.229
36	2019.01.04 00:00	2019.01.04 23:45	96	31	23	23	18	0.323	0.240	0.240	0.188
37	2019.01.03 00:00	2019.01.03 23:45	96	26	20	21	28	0.271	0.208	0.219	0.292
38	2018.12.28 00:00	2018.12.28 23:45	96	20	26	27	20	0.208	0.271	0.281	0.208
39	2018.12.27 00:00	2018.12.27 23:45	96	27	27	26	13	0.281	0.281	0.271	0.135
40	2018.12.26 00:15	2018.12.26 23:45	95	24	22	24	21	0.253	0.232	0.253	0.221
41	2018.12.25 00:00	2018.12.25 07:45	24	4	6	5	5	0.167	0.250	0.208	0.208
42	2018.12.24 00:00	2018.12.24 23:45	96	19	26	25	25	0.198	0.271	0.260	0.260
43	2018.12.21 00:00	2018.12.21 23:45	96	18	24	25	28	0.188	0.250	0.260	0.292
44	2018.12.20 00:00	2018.12.20 23:45	96	16	25	25	29	0.167	0.260	0.260	0.302
45	2018.12.19 00:00	2018.12.19 23:45	96	22	26	24	21	0.229	0.271	0.250	0.219
46	2018.12.18 00:00	2018.12.18 23:45	96	19	24	24	26	0.198	0.250	0.250	0.271
47	2018.12.17 00:00	2018.12.17 23:45	96	19	24	23	29	0.198	0.250	0.240	0.302
48	2018.12.14 00:00	2018.12.14 23:45	96	24	25	25	21	0.250	0.260	0.260	0.219
49	2018.12.13 00:00	2018.12.13 23:45	96	30	26	25	14	0.312	0.271	0.260	0.146
50	2018.12.12 00:00	2018.12.12 23:45	96	30	21	21	19	0.312	0.219	0.219	0.198
51	2018.12.11 00:00	2018.12.11 23:45	96	19	23	24	27	0.198	0.240	0.250	0.281
52	2018.12.10 02:00	2018.12.10 23:45	88	26	21	21	15	0.295	0.239	0.239	0.170
53	2018.12.07 00:00	2018.12.07 23:45	96	24	26	25	18	0.250	0.271	0.260	0.188
54	2018.12.06 00:00	2018.12.06 23:45	96	18	27	27	23	0.188	0.281	0.281	0.240
55	2018.12.05 00:00	2018.12.05 23:45	96	26	26	26	17	0.271	0.271	0.271	0.177
56	2018.12.04 00:00	2018.12.04 23:45	96	13	23	23	36	0.135	0.240	0.240	0.375
57	2018.12.03 00:00	2018.12.03 23:45	96	24	22	21	24	0.250	0.229	0.219	0.250
58	2018.11.30 00:00	2018.11.30 23:45	96	19	22	23	29	0.198	0.229	0.240	0.302
59	2018.11.29 00:00	2018.11.29 23:45	96	19	26	26	22	0.198	0.271	0.271	0.229
60	2018.11.28 00:00	2018.11.28 23:45	96	24	25	26	13	0.250	0.260	0.271	0.135
61	2018.11.27 00:00	2018.11.27 23:45	96	22	26	25	22	0.229	0.271	0.260	0.229
62	2018.11.26 00:00	2018.11.26 23:45	96	27	23	23	18	0.281	0.240	0.240	0.188
63	2018.11.23 00:00	2018.11.23 23:45	94	17	27	26	17	0.181	0.287	0.277	0.181
64	2018.11.22 00:00	2018.11.22 23:45	96	21	26	27	21	0.219	0.271	0.281	0.219
65	2018.11.21 00:00	2018.11.21 23:45	96	35	20	20	20	0.365	0.208	0.208	0.208
66	2018.11.20 00:00	2018.11.20 23:45	96	19	29	29	18	0.198	0.302	0.302	0.188
67	2018.11.19 00:00	2018.11.19 23:45	96	18	28	27	18	0.188	0.292	0.281	0.188
68	2018.11.16 00:00	2018.11.16 23:45	96	23	27	27	18	0.240	0.281	0.281	0.188
69	2018.11.15 00:00	2018.11.15 23:45	96	30	20	21	22	0.312	0.208	0.219	0.229
70	2018.11.14 00:00	2018.11.14 23:45	96	26	23	24	22	0.271	0.240	0.250	0.229
71	2018.11.13 00:00	2018.11.13 23:45	96	25	25	26	17	0.260	0.260	0.271	0.177
72	2018.11.12 00:00	2018.11.12 23:45	96	17	29	30	17	0.177	0.302	0.312	0.177
