[20190228_135814 / views.py:10284]
fname_Src_CSV	44_5.1_10_rawdata.(EURJPY).(Period-M15).(NumOfUnits-4500).(Bars-4500).20190214_095445.csv
slice by	day
this file	no-44.[ups-downs-in_BB].[v-1.0].20190228_135813.csv
pair	EURJPY
timeframe	M15

[ups/downs]==============================
s.n.	start	end	total	UU	UD	DU	DD	%UU	%UD	%DU	%DD


[20190228_135814 / views.py:10293]


[lo_UU]==============================
s.n.	e0.dateTime	e1.dateTime	e0.CP	e1.CP	e0.BB_M2S	e0.BB_M1S	e0.BB_Main	e0.BB_1S	e0.BB_2S
1	2019.02.14 00:00	2019.02.14 00:15	124.987	124.989	124.997	125.031	125.065	125.099	125.133
2	2019.02.14 01:45	2019.02.14 02:00	124.957	124.996	124.908	124.964	125.020	125.076	125.132
3	2019.02.14 02:30	2019.02.14 02:45	124.915	124.963	124.868	124.935	125.001	125.067	125.133
4	2019.02.13 00:30	2019.02.13 00:45	125.131	125.146	125.079	125.131	125.182	125.233	125.285
5	2019.02.13 00:45	2019.02.13 01:00	125.146	125.184	125.087	125.136	125.184	125.233	125.282
6	2019.02.13 01:00	2019.02.13 01:15	125.184	125.216	125.088	125.135	125.181	125.228	125.275
7	2019.02.13 01:15	2019.02.13 01:30	125.216	125.238	125.088	125.135	125.182	125.229	125.276
8	2019.02.13 01:30	2019.02.13 01:45	125.238	125.250	125.087	125.135	125.183	125.231	125.279
9	2019.02.13 01:45	2019.02.13 02:00	125.250	125.304	125.086	125.135	125.184	125.233	125.282
10	2019.02.13 03:45	2019.02.13 04:00	125.345	125.372	125.055	125.132	125.210	125.287	125.364
11	2019.02.13 04:00	2019.02.13 04:15	125.372	125.382	125.050	125.135	125.219	125.304	125.388
12	2019.02.13 04:15	2019.02.13 04:30	125.382	125.386	125.054	125.143	125.232	125.321	125.410
13	2019.02.13 04:30	2019.02.13 04:45	125.386	125.390	125.058	125.151	125.244	125.337	125.429
14	2019.02.13 04:45	2019.02.13 05:00	125.390	125.430	125.076	125.167	125.258	125.350	125.441
15	2019.02.13 05:00	2019.02.13 05:15	125.430	125.484	125.087	125.180	125.274	125.367	125.460
16	2019.02.13 05:15	2019.02.13 05:30	125.484	125.510	125.104	125.198	125.293	125.388	125.483
17	2019.02.13 07:00	2019.02.13 07:15	125.398	125.407	125.205	125.288	125.371	125.453	125.536
18	2019.02.13 08:45	2019.02.13 09:00	125.360	125.392	125.331	125.372	125.412	125.452	125.493
19	2019.02.13 10:00	2019.02.13 10:15	125.304	125.341	125.283	125.340	125.396	125.453	125.509
20	2019.02.13 10:45	2019.02.13 11:00	125.366	125.467	125.289	125.332	125.374	125.417	125.460
21	2019.02.13 16:30	2019.02.13 16:45	125.167	125.195	125.083	125.152	125.222	125.291	125.360
22	2019.02.13 18:45	2019.02.13 19:00	125.127	125.129	125.041	125.102	125.163	125.224	125.285
23	2019.02.13 20:00	2019.02.13 20:15	125.072	125.103	125.028	125.075	125.123	125.171	125.219
24	2019.02.13 20:15	2019.02.13 20:30	125.103	125.105	125.026	125.073	125.120	125.167	125.215
25	2019.02.13 20:30	2019.02.13 20:45	125.105	125.121	125.028	125.072	125.116	125.159	125.203
26	2019.02.13 21:30	2019.02.13 21:45	125.054	125.090	125.018	125.062	125.106	125.150	125.193
27	2019.02.13 21:45	2019.02.13 22:00	125.090	125.090	125.023	125.062	125.101	125.139	125.178
28	2019.02.13 23:00	2019.02.13 23:15	125.068	125.097	125.027	125.053	125.080	125.107	125.134
29	2019.02.12 00:30	2019.02.12 00:45	124.458	124.478	124.430	124.447	124.464	124.481	124.498
30	2019.02.12 00:45	2019.02.12 01:00	124.478	124.528	124.431	124.447	124.464	124.480	124.497
31	2019.02.12 01:30	2019.02.12 01:45	124.484	124.507	124.429	124.449	124.469	124.488	124.508
32	2019.02.12 01:45	2019.02.12 02:00	124.507	124.539	124.428	124.449	124.471	124.492	124.514
33	2019.02.12 02:00	2019.02.12 02:15	124.539	124.564	124.425	124.450	124.475	124.501	124.526
34	2019.02.12 02:15	2019.02.12 02:30	124.564	124.594	124.417	124.449	124.480	124.512	124.544
35	2019.02.12 02:30	2019.02.12 02:45	124.594	124.608	124.405	124.445	124.485	124.525	124.566
36	2019.02.12 04:30	2019.02.12 04:45	124.646	124.657	124.412	124.476	124.540	124.603	124.667
37	2019.02.12 05:30	2019.02.12 05:45	124.720	124.816	124.450	124.516	124.582	124.648	124.715
38	2019.02.12 06:45	2019.02.12 07:00	124.704	124.714	124.503	124.572	124.642	124.712	124.781
39	2019.02.12 10:30	2019.02.12 10:45	124.609	124.623	124.606	124.661	124.716	124.771	124.826
40	2019.02.12 11:15	2019.02.12 11:30	124.634	124.652	124.580	124.638	124.696	124.755	124.813
41	2019.02.12 12:30	2019.02.12 12:45	124.654	124.694	124.561	124.622	124.683	124.744	124.804
42	2019.02.12 15:30	2019.02.12 15:45	124.692	124.707	124.602	124.633	124.663	124.694	124.725
43	2019.02.12 16:15	2019.02.12 16:30	124.700	124.736	124.618	124.646	124.674	124.703	124.731
44	2019.02.12 16:30	2019.02.12 16:45	124.736	124.775	124.617	124.648	124.679	124.709	124.740
45	2019.02.12 16:45	2019.02.12 17:00	124.775	124.780	124.615	124.650	124.686	124.721	124.756
46	2019.02.12 17:30	2019.02.12 17:45	124.801	124.860	124.613	124.658	124.704	124.750	124.796
47	2019.02.12 17:45	2019.02.12 18:00	124.860	125.008	124.599	124.656	124.713	124.770	124.827
48	2019.02.12 18:00	2019.02.12 18:15	125.008	125.043	124.561	124.645	124.730	124.815	124.899
49	2019.02.12 18:15	2019.02.12 18:30	125.043	125.068	124.538	124.644	124.750	124.856	124.962
50	2019.02.12 19:15	2019.02.12 19:30	125.080	125.126	124.518	124.672	124.825	124.978	125.131
51	2019.02.12 20:30	2019.02.12 20:45	125.213	125.231	124.575	124.762	124.949	125.135	125.322
52	2019.02.12 21:15	2019.02.12 21:30	125.241	125.242	124.676	124.852	125.028	125.204	125.380
53	2019.02.11 00:30	2019.02.11 00:45	124.295	124.293	124.264	124.289	124.314	124.339	124.365
54	2019.02.11 00:45	2019.02.11 01:00	124.293	124.306	124.262	124.287	124.313	124.339	124.364
