[20190301_100641 / views.py:10724]
fname_Src_CSV	44_5.1_10_rawdata.(EURUSD).(Period-M15).(NumOfUnits-6000).(Bars-6000).20190226_125818.csv
slice by	day
this file	no-44.[ups-downs-in_BB].[v-1.0].20190301_100640.csv
pair	EURUSD
timeframe	M15

[ups/downs]==============================
s.n.	start	end	total	UU	UD	DU	DD	%UU	%UD	%DU	%DD


[20190301_100641 / views.py:10733]


[lo_UU]==============================
s.n.	e0.dateTime	e1.dateTime	e0.CP	e1.CP	e0.BB_M2S	e0.BB_M1S	e0.BB_Main	e0.BB_1S	e0.BB_2S
1	2019.02.26 00:45	2019.02.26 01:00	1.136	1.136	1.135	1.135	1.136	1.136	1.137
2	2019.02.26 01:30	2019.02.26 01:45	1.136	1.136	1.135	1.136	1.136	1.136	1.137
3	2019.02.26 03:45	2019.02.26 04:00	1.136	1.136	1.135	1.136	1.136	1.136	1.136
4	2019.02.26 04:30	2019.02.26 04:45	1.136	1.136	1.135	1.136	1.136	1.136	1.136
5	2019.02.26 04:45	2019.02.26 05:00	1.136	1.137	1.136	1.136	1.136	1.136	1.136
6	2019.02.25 00:00	2019.02.25 00:15	1.133	1.133	1.133	1.133	1.134	1.134	1.135
7	2019.02.25 00:15	2019.02.25 00:30	1.133	1.133	1.133	1.133	1.134	1.134	1.135
8	2019.02.25 00:30	2019.02.25 00:45	1.133	1.134	1.133	1.133	1.134	1.134	1.135
9	2019.02.25 00:45	2019.02.25 01:00	1.134	1.134	1.133	1.133	1.134	1.134	1.135
10	2019.02.25 01:00	2019.02.25 01:15	1.134	1.134	1.133	1.133	1.134	1.134	1.135
11	2019.02.25 01:15	2019.02.25 01:30	1.134	1.134	1.133	1.133	1.134	1.134	1.134
12	2019.02.25 01:30	2019.02.25 01:45	1.134	1.134	1.133	1.133	1.134	1.134	1.134
13	2019.02.25 02:15	2019.02.25 02:30	1.134	1.135	1.133	1.133	1.134	1.134	1.134
14	2019.02.25 02:30	2019.02.25 02:45	1.135	1.135	1.133	1.133	1.134	1.134	1.134
15	2019.02.25 03:15	2019.02.25 03:30	1.135	1.135	1.133	1.133	1.134	1.134	1.135
16	2019.02.25 04:45	2019.02.25 05:00	1.134	1.134	1.133	1.134	1.134	1.135	1.135
17	2019.02.25 05:00	2019.02.25 05:15	1.134	1.134	1.133	1.134	1.134	1.135	1.135
18	2019.02.25 05:15	2019.02.25 05:30	1.134	1.134	1.133	1.134	1.134	1.135	1.135
19	2019.02.25 05:30	2019.02.25 05:45	1.134	1.134	1.134	1.134	1.134	1.135	1.135
20	2019.02.25 07:00	2019.02.25 07:15	1.134	1.134	1.134	1.134	1.134	1.135	1.135
21	2019.02.25 07:45	2019.02.25 08:00	1.134	1.135	1.134	1.134	1.134	1.134	1.135
22	2019.02.25 08:30	2019.02.25 08:45	1.135	1.135	1.134	1.134	1.134	1.134	1.135
23	2019.02.25 08:45	2019.02.25 09:00	1.135	1.136	1.134	1.134	1.134	1.134	1.135
24	2019.02.25 09:30	2019.02.25 09:45	1.135	1.136	1.133	1.134	1.134	1.135	1.135
25	2019.02.25 11:00	2019.02.25 11:15	1.135	1.135	1.134	1.134	1.135	1.135	1.136
26	2019.02.25 11:45	2019.02.25 12:00	1.135	1.135	1.134	1.134	1.135	1.135	1.136
27	2019.02.25 12:00	2019.02.25 12:15	1.135	1.135	1.134	1.134	1.135	1.135	1.136
28	2019.02.25 12:15	2019.02.25 12:30	1.135	1.136	1.134	1.134	1.135	1.135	1.136
29	2019.02.25 12:30	2019.02.25 12:45	1.136	1.136	1.134	1.135	1.135	1.135	1.136
30	2019.02.25 13:15	2019.02.25 13:30	1.136	1.137	1.134	1.135	1.135	1.136	1.136
31	2019.02.25 15:45	2019.02.25 16:00	1.135	1.136	1.134	1.135	1.136	1.136	1.137
32	2019.02.25 16:00	2019.02.25 16:15	1.136	1.136	1.135	1.135	1.136	1.136	1.137
33	2019.02.25 17:00	2019.02.25 17:15	1.135	1.135	1.135	1.135	1.136	1.136	1.137
34	2019.02.25 19:15	2019.02.25 19:30	1.134	1.134	1.134	1.135	1.135	1.136	1.136
35	2019.02.25 19:30	2019.02.25 19:45	1.134	1.135	1.134	1.134	1.135	1.136	1.136
36	2019.02.25 19:45	2019.02.25 20:00	1.135	1.135	1.134	1.134	1.135	1.136	1.136
37	2019.02.25 20:00	2019.02.25 20:15	1.135	1.135	1.134	1.134	1.135	1.136	1.136
38	2019.02.25 20:15	2019.02.25 20:30	1.135	1.135	1.134	1.134	1.135	1.136	1.136
39	2019.02.25 20:30	2019.02.25 20:45	1.135	1.136	1.134	1.134	1.135	1.136	1.136
40	2019.02.25 20:45	2019.02.25 21:00	1.136	1.136	1.134	1.134	1.135	1.136	1.136
41	2019.02.25 21:00	2019.02.25 21:15	1.136	1.136	1.134	1.134	1.135	1.136	1.136
42	2019.02.25 21:45	2019.02.25 22:00	1.136	1.137	1.134	1.134	1.135	1.136	1.136
43	2019.02.22 00:30	2019.02.22 00:45	1.134	1.134	1.133	1.133	1.133	1.134	1.134
44	2019.02.22 00:45	2019.02.22 01:00	1.134	1.134	1.133	1.133	1.133	1.134	1.134
45	2019.02.22 01:00	2019.02.22 01:15	1.134	1.134	1.133	1.133	1.133	1.134	1.134
46	2019.02.22 01:45	2019.02.22 02:00	1.134	1.134	1.133	1.133	1.134	1.134	1.134
47	2019.02.22 02:00	2019.02.22 02:15	1.134	1.134	1.133	1.133	1.134	1.134	1.134
48	2019.02.22 04:15	2019.02.22 04:30	1.134	1.134	1.133	1.133	1.134	1.134	1.134
49	2019.02.22 04:30	2019.02.22 04:45	1.134	1.134	1.133	1.134	1.134	1.134	1.134
50	2019.02.22 05:15	2019.02.22 05:30	1.134	1.134	1.133	1.134	1.134	1.134	1.134
51	2019.02.22 05:30	2019.02.22 05:45	1.134	1.134	1.134	1.134	1.134	1.134	1.134
52	2019.02.22 06:30	2019.02.22 06:45	1.133	1.134	1.133	1.134	1.134	1.134	1.134
53	2019.02.22 07:30	2019.02.22 07:45	1.134	1.134	1.133	1.133	1.134	1.134	1.134
54	2019.02.22 08:30	2019.02.22 08:45	1.134	1.134	1.133	1.134	1.134	1.134	1.134
55	2019.02.22 08:45	2019.02.22 09:00	1.134	1.134	1.133	1.134	1.134	1.134	1.134
56	2019.02.22 09:00	2019.02.22 09:15	1.134	1.135	1.133	1.133	1.134	1.134	1.134
57	2019.02.22 10:15	2019.02.22 10:30	1.135	1.135	1.133	1.134	1.134	1.134	1.135
58	2019.02.22 10:30	2019.02.22 10:45	1.135	1.135	1.133	1.134	1.134	1.135	1.135
59	2019.02.22 12:15	2019.02.22 12:30	1.134	1.134	1.133	1.134	1.134	1.135	1.135
60	2019.02.22 12:30	2019.02.22 12:45	1.134	1.134	1.133	1.134	1.134	1.135	1.135
61	2019.02.22 15:15	2019.02.22 15:30	1.133	1.133	1.133	1.133	1.134	1.134	1.135
62	2019.02.22 15:30	2019.02.22 15:45	1.133	1.134	1.133	1.133	1.134	1.134	1.135
63	2019.02.22 15:45	2019.02.22 16:00	1.134	1.134	1.133	1.133	1.134	1.134	1.135
64	2019.02.22 16:45	2019.02.22 17:00	1.133	1.134	1.133	1.133	1.134	1.134	1.134
65	2019.02.22 18:15	2019.02.22 18:30	1.134	1.134	1.132	1.133	1.134	1.134	1.135
66	2019.02.22 19:30	2019.02.22 19:45	1.134	1.135	1.133	1.133	1.134	1.134	1.135
67	2019.02.22 20:15	2019.02.22 20:30	1.134	1.135	1.133	1.133	1.134	1.134	1.135
68	2019.02.22 23:15	2019.02.22 23:30	1.133	1.133	1.133	1.133	1.134	1.134	1.135
69	2019.02.21 00:00	2019.02.21 00:15	1.134	1.134	1.133	1.134	1.135	1.136	1.137
70	2019.02.21 00:15	2019.02.21 00:30	1.134	1.135	1.133	1.134	1.135	1.136	1.137
71	2019.02.21 04:00	2019.02.21 04:15	1.134	1.134	1.133	1.134	1.134	1.135	1.135
72	2019.02.21 04:45	2019.02.21 05:00	1.134	1.134	1.133	1.134	1.134	1.135	1.135
73	2019.02.21 05:00	2019.02.21 05:15	1.134	1.134	1.133	1.134	1.134	1.135	1.135
74	2019.02.21 05:15	2019.02.21 05:30	1.134	1.135	1.133	1.134	1.134	1.135	1.135
75	2019.02.21 05:30	2019.02.21 05:45	1.135	1.135	1.133	1.134	1.134	1.135	1.135
76	2019.02.21 05:45	2019.02.21 06:00	1.135	1.135	1.133	1.134	1.134	1.135	1.135
77	2019.02.21 06:30	2019.02.21 06:45	1.135	1.135	1.133	1.134	1.134	1.135	1.135
78	2019.02.21 06:45	2019.02.21 07:00	1.135	1.135	1.133	1.134	1.134	1.135	1.135
79	2019.02.21 09:00	2019.02.21 09:15	1.134	1.134	1.133	1.133	1.134	1.135	1.135
80	2019.02.21 10:00	2019.02.21 10:15	1.134	1.136	1.133	1.133	1.134	1.135	1.135
81	2019.02.21 11:45	2019.02.21 12:00	1.133	1.133	1.132	1.133	1.134	1.135	1.136
82	2019.02.21 12:30	2019.02.21 12:45	1.134	1.134	1.132	1.133	1.134	1.135	1.135
83	2019.02.21 12:45	2019.02.21 13:00	1.134	1.135	1.132	1.133	1.134	1.135	1.136
84	2019.02.21 13:45	2019.02.21 14:00	1.135	1.135	1.132	1.133	1.134	1.135	1.136
85	2019.02.21 19:30	2019.02.21 19:45	1.133	1.133	1.132	1.133	1.134	1.135	1.137
86	2019.02.21 21:15	2019.02.21 21:30	1.133	1.133	1.132	1.133	1.134	1.134	1.135
87	2019.02.21 21:30	2019.02.21 21:45	1.133	1.134	1.132	1.133	1.133	1.134	1.135
88	2019.02.21 22:15	2019.02.21 22:30	1.133	1.134	1.132	1.133	1.133	1.134	1.134
89	2019.02.20 00:45	2019.02.20 01:00	1.134	1.134	1.133	1.134	1.134	1.135	1.135
90	2019.02.20 02:00	2019.02.20 02:15	1.134	1.134	1.134	1.134	1.134	1.134	1.134
91	2019.02.20 09:00	2019.02.20 09:15	1.133	1.134	1.133	1.134	1.134	1.135	1.135
92	2019.02.20 09:15	2019.02.20 09:30	1.134	1.134	1.133	1.134	1.134	1.135	1.135
93	2019.02.20 09:30	2019.02.20 09:45	1.134	1.134	1.133	1.134	1.134	1.135	1.135
94	2019.02.20 09:45	2019.02.20 10:00	1.134	1.135	1.133	1.134	1.134	1.135	1.135
95	2019.02.20 11:00	2019.02.20 11:15	1.135	1.136	1.133	1.134	1.134	1.135	1.135
96	2019.02.20 13:30	2019.02.20 13:45	1.133	1.134	1.133	1.134	1.134	1.135	1.136
97	2019.02.20 14:15	2019.02.20 14:30	1.134	1.134	1.133	1.134	1.134	1.135	1.136
98	2019.02.20 17:45	2019.02.20 18:00	1.135	1.135	1.133	1.133	1.134	1.134	1.135
99	2019.02.20 18:00	2019.02.20 18:15	1.135	1.136	1.133	1.133	1.134	1.135	1.135
100	2019.02.20 19:30	2019.02.20 19:45	1.136	1.137	1.132	1.134	1.135	1.136	1.137
101	2019.02.20 19:45	2019.02.20 20:00	1.137	1.137	1.133	1.134	1.135	1.136	1.137
102	2019.02.20 21:30	2019.02.20 21:45	1.134	1.135	1.133	1.135	1.136	1.137	1.138
103	2019.02.19 00:45	2019.02.19 01:00	1.131	1.131	1.131	1.131	1.131	1.131	1.131
104	2019.02.19 01:00	2019.02.19 01:15	1.131	1.131	1.131	1.131	1.131	1.131	1.131
105	2019.02.19 01:15	2019.02.19 01:30	1.131	1.131	1.131	1.131	1.131	1.131	1.131
106	2019.02.19 06:30	2019.02.19 06:45	1.130	1.130	1.129	1.130	1.130	1.131	1.131
107	2019.02.19 08:45	2019.02.19 09:00	1.130	1.130	1.129	1.129	1.130	1.130	1.130
108	2019.02.19 09:00	2019.02.19 09:15	1.130	1.130	1.129	1.130	1.130	1.130	1.130
109	2019.02.19 10:00	2019.02.19 10:15	1.130	1.132	1.129	1.130	1.130	1.130	1.130
110	2019.02.19 12:00	2019.02.19 12:15	1.131	1.131	1.129	1.130	1.130	1.131	1.132
111	2019.02.19 12:15	2019.02.19 12:30	1.131	1.131	1.129	1.130	1.130	1.131	1.132
112	2019.02.19 14:15	2019.02.19 14:30	1.128	1.128	1.128	1.129	1.130	1.131	1.133
113	2019.02.19 14:30	2019.02.19 14:45	1.128	1.129	1.127	1.129	1.130	1.131	1.133
114	2019.02.19 14:45	2019.02.19 15:00	1.129	1.129	1.127	1.129	1.130	1.131	1.133
115	2019.02.19 15:30	2019.02.19 15:45	1.130	1.130	1.127	1.128	1.130	1.131	1.132
116	2019.02.19 15:45	2019.02.19 16:00	1.130	1.131	1.127	1.128	1.130	1.131	1.132
117	2019.02.19 16:00	2019.02.19 16:15	1.131	1.131	1.127	1.129	1.130	1.131	1.132
118	2019.02.19 16:15	2019.02.19 16:30	1.131	1.132	1.127	1.128	1.130	1.131	1.132
119	2019.02.19 16:30	2019.02.19 16:45	1.132	1.132	1.127	1.128	1.130	1.131	1.132
120	2019.02.19 16:45	2019.02.19 17:00	1.132	1.133	1.127	1.128	1.130	1.131	1.132
121	2019.02.19 17:45	2019.02.19 18:00	1.133	1.134	1.127	1.128	1.130	1.132	1.133
122	2019.02.19 19:15	2019.02.19 19:30	1.134	1.135	1.128	1.130	1.131	1.133	1.135
123	2019.02.19 21:45	2019.02.19 22:00	1.134	1.134	1.132	1.133	1.134	1.135	1.136
124	2019.02.19 22:30	2019.02.19 22:45	1.134	1.134	1.132	1.133	1.134	1.135	1.136
