[20190301_102841 / views.py:10526]
fname_Src_CSV	44_5.1_10_rawdata.(EURUSD).(Period-M15).(NumOfUnits-6000).(Bars-6000).20190226_125818.csv
slice by	day
this file	no-44.[ups-downs-in_BB].[v-1.0].20190301_102840.csv
pair	EURUSD
timeframe	M15

[ups/downs]==============================
s.n.	start	end	total	UU	UD	DU	DD	%UU	%UD	%DU	%DD
[20190301_102841 / views.py:10617]
1	2019.02.26 00:00	2019.02.26 05:45	24	5	7	7	4	0.20833	0.29167	0.29167	0.16667
2	2019.02.25 00:00	2019.02.25 23:45	96	37	19	18	21	0.38542	0.19792	0.18750	0.21875
3	2019.02.22 00:00	2019.02.22 23:45	96	26	22	21	24	0.27083	0.22917	0.21875	0.25000
4	2019.02.21 00:00	2019.02.21 23:45	96	20	23	24	24	0.20833	0.23958	0.25000	0.25000
5	2019.02.20 00:00	2019.02.20 23:45	96	14	28	27	22	0.14583	0.29167	0.28125	0.22917
6	2019.02.19 00:00	2019.02.19 23:45	96	22	28	25	16	0.22917	0.29167	0.26042	0.16667
7	2019.02.18 00:00	2019.02.18 23:45	96	25	22	22	20	0.26042	0.22917	0.22917	0.20833
8	2019.02.15 00:00	2019.02.15 23:45	96	20	23	24	20	0.20833	0.23958	0.25000	0.20833
9	2019.02.14 00:00	2019.02.14 23:45	96	40	19	19	15	0.41667	0.19792	0.19792	0.15625
10	2019.02.13 00:00	2019.02.13 23:45	96	11	24	23	37	0.11458	0.25000	0.23958	0.38542
11	2019.02.12 00:00	2019.02.12 23:45	96	25	22	20	24	0.26042	0.22917	0.20833	0.25000
12	2019.02.11 00:00	2019.02.11 23:45	96	24	23	23	21	0.25000	0.23958	0.23958	0.21875
13	2019.02.08 00:00	2019.02.08 23:45	96	19	29	28	19	0.19792	0.30208	0.29167	0.19792
14	2019.02.07 00:00	2019.02.07 23:45	96	20	19	19	28	0.20833	0.19792	0.19792	0.29167
15	2019.02.06 00:00	2019.02.06 23:45	96	22	19	18	32	0.22917	0.19792	0.18750	0.33333
16	2019.02.05 00:00	2019.02.05 23:45	96	17	23	22	25	0.17708	0.23958	0.22917	0.26042
17	2019.02.04 00:00	2019.02.04 23:45	96	18	25	24	28	0.18750	0.26042	0.25000	0.29167
18	2019.02.01 00:00	2019.02.01 23:45	96	25	23	21	22	0.26042	0.23958	0.21875	0.22917
19	2019.01.31 00:00	2019.01.31 23:45	96	24	20	21	26	0.25000	0.20833	0.21875	0.27083
20	2019.01.30 00:00	2019.01.30 23:45	96	21	24	24	24	0.21875	0.25000	0.25000	0.25000
21	2019.01.29 00:00	2019.01.29 23:45	96	17	28	29	21	0.17708	0.29167	0.30208	0.21875
22	2019.01.28 00:00	2019.01.28 23:45	96	24	20	20	25	0.25000	0.20833	0.20833	0.26042
23	2019.01.25 00:00	2019.01.25 23:45	96	25	28	28	12	0.26042	0.29167	0.29167	0.12500
24	2019.01.24 00:00	2019.01.24 23:45	96	20	24	22	27	0.20833	0.25000	0.22917	0.28125
25	2019.01.23 00:00	2019.01.23 23:45	96	17	28	27	19	0.17708	0.29167	0.28125	0.19792
26	2019.01.22 00:00	2019.01.22 23:45	96	20	25	24	22	0.20833	0.26042	0.25000	0.22917
27	2019.01.21 00:00	2019.01.21 23:45	96	21	26	22	18	0.21875	0.27083	0.22917	0.18750
28	2019.01.18 00:00	2019.01.18 23:45	96	21	24	24	20	0.21875	0.25000	0.25000	0.20833
29	2019.01.17 00:00	2019.01.17 23:45	96	28	23	24	18	0.29167	0.23958	0.25000	0.18750
30	2019.01.16 00:00	2019.01.16 23:45	96	18	25	26	24	0.18750	0.26042	0.27083	0.25000
31	2019.01.15 00:00	2019.01.15 23:45	96	28	23	23	15	0.29167	0.23958	0.23958	0.15625
32	2019.01.14 00:00	2019.01.14 23:45	96	22	23	23	27	0.22917	0.23958	0.23958	0.28125
33	2019.01.11 00:00	2019.01.11 23:45	96	18	22	23	30	0.18750	0.22917	0.23958	0.31250
