[20190303_104335 / views.py:11090]
fname_Src_CSV	44_5.1_10_rawdata.(USDJPY).(Period-M15).(NumOfUnits-4500).(Bars-ALL).20190214_094828.csv
slice by	day
this file	no-44.[ups-downs-in_BB].[v-1.0].20190303_104334.csv
pair	USDJPY
timeframe	M15

[ups/downs]==============================
s.n.	start	end	total	UU	UD	DU	DD	%UU	%UD	%DU	%DD


[20190303_104335 / views.py:11105]


[lo_UU]==============================
s.n.	e0.dateTime	e1.dateTime	e0.CP	e1.CP	e0.BB_M2S	e0.BB_M1S	e0.BB_Main	e0.BB_1S	e0.BB_2S
1	2019.02.25 00:30	2019.02.25 00:45	110.739	110.759	110.588	110.623	110.659	110.694	110.730
2	2019.02.25 01:15	2019.02.25 01:30	110.772	110.795	110.601	110.642	110.683	110.724	110.765
3	2019.02.25 02:15	2019.02.25 02:30	110.800	110.839	110.604	110.657	110.710	110.762	110.815
4	2019.02.25 04:00	2019.02.25 04:15	110.702	110.702	110.632	110.684	110.736	110.788	110.840
5	2019.02.25 05:00	2019.02.25 05:15	110.618	110.630	110.607	110.669	110.730	110.792	110.854
6	2019.02.25 05:45	2019.02.25 06:00	110.643	110.644	110.577	110.646	110.716	110.786	110.856
7	2019.02.22 01:15	2019.02.22 01:30	110.679	110.683	110.631	110.666	110.701	110.735	110.770
8	2019.02.22 01:30	2019.02.22 01:45	110.683	110.703	110.634	110.665	110.697	110.728	110.760
9	2019.02.22 02:30	2019.02.22 02:45	110.693	110.710	110.644	110.664	110.684	110.704	110.724
10	2019.02.22 02:45	2019.02.22 03:00	110.710	110.716	110.646	110.666	110.686	110.706	110.726
11	2019.02.22 04:00	2019.02.22 04:15	110.715	110.752	110.643	110.666	110.690	110.713	110.736
12	2019.02.22 04:45	2019.02.22 05:00	110.743	110.745	110.637	110.667	110.697	110.727	110.757
13	2019.02.22 06:15	2019.02.22 06:30	110.770	110.794	110.661	110.690	110.719	110.748	110.776
14	2019.02.22 07:15	2019.02.22 07:30	110.757	110.778	110.687	110.712	110.737	110.762	110.788
15	2019.02.22 10:15	2019.02.22 10:30	110.749	110.768	110.714	110.734	110.754	110.775	110.795
16	2019.02.22 10:30	2019.02.22 10:45	110.768	110.772	110.717	110.736	110.756	110.776	110.796
17	2019.02.22 10:45	2019.02.22 11:00	110.772	110.784	110.719	110.738	110.758	110.778	110.797
18	2019.02.22 11:00	2019.02.22 11:15	110.784	110.824	110.721	110.741	110.760	110.780	110.800
19	2019.02.22 11:15	2019.02.22 11:30	110.824	110.832	110.715	110.739	110.763	110.787	110.811
20	2019.02.22 11:30	2019.02.22 11:45	110.832	110.835	110.710	110.738	110.765	110.793	110.820
21	2019.02.22 11:45	2019.02.22 12:00	110.835	110.891	110.705	110.737	110.768	110.799	110.831
22	2019.02.22 13:45	2019.02.22 14:00	110.868	110.880	110.693	110.752	110.811	110.869	110.928
23	2019.02.22 20:00	2019.02.22 20:15	110.587	110.634	110.589	110.637	110.686	110.734	110.782
24	2019.02.22 20:15	2019.02.22 20:30	110.634	110.637	110.588	110.633	110.678	110.724	110.769
25	2019.02.22 20:30	2019.02.22 20:45	110.637	110.654	110.584	110.630	110.675	110.721	110.767
26	2019.02.21 01:00	2019.02.21 01:15	110.804	110.821	110.677	110.739	110.802	110.865	110.927
27	2019.02.21 03:30	2019.02.21 03:45	110.698	110.707	110.641	110.710	110.778	110.846	110.915
28	2019.02.21 03:45	2019.02.21 04:00	110.707	110.745	110.634	110.703	110.772	110.840	110.909
