[20190217_143104 / views.py:9420] 
source csv (1)	=	44_5.1_10_rawdata.(USDJPY).(Period-M15).(NumOfUnits-4500).(Bars-4500).20190214_094828.csv
source dpath (1)	=	C:\WORKS_2\WS\WS_Others.prog\prog\D-7\2_2\VIRTUAL\Admin_Projects\curr\data\csv_raw
source csv (2)	=	44_5.1_10_rawdata.(EURJPY).(Period-M15).(NumOfUnits-4500).(Bars-4500).20190214_095445.csv
source dpath (2)	=	C:\WORKS_2\WS\WS_Others.prog\prog\D-7\2_2\VIRTUAL\Admin_Projects\curr\data\csv_raw
log file name	=	no-46.[basic-stats,cat-2].[v-1.0].20190217_143102.log
log file dpath	=	C:\WORKS_2\WS\WS_Others.prog\prog\D-7\2_2\VIRTUAL\Admin_Projects\curr\data\log
this file created at	=	20190217_143102


[basics]=========================
num of bars (1)	=	4500
num of bars (2)	=	4500
starting bar (1)	=	2018.12.05 09:45	open=	113.046
ending bar (1)	=	2019.02.14 02:45	close=	113.082
starting bar (2)	=	2018.12.05 09:45	open=	128.091
ending bar (2)	=	2019.02.14 02:45	close=	128.134

[correl]=========================
0.948

total / 100
s.n.	correl
1	0.526
2	0.991
3	0.135
4	0.915
5	0.125
6	0.195
7	0.369
8	0.876
9	-0.046
10	0.813
11	-0.332
12	0.174
13	0.407
14	0.109
15	0.026
16	0.607
17	0.828
18	0.954
19	0.923
20	0.050
21	0.127
22	-0.507
23	-0.219
24	-0.241
25	0.123
26	0.718
27	0.406
28	0.335
29	0.919
30	0.961
31	-0.048
32	0.730
33	0.595
34	0.739
35	0.868
36	0.997
37	0.952
38	0.706
39	0.958
40	0.674
41	0.789
42	0.955
43	0.233
44	0.819
45	0.882
46	0.024
47	0.792
48	-0.004
49	0.183
50	0.211
51	0.317
52	0.723
53	0.789
54	0.351
55	-0.026
56	0.837
57	0.773
58	0.908
59	0.827
60	0.980
61	-0.052
62	0.747
63	-0.337
64	0.961
65	0.591
66	0.951
67	0.744
68	0.750
69	-0.466
70	-0.067
71	0.927
72	-0.403
73	0.687
74	0.114
75	0.845
76	0.475
77	0.714
78	0.842
79	-0.438
80	0.835
81	0.684
82	0.566
83	0.769
84	0.934
85	0.798
86	0.660
87	0.222
88	0.956
89	0.378
90	0.837
91	0.747
92	0.905
93	0.706
94	0.934
95	0.517
96	0.902
97	-0.061
98	0.378
99	-0.549
100	-0.480


